'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/07/2023,1.1,0.2, ,14.5,-1.4,92,49,1.32,11.51
NEWDEGATE RESEARCH STATION,02/07/2023,1.8,0.0, ,16.1,-0.3,91,45,3.17,11.54
NEWDEGATE RESEARCH STATION,03/07/2023,2.8,0.0, ,16.8,2.0,92,39,6.45,8.63
NEWDEGATE RESEARCH STATION,04/07/2023,1.9,5.0, ,13.4,6.0,89,58,7.02,11.11
NEWDEGATE RESEARCH STATION,05/07/2023,1.9,0.6, ,13.1,7.0,89,57,6.25,10.79
NEWDEGATE RESEARCH STATION,06/07/2023,1.3,1.2, ,13.2,3.4,93,65,3.96,8.42
NEWDEGATE RESEARCH STATION,07/07/2023,1.9,0.2, ,17.4,6.0,90,62,5.52,8.84
NEWDEGATE RESEARCH STATION,08/07/2023, ,0.0, , ,6.5,92,61,2.45,7.15
NEWDEGATE RESEARCH STATION,09/07/2023,1.9,0.0, ,17.0,8.0,88,54,3.82,9.03
NEWDEGATE RESEARCH STATION,10/07/2023,2.0,0.2, ,17.4,6.6,93,47,3.62,10.13
NEWDEGATE RESEARCH STATION,11/07/2023,2.2,0.0, ,18.0,5.6,90,55,4.96,11.96
NEWDEGATE RESEARCH STATION,12/07/2023,2.5,0.2, ,18.9,7.1,91,55,6.45,12.02
NEWDEGATE RESEARCH STATION,13/07/2023,1.8,0.6, ,16.2,11.0,91,60,4.66,8.88
NEWDEGATE RESEARCH STATION,14/07/2023,1.9,0.8, ,13.9,6.7,91,46,4.09,10.74
NEWDEGATE RESEARCH STATION,15/07/2023,1.2,0.2, ,13.7,-3.0,92,41,1.29,12.22
NEWDEGATE RESEARCH STATION,16/07/2023,2.4,0.2, ,15.9,-2.3,90,38,4.24,12.29
NEWDEGATE RESEARCH STATION,17/07/2023,1.4,0.0, ,17.3,0.6,89,57,1.70,10.82
NEWDEGATE RESEARCH STATION,18/07/2023,3.8,0.0, ,20.9,4.4,90,31,6.63,10.79
NEWDEGATE RESEARCH STATION,19/07/2023,1.9,6.0, ,12.2,8.9,91,54,5.86,10.85
NEWDEGATE RESEARCH STATION,20/07/2023,1.6,0.0, ,14.6,2.1,89,58,3.26,12.30
NEWDEGATE RESEARCH STATION,21/07/2023,2.0,0.4, ,17.1,5.1,93,58,5.03,8.79
NEWDEGATE RESEARCH STATION,22/07/2023,1.2,0.0, ,15.8,-0.4,92,50,0.94,12.76
NEWDEGATE RESEARCH STATION,23/07/2023,1.5,0.2, ,17.9,-1.3,93,43,1.36,12.83
NEWDEGATE RESEARCH STATION,24/07/2023,2.8,0.0, ,20.1,-1.5,90,27,3.21,12.92
NEWDEGATE RESEARCH STATION,25/07/2023,3.4,0.2, ,18.3,2.1,81,29,5.67,7.99
NEWDEGATE RESEARCH STATION,26/07/2023,2.0,2.8, ,14.9,9.3,92,60,5.90,9.97
NEWDEGATE RESEARCH STATION,27/07/2023,1.9,0.2, ,13.5,7.5,90,58,5.59,10.74
NEWDEGATE RESEARCH STATION,28/07/2023,2.6,0.0, ,16.9,7.2,88,49,5.85,11.72
NEWDEGATE RESEARCH STATION,29/07/2023,2.0,1.0, ,16.5,10.4,92,61,5.20,10.40
NEWDEGATE RESEARCH STATION,30/07/2023,1.3,0.6, ,14.9,7.4,92,72,2.45,9.81
NEWDEGATE RESEARCH STATION,31/07/2023,1.4,0.0, ,17.3,3.8,94,54,1.31,11.20
Totals:,,59.4,20.8, ,,,,,, 
