'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/10/2023,6.9,0.2, ,23.9,4.2,23,23,6.95,20.94
NEWDEGATE RESEARCH STATION,02/10/2023,6.1,1.6, ,16.9,9.4,23,23,7.90,17.61
NEWDEGATE RESEARCH STATION,03/10/2023,4.8,0.0, ,19.5,3.5,23,23,3.72,20.15
NEWDEGATE RESEARCH STATION,04/10/2023,4.1,0.0, ,22.9,2.1,23,23,1.72,22.60
NEWDEGATE RESEARCH STATION,05/10/2023,6.1,0.0, ,26.1,6.7,23,23,3.93,22.76
NEWDEGATE RESEARCH STATION,06/10/2023,6.5,0.0, ,31.2,8.6,23,23,3.40,21.80
NEWDEGATE RESEARCH STATION,07/10/2023, ,0.0, , ,11.3,23,23,3.12,22.88
NEWDEGATE RESEARCH STATION,08/10/2023,9.1,0.0, ,36.2,12.3,23,23,5.22,22.84
NEWDEGATE RESEARCH STATION,09/10/2023,5.6,0.0, ,31.2,12.4,23,23,2.30,21.30
NEWDEGATE RESEARCH STATION,10/10/2023,6.0,0.0, ,25.7,11.9,23,23,3.90,18.92
NEWDEGATE RESEARCH STATION,11/10/2023,5.3,0.0, ,22.0,2.5,23,23,3.78,23.10
NEWDEGATE RESEARCH STATION,12/10/2023,5.9,0.0, ,24.6,4.8,23,23,4.09,22.28
NEWDEGATE RESEARCH STATION,13/10/2023,6.1,0.0, ,28.3,6.1,23,23,3.32,23.29
NEWDEGATE RESEARCH STATION,14/10/2023,6.7,0.0, ,28.9,7.8,23,23,3.95,23.33
NEWDEGATE RESEARCH STATION,15/10/2023,7.1,0.0, ,28.6,8.2,23,23,4.59,23.27
NEWDEGATE RESEARCH STATION,16/10/2023, ,0.0, , ,8.4,23,23,2.65,23.21
NEWDEGATE RESEARCH STATION,17/10/2023, ,0.0, ,37.7, ,100,8,4.69,23.32
NEWDEGATE RESEARCH STATION,18/10/2023,5.6,0.0, ,26.0,12.7,88,31,4.80,21.73
NEWDEGATE RESEARCH STATION,19/10/2023, ,0.0, , ,8.8,87,32,3.32,18.67
NEWDEGATE RESEARCH STATION,20/10/2023, ,0.0, ,26.9, ,80,25,4.02,22.43
NEWDEGATE RESEARCH STATION,21/10/2023, ,0.0, , ,11.3,100,22,2.72,19.59
NEWDEGATE RESEARCH STATION,22/10/2023, ,2.4, , , ,100,22,5.43,16.85
NEWDEGATE RESEARCH STATION,23/10/2023, ,0.2, ,20.3, ,100,30,5.21,21.42
NEWDEGATE RESEARCH STATION,24/10/2023,5.2, , ,21.9,3.5,84,23,4.29,24.15
NEWDEGATE RESEARCH STATION,25/10/2023,8.1,0.0, ,28.8,7.6,72,14,6.32,24.66
NEWDEGATE RESEARCH STATION,26/10/2023,7.7,0.0, ,29.8,9.7,86,17,5.88,24.20
NEWDEGATE RESEARCH STATION,27/10/2023,4.8,0.0, ,21.4,7.5,80,27,4.26,20.40
NEWDEGATE RESEARCH STATION,28/10/2023,5.3,0.0, ,24.8,3.1,88,18,2.87,24.94
NEWDEGATE RESEARCH STATION,29/10/2023,5.3,0.0, ,26.1,6.3,85,26,3.89,19.07
NEWDEGATE RESEARCH STATION,30/10/2023,4.9,0.0, ,22.3,3.1,88,28,3.42,24.57
NEWDEGATE RESEARCH STATION,31/10/2023,5.5,0.0, ,24.4,6.2,90,23,3.92,24.12
Totals:,,138.7,4.4, ,,,,,, 
