'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWMAN AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWMAN AERO,01/03/2023,8.9,0.0, ,39.4,25.9,51,17,3.83,26.46
NEWMAN AERO,02/03/2023,9.1,0.0, ,39.7,24.9,39,15,3.91,25.56
NEWMAN AERO,03/03/2023,9.1,0.0, ,40.9,27.3,30,14,3.79,23.27
NEWMAN AERO,04/03/2023,9.8,0.0, ,41.5,29.2,41,14,4.65,21.70
NEWMAN AERO,05/03/2023,8.9,1.6, ,40.6,27.3,50,15,4.20,21.32
NEWMAN AERO,06/03/2023,9.1,0.0, ,40.1,28.2,32,11,3.80,24.20
NEWMAN AERO,07/03/2023,9.1,0.0, ,39.2,28.6,22,12,3.80,24.45
NEWMAN AERO,08/03/2023,9.5,0.0, ,38.2,27.0,33,11,4.30,25.99
NEWMAN AERO,09/03/2023,8.4,0.0, ,39.2,21.3,32,9,3.30,25.82
NEWMAN AERO,10/03/2023,8.7,0.0, ,40.2,21.6,29,8,3.34,25.72
NEWMAN AERO,11/03/2023,8.5,0.0, ,39.3,22.0,20,6,3.28,25.56
NEWMAN AERO,12/03/2023,8.6,0.0, ,39.7,23.1,28,9,3.40,25.41
NEWMAN AERO,13/03/2023,7.7,0.0, ,39.5,21.1,32,10,2.78,25.28
NEWMAN AERO,14/03/2023,7.5,0.0, ,39.9,20.0,32,7,2.59,25.14
NEWMAN AERO,15/03/2023,7.1,0.0, ,41.3,18.1,29,5,2.21,24.97
NEWMAN AERO,16/03/2023,7.8,0.0, ,42.4,20.0,25,6,2.60,24.84
NEWMAN AERO,17/03/2023,9.2,0.0, ,42.0,23.0,30,7,3.69,24.66
NEWMAN AERO,18/03/2023,8.6,0.0, ,41.2,23.6,24,8,3.37,24.45
NEWMAN AERO,19/03/2023,8.9,0.0, ,41.3,26.3,27,10,3.69,23.77
NEWMAN AERO,20/03/2023,8.2,0.0, ,41.0,24.6,40,10,3.17,24.25
NEWMAN AERO,21/03/2023,8.5,0.0, ,40.7,26.0,37,11,3.59,22.98
NEWMAN AERO,22/03/2023,7.9,0.0, ,39.9,24.2,47,16,3.37,23.13
NEWMAN AERO,23/03/2023,7.9,0.0, ,38.1,27.5,41,20,3.90,19.93
NEWMAN AERO,24/03/2023,8.0,0.0, ,39.3,24.2,59,19,4.03,20.90
NEWMAN AERO,25/03/2023,5.9,0.0, ,34.9,22.8,91,35,3.72,19.39
NEWMAN AERO,26/03/2023,5.1,2.0, ,34.8,21.4,95,31,2.96,16.30
NEWMAN AERO,27/03/2023,5.0,6.2, ,33.7,22.6,98,34,2.27,19.55
NEWMAN AERO,28/03/2023,5.4,0.0, ,34.0,23.7,93,39,3.71,17.43
NEWMAN AERO,29/03/2023,3.6,13.2, ,28.1,21.2,95,63,3.20,15.20
NEWMAN AERO,30/03/2023,3.7,85.6, ,29.7,21.5,98,56,3.48,13.94
NEWMAN AERO,31/03/2023,4.3,9.8, ,30.5,19.9,97,51,3.83,16.20
Totals:,,238,118.4, ,,,,,, 
