'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWMAN AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWMAN AERO,01/04/2023,3.4,0.2, ,28.7,20.8,93,56,2.71,12.82
NEWMAN AERO,02/04/2023,4.3,0.0, ,31.7,22.2,88,45,2.50,16.59
NEWMAN AERO,03/04/2023,4.6,0.2, ,32.6,22.0,94,42,2.95,16.88
NEWMAN AERO,04/04/2023,4.2,6.8, ,30.6,21.6,98,52,2.29,19.07
NEWMAN AERO,05/04/2023,5.1,1.2, ,33.1,21.3,98,38,2.54,20.94
NEWMAN AERO,06/04/2023,5.1,0.2, ,32.9,20.7,98,35,2.37,21.86
NEWMAN AERO,07/04/2023,5.8,0.0, ,33.8,21.8,86,39,3.92,20.56
NEWMAN AERO,08/04/2023,5.6,1.2, ,34.6,20.8,98,35,3.46,19.73
NEWMAN AERO,09/04/2023,5.5,2.6, ,34.7,20.7,93,33,2.77,21.46
NEWMAN AERO,10/04/2023,7.2,0.0, ,36.7,20.6,76,20,4.03,21.53
NEWMAN AERO,11/04/2023,6.0,0.0, ,30.3,18.5,64,30,4.02,21.16
NEWMAN AERO,12/04/2023,5.2,0.0, ,33.5,19.1,92,39,3.14,19.73
NEWMAN AERO,13/04/2023,3.6,3.6, ,29.0,22.8,96,68,3.73,15.69
NEWMAN AERO,14/04/2023,3.9,3.0, ,24.5,19.9,94,48,4.72,15.36
NEWMAN AERO,15/04/2023,5.0,0.0, ,22.5,11.5,70,24,4.48,20.90
NEWMAN AERO,16/04/2023,4.5,0.0, ,25.0,8.3,93,21,3.14,20.76
NEWMAN AERO,17/04/2023,4.7,0.0, ,27.2,9.0,89,19,2.90,20.63
NEWMAN AERO,18/04/2023,5.4,0.0, ,28.6,12.0,81,20,3.63,20.49
NEWMAN AERO,19/04/2023, ,0.0, , ,11.8,71,24,4.78,19.84
NEWMAN AERO,20/04/2023, , , ,26.0, ,64,30,4.64,20.22
NEWMAN AERO,21/04/2023,5.2,0.0, ,27.4,13.5,65,23,3.57,19.99
NEWMAN AERO,22/04/2023,4.8,0.0, ,28.3,14.8,57,24,3.00,17.73
NEWMAN AERO,23/04/2023,4.7,0.0, ,30.6,13.8,71,22,2.40,18.86
NEWMAN AERO,24/04/2023,5.8,0.0, ,32.2,18.0,72,21,3.62,19.43
NEWMAN AERO,25/04/2023,6.3,0.0, ,32.9,17.0,68,21,4.25,18.39
NEWMAN AERO,26/04/2023,4.9,0.0, ,26.5,15.7,66,24,3.47,19.44
NEWMAN AERO,27/04/2023,4.1,0.0, ,27.5,14.5,59,30,2.54,16.20
NEWMAN AERO,28/04/2023,5.1,0.0, ,28.9,17.1,62,27,3.63,17.09
NEWMAN AERO,29/04/2023,5.1,0.0, ,25.2,14.0,60,20,3.99,19.06
NEWMAN AERO,30/04/2023,3.3,0.0, ,24.2,8.0,72,21,1.90,15.31
Totals:,,138.4,19, ,,,,,, 
