'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWMAN AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWMAN AERO,01/09/2023,6.1,0.0, ,32.4,9.6,38,8,2.83,21.37
NEWMAN AERO,02/09/2023,7.1,0.0, ,32.7,14.0,30,8,3.76,21.44
NEWMAN AERO,03/09/2023,6.1,0.0, ,26.5,13.0,51,16,4.33,21.57
NEWMAN AERO,04/09/2023,5.1,0.0, ,25.8,10.2,64,19,3.12,21.68
NEWMAN AERO,05/09/2023,5.8,0.0, ,29.7,8.6,51,13,3.10,21.81
NEWMAN AERO,06/09/2023,6.4,0.0, ,28.9,15.1,33,16,3.74,21.96
NEWMAN AERO,07/09/2023,6.8,0.0, ,26.1,14.9,42,12,4.98,22.05
NEWMAN AERO,08/09/2023,6.7,0.0, ,29.0,12.6,25,11,3.83,22.21
NEWMAN AERO,09/09/2023,5.9,0.0, ,32.0,9.4,32,11,2.59,22.47
NEWMAN AERO,10/09/2023,6.1,0.0, ,33.2,17.8,33,14,2.78,20.51
NEWMAN AERO,11/09/2023,7.0,0.0, ,34.9,15.6,44,11,3.29,22.65
NEWMAN AERO,12/09/2023,6.9,0.0, ,33.7,15.1,31,9,3.18,22.64
NEWMAN AERO,13/09/2023,9.4,0.0, ,34.6,15.7,29,9,5.55,22.97
NEWMAN AERO,14/09/2023,6.6,0.0, ,33.4,17.4,56,11,3.05,23.12
NEWMAN AERO,15/09/2023,6.0,0.0, ,34.9,14.9,37,13,2.23,23.26
NEWMAN AERO,16/09/2023,7.2,0.0, ,35.6,14.5,37,7,3.08,23.41
NEWMAN AERO,17/09/2023,6.8,0.0, ,35.0,14.0,28,7,2.75,23.53
NEWMAN AERO,18/09/2023,7.7,0.0, ,35.4,13.8,32,8,3.54,23.30
NEWMAN AERO,19/09/2023,7.8,0.0, ,33.8,18.3,35,10,4.03,23.04
NEWMAN AERO,20/09/2023,7.7,0.0, ,33.1,18.2,31,11,3.88,23.45
NEWMAN AERO,21/09/2023,7.2,0.0, ,36.7,18.0,29,10,2.86,23.85
NEWMAN AERO,22/09/2023,7.7,0.0, ,36.6,18.1,35,11,3.37,24.16
NEWMAN AERO,23/09/2023, ,0.0, , ,21.3,28,11,3.90,24.33
NEWMAN AERO,24/09/2023,7.9, , ,36.3,20.3,33,11,3.45,24.42
NEWMAN AERO,25/09/2023,8.3,0.0, ,36.8,23.3,29,12,3.82,23.58
NEWMAN AERO,26/09/2023,7.7,0.0, ,36.9,18.6,48,10,3.36,23.76
NEWMAN AERO,27/09/2023,9.1,0.0, ,36.9,18.5,33,10,4.53,24.72
NEWMAN AERO,28/09/2023,8.2,0.0, ,37.2,18.3,28,9,3.55,24.64
NEWMAN AERO,29/09/2023,7.1,0.0, ,38.1,15.0,27,6,2.44,25.00
NEWMAN AERO,30/09/2023,9.1,0.0, ,37.7,18.5,22,8,4.11,25.07
Totals:,,207.5,0, ,,,,,, 
