'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/01/2023, ,0.0, ,26.0,20.0,80,51,12.42, 
NORTH ISLAND,02/01/2023, ,0.0, ,27.0,20.6,85,55,13.18, 
NORTH ISLAND,03/01/2023, ,0.0, ,29.1,22.3,79,49,11.37, 
NORTH ISLAND,04/01/2023, ,0.0, ,32.4,23.7,72,45,8.64, 
NORTH ISLAND,05/01/2023, ,0.0, ,38.5,23.3,86,17,3.77, 
NORTH ISLAND,06/01/2023, ,0.0, ,28.3,22.8,98,59,8.98, 
NORTH ISLAND,07/01/2023, , , ,24.7,19.5,76,53,12.67, 
NORTH ISLAND,08/01/2023, ,0.0, ,26.8,20.0,83,61,11.56, 
NORTH ISLAND,09/01/2023, ,0.0, ,27.0,20.8,86,65,10.06, 
NORTH ISLAND,10/01/2023, ,0.0, ,26.5,20.2,89,56,7.42, 
NORTH ISLAND,11/01/2023, ,0.0, ,25.9,19.7,73,52,8.89, 
NORTH ISLAND,12/01/2023, ,0.0, ,26.7,19.9,78,57,8.86, 
NORTH ISLAND,13/01/2023, ,0.0, ,26.7,21.1,79,58,10.95, 
NORTH ISLAND,14/01/2023, ,0.0, ,26.1,21.2,82,57,13.96, 
NORTH ISLAND,15/01/2023, ,0.0, ,26.8,21.8,79,57,11.60, 
NORTH ISLAND,16/01/2023, ,0.0, ,25.8,19.7,79,51,12.26, 
NORTH ISLAND,17/01/2023, ,0.0, ,25.6,19.1,77,49,12.46, 
NORTH ISLAND,18/01/2023, ,0.0, ,27.9,20.5,79,54,10.57, 
NORTH ISLAND,19/01/2023, ,0.0, ,28.4,22.0,83,64,8.01, 
NORTH ISLAND,20/01/2023, ,0.0, ,27.1,21.2,90,71,5.97, 
NORTH ISLAND,21/01/2023, ,0.0, ,27.3,21.2,91,64,6.43, 
NORTH ISLAND,22/01/2023, ,0.0, ,26.3,21.0,85,62,7.40, 
NORTH ISLAND,23/01/2023, ,0.0, ,27.0,21.0,84,60,8.79, 
NORTH ISLAND,24/01/2023, ,0.0, ,27.2,21.0,85,64,8.84, 
NORTH ISLAND,25/01/2023, ,0.4, ,28.1,20.6,89,58,10.09, 
NORTH ISLAND,26/01/2023, ,0.0, ,29.2,22.0,85,54,8.16, 
NORTH ISLAND,27/01/2023, ,0.0, ,27.0,21.2,82,60,11.69, 
NORTH ISLAND,28/01/2023, ,0.0, ,27.4,20.2,85,60,10.32, 
NORTH ISLAND,29/01/2023, ,0.0, ,29.4,21.5,89,60,7.56, 
NORTH ISLAND,30/01/2023, ,0.0, ,29.8,23.0,93,58,5.26, 
NORTH ISLAND,31/01/2023, ,0.0, ,27.9,22.2,90,68,7.49, 
Totals:,, ,0.4, ,,,,,, 
