'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/02/2023, ,0.0, ,28.0,22.2,88,55,9.99, 
NORTH ISLAND,02/02/2023, ,0.0, ,29.7,23.7,85,57,7.71, 
NORTH ISLAND,03/02/2023, ,0.0, ,37.1,23.3,88,29,4.45, 
NORTH ISLAND,04/02/2023, ,0.0, ,30.3,23.6,92,65,4.96, 
NORTH ISLAND,05/02/2023, ,0.0, ,29.4,22.7,89,60,7.08, 
NORTH ISLAND,06/02/2023, ,0.0, ,27.7,22.3,79,54,7.88, 
NORTH ISLAND,07/02/2023, ,0.0, ,28.4,21.1,78,51,8.72, 
NORTH ISLAND,08/02/2023, ,0.0, ,28.3,21.9,82,63,9.31, 
NORTH ISLAND,09/02/2023, ,0.0, ,28.1,22.1,84,67,9.99, 
NORTH ISLAND,10/02/2023, ,0.0, ,27.4,22.4,85,62,10.99, 
NORTH ISLAND,11/02/2023, ,0.0, ,27.2,21.4,78,54,11.04, 
NORTH ISLAND,12/02/2023, ,0.0, ,28.2,21.4,85,64,9.60, 
NORTH ISLAND,13/02/2023, ,0.0, ,29.2,22.3,89,60,8.45, 
NORTH ISLAND,14/02/2023, ,0.0, ,27.8,21.2,90,57,7.77, 
NORTH ISLAND,15/02/2023, ,0.0, ,27.6,20.6,77,47,6.68, 
NORTH ISLAND,16/02/2023, ,0.0, ,27.1,20.9,76,48,8.10, 
NORTH ISLAND,17/02/2023, ,0.0, ,27.4,21.1,81,53,10.02, 
NORTH ISLAND,18/02/2023, ,0.0, ,28.3,21.9,87,64,9.86, 
NORTH ISLAND,19/02/2023, ,0.0, ,27.9,22.4,86,67,9.64, 
NORTH ISLAND,20/02/2023, ,0.0, ,28.2,22.3,87,67,7.60, 
NORTH ISLAND,21/02/2023, ,0.0, ,28.7,22.0,81,57,7.50, 
NORTH ISLAND,22/02/2023, ,0.0, ,27.9,22.2,79,62,9.61, 
NORTH ISLAND,23/02/2023, ,0.0, ,27.4,21.2,73,49,11.90, 
NORTH ISLAND,24/02/2023, ,0.0, ,27.8,20.8,78,53,11.99, 
NORTH ISLAND,25/02/2023, ,0.0, ,30.1,22.8,76,53,8.47, 
NORTH ISLAND,26/02/2023, ,0.0, ,32.8,23.8,81,42,5.55, 
NORTH ISLAND,27/02/2023, ,0.0, ,26.6,24.0,88,68,6.17, 
NORTH ISLAND,28/02/2023, ,0.0, ,30.6,23.5,90,59,5.94, 
Totals:,, ,0, ,,,,,, 
