'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/04/2023, ,0.2, ,27.8,20.7,87,62,4.28, 
NORTH ISLAND,02/04/2023, ,0.0, ,27.7,21.7,80,61,6.71, 
NORTH ISLAND,03/04/2023, ,0.0, ,28.1,21.9,80,59,8.09, 
NORTH ISLAND,04/04/2023, ,0.0, ,27.4,22.2,75,50,8.74, 
NORTH ISLAND,05/04/2023, ,0.0, ,25.8,20.7,72,46,8.18, 
NORTH ISLAND,06/04/2023, ,0.0, ,26.3,20.0,72,41,6.66, 
NORTH ISLAND,07/04/2023, ,0.0, ,26.5,21.0,69,45,7.09, 
NORTH ISLAND,08/04/2023, ,0.0, ,26.0,17.3,77,47,5.43, 
NORTH ISLAND,09/04/2023, ,0.0, ,24.1,19.2,72,56,4.68, 
NORTH ISLAND,10/04/2023, ,0.0, ,27.1,16.5,88,41,6.36, 
NORTH ISLAND,11/04/2023, ,3.0, ,24.6,19.1,64,49,6.42, 
NORTH ISLAND,12/04/2023, ,0.0, ,25.2,19.4,72,55,5.03, 
NORTH ISLAND,13/04/2023, ,0.0, ,26.5,20.3,88,44,7.38, 
NORTH ISLAND,14/04/2023, ,0.6, ,23.0,17.7,73,37,12.49, 
NORTH ISLAND,15/04/2023, ,0.0, ,22.1,16.3,80,44,7.27, 
NORTH ISLAND,16/04/2023, ,0.0, ,24.9,17.0,72,36,6.47, 
NORTH ISLAND,17/04/2023, ,0.0, ,25.6,20.4,76,56,8.62, 
NORTH ISLAND,18/04/2023, , , , ,20.0,81,59,10.32, 
NORTH ISLAND,19/04/2023, , , ,27.7,20.7,82,46,7.93, 
NORTH ISLAND,20/04/2023, , , ,27.3, ,81,40,6.31, 
NORTH ISLAND,21/04/2023, , , , ,21.1, , , , 
NORTH ISLAND,22/04/2023, , , , , , , , , 
NORTH ISLAND,23/04/2023, , , , ,14.0,95,59,3.88, 
NORTH ISLAND,24/04/2023, , , ,22.3,20.0,81,50,8.93, 
NORTH ISLAND,25/04/2023, ,0.2, ,22.5,14.6,76,40,7.46, 
NORTH ISLAND,26/04/2023, ,0.2, ,25.4,17.4,77,46,6.27, 
NORTH ISLAND,27/04/2023, ,0.2, ,24.7,18.4,74,55,8.67, 
NORTH ISLAND,28/04/2023, ,0.0, ,22.6,18.6,71,38,11.68, 
NORTH ISLAND,29/04/2023, ,0.0, ,25.6,17.8,69,31,9.02, 
NORTH ISLAND,30/04/2023, ,0.0, , ,19.5,68,41,6.75, 
Totals:,, ,4.4, ,,,,,, 
