'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/05/2023, ,0.0, ,24.6,19.4,75,49,8.92, 
NORTH ISLAND,02/05/2023, ,0.0, ,25.9,19.5,75,39,8.06, 
NORTH ISLAND,03/05/2023, ,0.0, ,27.7,19.5,81,34,5.08, 
NORTH ISLAND,04/05/2023, , , ,26.2,21.1,82,59,8.92, 
NORTH ISLAND,05/05/2023, , , , ,21.2,82,49,7.87, 
NORTH ISLAND,06/05/2023, , , ,26.0,21.2,94,55,7.42, 
NORTH ISLAND,07/05/2023, ,17.6, ,25.6,18.5,85,53,5.40, 
NORTH ISLAND,08/05/2023, , , , ,19.4,95,48,5.97, 
NORTH ISLAND,09/05/2023, , , ,26.7, ,98,62,3.93, 
NORTH ISLAND,10/05/2023, ,0.0, ,25.3,20.2,74,51,6.59, 
NORTH ISLAND,11/05/2023, ,0.0, ,22.9,18.2,63,44,7.60, 
NORTH ISLAND,12/05/2023, ,0.0, ,25.5,18.3,65,48,4.83, 
NORTH ISLAND,13/05/2023, ,0.0, ,24.5,18.5,85,43,6.98, 
NORTH ISLAND,14/05/2023, ,0.2, ,23.3,18.4,81,50,7.32, 
NORTH ISLAND,15/05/2023, ,0.0, ,22.5,17.8,65,45,7.14, 
NORTH ISLAND,16/05/2023, ,0.0, ,24.1,18.9,70,52,7.41, 
NORTH ISLAND,17/05/2023, , , ,26.1,20.5,77,42,4.17, 
NORTH ISLAND,18/05/2023, , , ,28.8, ,77,37,5.55, 
NORTH ISLAND,19/05/2023, , , ,27.3,22.2,66,31,7.83, 
NORTH ISLAND,20/05/2023, , , ,26.3,20.2,52,28,8.10, 
NORTH ISLAND,21/05/2023, ,0.0, ,26.0,19.9,59,29,7.76, 
NORTH ISLAND,22/05/2023, ,0.0, , ,19.4,76,35,6.36, 
NORTH ISLAND,23/05/2023, , , ,26.8, ,83,54,5.74, 
NORTH ISLAND,24/05/2023, , , ,24.2,18.0,98,60,8.05, 
NORTH ISLAND,25/05/2023, ,6.6, ,20.1,16.9,84,45,11.22, 
NORTH ISLAND,26/05/2023, ,0.0, ,22.4,17.3,59,43,8.07, 
NORTH ISLAND,27/05/2023, ,0.0, ,22.7,18.1,54,31,5.64, 
NORTH ISLAND,28/05/2023, , , ,23.1,18.4,61,37,5.37, 
NORTH ISLAND,29/05/2023, ,0.0, , ,19.3,80,44,5.31, 
NORTH ISLAND,30/05/2023, , , , , ,84,59,4.60, 
NORTH ISLAND,31/05/2023, , , ,21.8, ,98,71,5.20, 
Totals:,, ,24.4, ,,,,,, 
