'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/09/2022,2.3,1.2, ,17.9,4.9,100,58,3.10,15.26
NORTH WALPOLE,02/09/2022,2.4,0.2, ,17.8,9.1,99,53,3.88,12.46
NORTH WALPOLE,03/09/2022,1.9,0.0, ,17.2,10.7,92,66,3.95,8.15
NORTH WALPOLE,04/09/2022, ,0.0, , ,9.3,99,67,3.26,12.24
NORTH WALPOLE,05/09/2022,2.0, , ,16.4,11.5,100,67,3.40,13.74
NORTH WALPOLE,06/09/2022,1.8,1.8, ,15.3,4.8,100,64,2.01,14.07
NORTH WALPOLE,07/09/2022,2.1,6.0, ,16.7,10.1,100,55,3.26,10.29
NORTH WALPOLE,08/09/2022,1.8,2.0, ,15.0,9.3,97,55,2.00,10.48
NORTH WALPOLE,09/09/2022,2.5,0.0, ,18.6,9.6,99,55,2.16,16.90
NORTH WALPOLE,10/09/2022,2.0,0.0, ,17.8,9.8,100,66,1.93,13.20
NORTH WALPOLE,11/09/2022,2.8,0.0, ,21.6,8.8,100,44,1.97,16.91
NORTH WALPOLE,12/09/2022,3.3,0.0, ,23.4,11.2,100,44,3.20,15.59
NORTH WALPOLE,13/09/2022,2.9,9.6, ,17.3,11.7,100,49,6.55,13.20
NORTH WALPOLE,14/09/2022,2.5,10.6, ,14.8,8.4,95,62,7.56,14.45
NORTH WALPOLE,15/09/2022,2.2,4.4, ,16.3,11.0,99,65,5.57,11.44
NORTH WALPOLE,16/09/2022,2.7,1.8, ,16.6,11.0,99,57,3.69,17.71
NORTH WALPOLE,17/09/2022,2.4,1.8, ,17.4,11.6,100,60,3.65,13.49
NORTH WALPOLE,18/09/2022,2.2,1.4, ,17.0,9.8,100,63,2.31,14.56
NORTH WALPOLE,19/09/2022, ,1.0, , ,9.1,100,49,3.47,12.52
NORTH WALPOLE,20/09/2022, , , ,18.6, ,100,61,6.80,13.19
NORTH WALPOLE,21/09/2022, ,0.2, , ,12.5,100,49,6.30,13.99
NORTH WALPOLE,22/09/2022, , , ,14.8, ,99,52,1.86,12.50
NORTH WALPOLE,23/09/2022,3.2,0.0, ,18.5,6.9,99,50,4.47,18.30
NORTH WALPOLE,24/09/2022,2.2,10.6, ,15.2,9.1,100,61,3.33,13.78
NORTH WALPOLE,25/09/2022,2.6,2.6, ,17.7,8.4,100,58,3.64,15.47
NORTH WALPOLE,26/09/2022,2.1,0.4, ,17.7,11.1,100,72,1.29,14.24
NORTH WALPOLE,27/09/2022,2.5,0.2, ,19.9,11.0,100,61,1.11,15.66
NORTH WALPOLE,28/09/2022,2.8,0.0, ,19.5,11.7,100,67,2.99,18.05
NORTH WALPOLE,29/09/2022,3.9,0.0, ,23.7,12.0,99,54,3.68,21.93
NORTH WALPOLE,30/09/2022,4.0,0.0, ,22.6,10.8,99,44,3.37,22.41
Totals:,,63.1,55.8, ,,,,,, 
