'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/11/2022,2.2,1.0, ,15.9,10.6,100,86,2.84,15.88
NORTH WALPOLE,02/11/2022,2.3,2.2, ,16.3,10.8,100,71,2.94,13.82
NORTH WALPOLE,03/11/2022,4.1,0.0, ,22.7,9.9,99,60,3.30,24.50
NORTH WALPOLE,04/11/2022,3.7,0.2, ,19.0,14.1,99,56,4.43,20.94
NORTH WALPOLE,05/11/2022,3.7,0.0, ,17.7,10.9,92,59,2.85,24.62
NORTH WALPOLE,06/11/2022,3.3,0.0, ,19.9,7.5,99,59,3.92,18.83
NORTH WALPOLE,07/11/2022,2.9,0.4, ,19.1,11.9,99,70,4.90,16.84
NORTH WALPOLE,08/11/2022,3.0,0.0, ,18.2,13.1,99,62,3.98,17.22
NORTH WALPOLE,09/11/2022,3.9,0.0, ,21.3,9.8,100,52,1.85,23.99
NORTH WALPOLE,10/11/2022,2.9,0.0, ,19.9,10.1,100,61,3.61,14.91
NORTH WALPOLE,11/11/2022,3.4,30.4, ,15.7,9.5,99,58,4.49,23.81
NORTH WALPOLE,12/11/2022,1.9,3.2, ,13.7,9.6,99,67,4.08,9.70
NORTH WALPOLE,13/11/2022,2.7,4.2, ,16.1,10.6,95,68,2.59,17.06
NORTH WALPOLE,14/11/2022,3.6,0.2, ,17.6,10.4,99,58,2.55,23.69
NORTH WALPOLE,15/11/2022,4.7,0.0, ,22.6,9.0,100,54,3.34,29.26
NORTH WALPOLE,16/11/2022,6.4,0.0, ,29.0,11.0,100,22,3.87,25.46
NORTH WALPOLE,17/11/2022,2.8,2.8, ,17.4,12.4,100,73,5.95,18.32
NORTH WALPOLE,18/11/2022,2.8,18.8, ,14.5,9.0,100,59,4.47,18.09
NORTH WALPOLE,19/11/2022,3.2,6.6, ,18.3,7.4,100,61,3.69,19.59
NORTH WALPOLE,20/11/2022,3.8,1.2, ,18.1,10.6,99,60,2.82,25.12
NORTH WALPOLE,21/11/2022,4.6,0.0, ,18.9,7.6,88,52,4.54,30.50
NORTH WALPOLE,22/11/2022,4.4,0.0, ,21.7,9.0,98,63,4.18,28.43
NORTH WALPOLE,23/11/2022,5.4,0.0, ,25.4,14.3,99,49,2.88,29.54
NORTH WALPOLE,24/11/2022,3.5,0.2, ,20.3,14.4,100,61,2.45,20.25
NORTH WALPOLE,25/11/2022,3.8,0.0, ,21.6,11.2,100,59,2.55,22.49
NORTH WALPOLE,26/11/2022,3.0,3.4, ,17.8,13.2,99,63,2.86,17.23
NORTH WALPOLE,27/11/2022,3.4,0.0, ,18.2,11.7,89,55,2.89,18.20
NORTH WALPOLE,28/11/2022,3.9,0.0, ,19.7,12.9,88,63,3.69,22.60
NORTH WALPOLE,29/11/2022,4.9,0.0, ,23.1,9.8,99,61,3.73,31.23
NORTH WALPOLE,30/11/2022,5.5,0.0, ,27.3,13.1,100,34,3.24,25.13
Totals:,,109.7,74.8, ,,,,,, 
