'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/01/2023,3.9,0.0, ,21.0,12.9,100,55,2.18,21.94
NORTH WALPOLE,02/01/2023,4.3,0.2, ,21.7,13.5,87,59,3.49,23.16
NORTH WALPOLE,03/01/2023,4.0,0.0, ,22.2,15.2,90,61,5.17,18.92
NORTH WALPOLE,04/01/2023,6.4,0.0, ,26.2,15.8,84,49,5.66,31.12
NORTH WALPOLE,05/01/2023,7.6,0.0, ,31.4,14.5,99,32,4.70,31.75
NORTH WALPOLE,06/01/2023,3.0,0.0, ,22.0,18.1,99,45,5.00,6.85
NORTH WALPOLE,07/01/2023,4.5,0.2, ,22.8,14.7,91,51,2.74,23.46
NORTH WALPOLE,08/01/2023,3.7,0.0, ,21.5,13.5,99,62,2.60,20.93
NORTH WALPOLE,09/01/2023,5.4,0.0, ,24.8,12.9,99,57,3.79,31.16
NORTH WALPOLE,10/01/2023,5.7,0.6, ,27.5,15.6,100,48,3.85,28.01
NORTH WALPOLE,11/01/2023,4.3,0.2, ,24.0,15.2,100,51,2.31,22.22
NORTH WALPOLE,12/01/2023,5.2,0.0, ,25.5,13.1,100,54,1.97,29.64
NORTH WALPOLE,13/01/2023,4.6,0.0, ,25.9,14.0,100,56,3.84,22.98
NORTH WALPOLE,14/01/2023,5.2,0.6, ,20.2,13.9,68,48,5.93,23.68
NORTH WALPOLE,15/01/2023,5.5,0.0, ,25.3,10.0,92,45,3.00,30.48
NORTH WALPOLE,16/01/2023,3.5,0.0, ,20.0,14.5,96,53,4.09,16.54
NORTH WALPOLE,17/01/2023,3.6,0.4, ,19.1,12.8,88,52,4.43,16.68
NORTH WALPOLE,18/01/2023,5.2,0.6, ,22.2,10.7,77,44,5.25,24.14
NORTH WALPOLE,19/01/2023,6.2,0.0, ,25.8,12.4,89,43,5.42,30.64
NORTH WALPOLE,20/01/2023,6.2,0.0, ,27.5,13.9,99,46,4.88,30.41
NORTH WALPOLE,21/01/2023,6.5,0.0, ,29.2,15.9,94,44,5.15,28.23
NORTH WALPOLE,22/01/2023,7.5,1.8, ,31.4,17.0,96,33,5.31,29.64
NORTH WALPOLE,23/01/2023,5.8,0.0, ,28.3,15.1,100,52,3.47,30.24
NORTH WALPOLE,24/01/2023,3.6,0.0, ,23.2,17.5,100,63,3.81,17.80
NORTH WALPOLE,25/01/2023,5.0,0.0, ,21.9,15.2,83,51,4.69,25.49
NORTH WALPOLE,26/01/2023,5.1,0.0, ,25.0,10.1,99,50,2.28,29.88
NORTH WALPOLE,27/01/2023,3.0,5.0, ,20.2,14.6,100,53,3.20,13.37
NORTH WALPOLE,28/01/2023,4.6,0.0, ,21.2,11.4,99,48,2.16,28.26
NORTH WALPOLE,29/01/2023,5.1,0.0, ,23.1,12.4,88,53,3.90,29.45
NORTH WALPOLE,30/01/2023,4.6,0.0, ,23.4,13.2,100,61,3.23,27.88
NORTH WALPOLE,31/01/2023,2.5,0.0, ,19.5,15.8,100,60,4.70,9.42
Totals:,,151.3,9.6, ,,,,,, 
