'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/05/2023,1.5,3.8, ,18.7,11.3,100,59,0.89,11.87
NORTH WALPOLE,02/05/2023,1.1,0.0, ,18.6,8.9,100,61,0.72,6.79
NORTH WALPOLE,03/05/2023,1.6,0.0, ,19.9,8.2,100,58,0.79,13.50
NORTH WALPOLE,04/05/2023,1.8,0.2, ,20.3,11.2,100,60,2.59,10.76
NORTH WALPOLE,05/05/2023,1.8,3.6, ,16.0,11.5,85,64,3.98,8.59
NORTH WALPOLE,06/05/2023,2.3,0.0, ,18.1,10.7,81,52,3.70,10.73
NORTH WALPOLE,07/05/2023,1.5,0.6, ,17.0,12.2,94,71,4.05,6.98
NORTH WALPOLE,08/05/2023,3.4,0.0, ,22.6,12.9,78,36,4.19,12.19
NORTH WALPOLE,09/05/2023,3.5,0.0, ,24.1,14.6,83,39,4.95,9.55
NORTH WALPOLE,10/05/2023,1.8,5.6, ,16.0,13.4,100,61,6.62,7.29
NORTH WALPOLE,11/05/2023,1.5,13.2, ,16.7,9.8,99,56,2.11,8.75
NORTH WALPOLE,12/05/2023,2.1,0.0, ,18.9,7.2,99,49,3.46,10.93
NORTH WALPOLE,13/05/2023,1.6,8.2, ,19.4,11.6,100,66,3.25,9.15
NORTH WALPOLE,14/05/2023,1.2,1.8, ,18.2,11.1,100,72,2.03,6.82
NORTH WALPOLE,15/05/2023,1.2,0.0, ,18.5,12.0,100,79,1.71,9.51
NORTH WALPOLE,16/05/2023,1.5,2.4, ,20.8,11.5,100,63,1.68,11.68
NORTH WALPOLE,17/05/2023,1.7,0.4, ,20.8,10.7,100,62,2.61,11.98
NORTH WALPOLE,18/05/2023,2.0,0.2, ,21.8,12.3,100,58,3.16,11.89
NORTH WALPOLE,19/05/2023,1.6,0.2, ,20.8,11.0,100,67,2.61,11.39
NORTH WALPOLE,20/05/2023,1.4,0.2, ,19.3,8.8,100,64,1.85,11.65
NORTH WALPOLE,21/05/2023,1.8,0.0, ,20.2,7.7,99,54,2.63,10.43
NORTH WALPOLE,22/05/2023,1.9,0.0, ,21.9,11.9,81,50,2.08,11.16
NORTH WALPOLE,23/05/2023,2.5,0.0, ,22.0,12.4,100,43,4.21,9.84
NORTH WALPOLE,24/05/2023,2.0,7.6, ,17.7,13.6,100,49,4.62,8.47
NORTH WALPOLE,25/05/2023,1.7,0.2, ,14.7,12.1,81,55,3.30,5.60
NORTH WALPOLE,26/05/2023,1.1,0.0, ,14.7,10.4,93,58,1.67,6.76
NORTH WALPOLE,27/05/2023,1.7,0.0, ,18.8,7.8,93,65,3.96,8.90
NORTH WALPOLE,28/05/2023,1.5,0.0, ,17.6,12.3,88,69,4.07,5.69
NORTH WALPOLE,29/05/2023,1.1,0.0, ,18.0,8.8,99,67,1.87,4.59
NORTH WALPOLE,30/05/2023,1.9,0.0, ,22.5,12.4,100,66,4.54,9.27
NORTH WALPOLE,31/05/2023,0.9,6.8, ,15.6,14.1,100,81,4.16,2.90
Totals:,,54.2,55, ,,,,,, 
