'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/07/2023,1.3,0.2, ,15.9,4.7,99,53,2.54,10.62
NORTH WALPOLE,02/07/2023,2.4,0.0, ,17.7,6.0,81,38,4.21,10.65
NORTH WALPOLE,03/07/2023,1.7,0.2, ,14.7,10.7,100,55,6.24,5.69
NORTH WALPOLE,04/07/2023,1.4,32.2, ,14.0,7.6,100,66,6.90,7.81
NORTH WALPOLE,05/07/2023,1.4,14.4, ,14.3,7.8,100,63,5.28,9.42
NORTH WALPOLE,06/07/2023,1.3,13.2, ,16.2,8.4,100,73,5.49,9.32
NORTH WALPOLE,07/07/2023,1.5,10.8, ,16.4,10.3,100,68,6.35,7.41
NORTH WALPOLE,08/07/2023, ,1.4, , ,12.0,100,64,4.43,8.01
NORTH WALPOLE,09/07/2023,2.0,0.0, ,18.3,13.1,99,59,6.36,9.62
NORTH WALPOLE,10/07/2023,1.8,2.8, ,18.8,12.5,100,66,6.62,10.23
NORTH WALPOLE,11/07/2023,1.7,0.4, ,18.7,13.3,100,70,7.29,7.97
NORTH WALPOLE,12/07/2023,1.8,1.4, ,18.7,14.3,99,69,8.52,8.28
NORTH WALPOLE,13/07/2023,1.6,5.4, ,15.2,11.5,100,62,5.33,9.39
NORTH WALPOLE,14/07/2023,1.3,9.4, ,14.4,8.4,100,57,2.61,10.60
NORTH WALPOLE,15/07/2023,1.5,0.0, ,15.3,3.8,99,56,3.23,11.33
NORTH WALPOLE,16/07/2023,2.6,0.0, ,16.8,9.2,72,57,6.80,11.33
NORTH WALPOLE,17/07/2023,1.6,4.0, ,17.6,11.3,100,58,3.06,10.38
NORTH WALPOLE,18/07/2023,2.1,0.0, ,18.7,12.0,100,53,5.48,7.70
NORTH WALPOLE,19/07/2023,1.4,20.8, ,11.8,7.9,100,60,5.49,6.55
NORTH WALPOLE,20/07/2023,1.3,6.4, ,15.3,6.8,99,77,6.40,9.37
NORTH WALPOLE,21/07/2023,1.8,3.2, ,16.1,10.8,100,60,5.96,8.67
NORTH WALPOLE,22/07/2023,1.3,4.2, ,18.3,7.0,99,61,1.89,10.01
NORTH WALPOLE,23/07/2023,1.5,0.2, ,18.2,7.8,99,52,1.87,11.95
NORTH WALPOLE,24/07/2023,2.6,0.0, ,19.5,7.1,93,36,3.85,12.04
NORTH WALPOLE,25/07/2023,2.4,0.0, ,15.6,13.0,80,44,4.78,4.22
NORTH WALPOLE,26/07/2023,1.4,2.6, ,14.1,9.9,100,72,7.66,10.18
NORTH WALPOLE,27/07/2023,1.6,37.4, ,16.5,10.2,100,64,4.88,8.19
NORTH WALPOLE,28/07/2023,1.5,1.4, ,15.9,10.0,100,74,7.56,8.60
NORTH WALPOLE,29/07/2023,1.0,8.8, ,15.5,11.6,100,86,5.30,8.13
NORTH WALPOLE,30/07/2023,1.3,2.2, ,15.8,11.0,100,70,2.95,7.87
NORTH WALPOLE,31/07/2023,1.6,0.6, ,18.0,9.5,100,64,2.62,11.86
Totals:,,49.7,183.6, ,,,,,, 
