'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ONSLOW AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ONSLOW AIRPORT,01/09/2023,7.9,0.0, ,34.3,16.3,63,13,4.78,22.01
ONSLOW AIRPORT,02/09/2023,7.4,0.0, ,30.9,17.2,76,29,6.70,22.08
ONSLOW AIRPORT,03/09/2023,6.7,0.0, ,29.0,15.4,87,27,6.48,22.15
ONSLOW AIRPORT,04/09/2023,7.0,0.0, ,28.9,15.6,76,27,6.52,22.29
ONSLOW AIRPORT,05/09/2023,7.2,0.0, ,31.1,14.9,87,18,5.40,22.41
ONSLOW AIRPORT,06/09/2023,8.4,0.0, ,33.6,17.0,67,17,5.81,22.55
ONSLOW AIRPORT,07/09/2023,6.9,0.0, ,29.8,18.1,95,25,6.49,22.62
ONSLOW AIRPORT,08/09/2023,5.0,0.0, ,28.1,18.0,97,47,4.48,22.66
ONSLOW AIRPORT,09/09/2023,6.0,0.0, ,31.7,16.9,94,33,4.10,22.97
ONSLOW AIRPORT,10/09/2023,6.4,0.0, ,31.7,17.9,87,33,4.62,23.11
ONSLOW AIRPORT,11/09/2023,7.0,0.0, ,34.1,18.6,73,26,4.09,23.19
ONSLOW AIRPORT,12/09/2023,7.6,0.0, ,33.9,19.5,76,31,5.58,23.27
ONSLOW AIRPORT,13/09/2023,5.3,0.0, ,28.7,17.7,91,53,5.45,23.39
ONSLOW AIRPORT,14/09/2023,6.5,0.0, ,29.3,18.2,89,35,6.27,23.60
ONSLOW AIRPORT,15/09/2023,7.8,0.0, ,32.9,17.4,89,22,5.89,23.73
ONSLOW AIRPORT,16/09/2023,9.0,0.0, ,36.1,18.5,76,14,5.51,23.92
ONSLOW AIRPORT,17/09/2023,8.9,0.0, ,36.6,19.5,88,19,5.90,24.00
ONSLOW AIRPORT,18/09/2023,9.5,0.0, ,36.4,18.8,81,16,6.41,24.08
ONSLOW AIRPORT,19/09/2023,9.7,0.0, ,36.3,18.3,64,13,5.94,24.04
ONSLOW AIRPORT,20/09/2023,7.4,0.0, ,32.2,20.7,98,18,5.39,24.34
ONSLOW AIRPORT,21/09/2023,5.0,0.2, ,27.8,20.0,98,54,4.38,24.27
ONSLOW AIRPORT,22/09/2023,8.4,0.0, ,35.3,18.2,92,18,5.53,24.65
ONSLOW AIRPORT,23/09/2023,9.5,0.0, ,35.9,19.8,69,17,6.12,24.74
ONSLOW AIRPORT,24/09/2023,8.4,0.0, ,33.0,19.5,78,26,6.67,24.88
ONSLOW AIRPORT,25/09/2023,8.5,0.0, ,33.5,19.3,89,24,6.92,25.01
ONSLOW AIRPORT,26/09/2023, ,0.0, , ,18.1,81,14,6.08,25.11
ONSLOW AIRPORT,27/09/2023, , , ,36.0, ,84,22,4.39,24.40
ONSLOW AIRPORT,28/09/2023,10.2,0.0, ,41.7,21.7,85,11,5.06,25.41
ONSLOW AIRPORT,29/09/2023,11.5,0.0, ,40.7,23.7,61,10,6.39,24.78
ONSLOW AIRPORT,30/09/2023,11.5,0.0, ,39.2,22.1,56,11,6.62,25.56
Totals:,,220.6,0.2, ,,,,,, 
