'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/09/2022,8.6,0.0, ,30.0,16.6,30,16,6.69,19.85
PARABURDOO AERO,02/09/2022,4.9,0.0, ,24.6,20.6,91,14,6.17,6.58
PARABURDOO AERO,03/09/2022,4.4,16.0, ,25.4,14.2,95,33,4.29,15.95
PARABURDOO AERO,04/09/2022,4.5,1.4, ,25.9,13.5,91,32,3.10,21.06
PARABURDOO AERO,05/09/2022,3.3,0.0, ,21.9,12.9,94,50,2.95,16.60
PARABURDOO AERO,06/09/2022,4.2,3.0, ,22.8,9.3,92,32,3.48,19.84
PARABURDOO AERO,07/09/2022,4.4,0.0, ,23.4,9.6,84,23,2.70,22.07
PARABURDOO AERO,08/09/2022,5.5,0.0, ,28.4,9.9,79,13,3.07,22.06
PARABURDOO AERO,09/09/2022,4.5,0.0, ,27.6,17.4,67,24,2.88,13.84
PARABURDOO AERO,10/09/2022,5.1,0.0, ,25.9,13.5,86,30,3.79,22.22
PARABURDOO AERO,11/09/2022,5.9,0.0, ,31.1,12.0,81,16,3.06,22.61
PARABURDOO AERO,12/09/2022,7.0,0.0, ,33.0,12.9,68,14,3.82,22.61
PARABURDOO AERO,13/09/2022,5.8,0.0, ,27.6,16.8,72,38,5.12,20.74
PARABURDOO AERO,14/09/2022,5.6,0.0, ,25.5,12.8,63,20,3.63,22.89
PARABURDOO AERO,15/09/2022, ,0.0, , ,12.7,48,13,4.18,22.75
PARABURDOO AERO,16/09/2022, , , ,28.6, ,52,12,3.22,23.26
PARABURDOO AERO,17/09/2022,6.7,0.0, ,31.7,11.5,44,9,3.24,23.39
PARABURDOO AERO,18/09/2022,7.8,0.0, ,34.0,12.4,43,10,4.01,23.12
PARABURDOO AERO,19/09/2022,7.4,0.2, ,27.1,15.4,60,18,6.11,23.61
PARABURDOO AERO,20/09/2022,6.4, , ,27.0,11.1,55,16,4.15,23.77
PARABURDOO AERO,21/09/2022,6.9, , ,31.7,13.0,42,10,3.40,23.87
PARABURDOO AERO,22/09/2022,6.8, , ,34.1,11.6,42,8,2.84,23.89
PARABURDOO AERO,23/09/2022,8.1, , ,37.2,15.6,28,9,3.51,24.17
PARABURDOO AERO,24/09/2022,8.6, , ,33.8,15.8,41,14,4.92,24.26
PARABURDOO AERO,25/09/2022,7.3, , ,29.4,16.2,35,15,4.12,24.36
PARABURDOO AERO,26/09/2022,8.4, , ,30.0,18.6,31,13,5.30,24.50
PARABURDOO AERO,27/09/2022,8.6, , ,30.6,17.6,20,7,4.92,24.61
PARABURDOO AERO,28/09/2022,7.4, , ,32.7,15.9,36,10,3.62,22.60
PARABURDOO AERO,29/09/2022,9.5, , ,34.4,20.8,50,8,5.78,23.37
PARABURDOO AERO,30/09/2022,4.4, , ,25.9,15.0,86,39,3.73,16.20
Totals:,,178,20.6, ,,,,,, 
