'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/12/2022,10.6, , ,41.6,26.6,30,10,4.01,29.99
PARABURDOO AERO,02/12/2022,9.7, , ,42.7,27.1,22,10,3.33,27.18
PARABURDOO AERO,03/12/2022,12.5, , ,42.2,28.5,27,11,5.45,30.52
PARABURDOO AERO,04/12/2022,12.3, , ,42.3,27.6,31,11,5.31,30.43
PARABURDOO AERO,05/12/2022,11.3, , ,41.9,27.6,30,10,4.44,30.64
PARABURDOO AERO,06/12/2022,10.6, , ,41.9,25.2,28,9,3.85,30.63
PARABURDOO AERO,07/12/2022,11.8, , ,42.6,23.4,26,9,4.78,30.15
PARABURDOO AERO,08/12/2022,11.6, , ,39.1,24.4,44,12,5.62,30.70
PARABURDOO AERO,09/12/2022,12.1, , ,41.4,21.9,30,11,5.33,30.68
PARABURDOO AERO,10/12/2022,10.5, , ,40.0,21.1,33,10,4.18,30.71
PARABURDOO AERO,11/12/2022,10.8, , ,41.6,21.4,26,10,4.17,30.25
PARABURDOO AERO,12/12/2022,10.1, , ,42.8,28.3,19,9,3.72,25.75
PARABURDOO AERO,13/12/2022,11.1, , ,41.4,24.6,19,9,4.40,29.06
PARABURDOO AERO,14/12/2022,12.5, , ,41.5,23.0,26,9,5.66,30.38
PARABURDOO AERO,15/12/2022,11.4, , ,39.0,22.5,29,6,5.00,30.81
PARABURDOO AERO,16/12/2022,9.9, , ,39.2,23.8,36,10,3.77,30.33
PARABURDOO AERO,17/12/2022,10.8, , ,38.2,26.9,36,12,4.77,30.38
PARABURDOO AERO,18/12/2022,11.9, , ,38.1,27.6,42,15,6.73,27.18
PARABURDOO AERO,19/12/2022,9.9, , ,39.1,23.6,56,16,4.71,26.84
PARABURDOO AERO,20/12/2022,11.8, , ,39.1,23.7,55,11,6.14,30.55
PARABURDOO AERO,21/12/2022,10.8, , ,40.4,22.9,60,10,4.90,28.79
PARABURDOO AERO,22/12/2022,12.1, , ,38.7,24.5,51,13,7.11,27.09
PARABURDOO AERO,23/12/2022,10.3, , ,38.4,25.2,60,16,5.65,25.55
PARABURDOO AERO,24/12/2022,8.9, , ,39.7,25.1,82,19,4.45,24.36
PARABURDOO AERO,25/12/2022,8.5, , ,39.9,25.5,82,19,3.21,27.52
PARABURDOO AERO,26/12/2022,8.5, , ,41.8,28.6,50,14,3.36,21.20
PARABURDOO AERO,27/12/2022,11.9, , ,41.6,31.0,36,18,6.36,22.36
PARABURDOO AERO,28/12/2022,10.0, , ,40.9,29.8,41,13,4.74,20.33
PARABURDOO AERO,29/12/2022,11.0, , ,40.1,29.3,21,9,4.55,28.10
PARABURDOO AERO,30/12/2022,11.0, , ,41.4,24.5,18,6,4.18,30.81
PARABURDOO AERO,31/12/2022,10.4, , ,43.2,23.2,19,4,3.50,30.50
Totals:,,336.6, , ,,,,,, 
