'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/04/2023,5.1,0.6, ,33.9,20.6,87,30,2.66,17.68
PARABURDOO AERO,02/04/2023,4.8,0.2, ,34.7,23.7,90,32,2.00,18.19
PARABURDOO AERO,03/04/2023,4.8,0.0, ,34.6,23.3,91,32,2.12,17.64
PARABURDOO AERO,04/04/2023,4.9,0.0, ,33.5,23.5,80,41,3.05,16.36
PARABURDOO AERO,05/04/2023,5.4,1.8, ,34.6,22.3,95,33,2.30,22.17
PARABURDOO AERO,06/04/2023,6.0,0.0, ,36.2,22.7,79,29,2.97,20.78
PARABURDOO AERO,07/04/2023,6.7,0.0, ,36.6,23.6,79,24,3.61,21.11
PARABURDOO AERO,08/04/2023,5.7,0.0, ,35.4,21.3,65,25,2.38,21.89
PARABURDOO AERO,09/04/2023,5.8,0.0, ,36.2,20.3,70,21,2.39,21.79
PARABURDOO AERO,10/04/2023,7.3,0.0, ,36.3,18.8,65,15,3.84,21.61
PARABURDOO AERO,11/04/2023,6.0,0.0, ,31.7,18.5,59,24,3.37,21.47
PARABURDOO AERO,12/04/2023,6.9,0.0, ,36.7,19.8,58,24,3.70,20.14
PARABURDOO AERO,13/04/2023,6.0,0.0, ,35.1,26.2,71,40,4.03,17.91
PARABURDOO AERO,14/04/2023,6.6,0.0, ,27.5,21.0,61,30,5.89,20.79
PARABURDOO AERO,15/04/2023,7.2,0.0, ,25.7,15.8,40,16,6.18,20.91
PARABURDOO AERO,16/04/2023,6.9,0.0, ,29.0,13.5,47,12,4.78,20.79
PARABURDOO AERO,17/04/2023,6.5,0.0, ,30.4,14.3,43,11,3.83,20.65
PARABURDOO AERO,18/04/2023,7.1,0.0, ,31.3,13.2,46,15,4.60,20.52
PARABURDOO AERO,19/04/2023, ,0.0, , ,15.5,43,16,5.17,19.80
PARABURDOO AERO,20/04/2023, , , ,28.8, ,49,20,5.02,20.30
PARABURDOO AERO,21/04/2023,5.8,0.0, ,30.6,13.2,60,15,3.54,18.84
PARABURDOO AERO,22/04/2023,5.8,0.0, ,31.1,15.6,48,20,3.48,17.79
PARABURDOO AERO,23/04/2023,5.9,0.0, ,33.1,18.3,45,20,3.33,17.28
PARABURDOO AERO,24/04/2023,5.7,0.0, ,33.6,20.3,86,22,4.08,14.19
PARABURDOO AERO,25/04/2023,4.3,1.8, ,28.9,17.3,94,36,3.23,17.55
PARABURDOO AERO,26/04/2023,5.1,0.2, ,28.5,14.5,65,20,3.25,19.36
PARABURDOO AERO,27/04/2023,5.3,0.0, ,32.0,17.1,40,27,3.17,15.69
PARABURDOO AERO,28/04/2023,5.9,0.0, ,32.2,19.2,53,24,3.74,17.26
PARABURDOO AERO,29/04/2023,7.4,0.0, ,30.4,19.8,32,21,5.38,19.14
PARABURDOO AERO,30/04/2023,5.2,0.0, ,28.3,17.2,33,20,3.33,14.87
Totals:,,166.1,4.6, ,,,,,, 
