'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/07/2023,5.0,0.0, ,20.6,8.9,50,23,6.17,15.93
PARABURDOO AERO,02/07/2023,4.2,0.0, ,22.4,7.1,53,21,3.98,15.96
PARABURDOO AERO,03/07/2023,3.4,0.0, ,22.1,7.2,65,23,2.77,15.99
PARABURDOO AERO,04/07/2023,3.4,0.0, ,22.7,3.8,64,24,2.81,16.02
PARABURDOO AERO,05/07/2023,2.7,0.0, ,20.7,9.7,79,29,2.12,15.57
PARABURDOO AERO,06/07/2023,3.3,0.0, ,22.2,5.1,74,24,2.76,16.10
PARABURDOO AERO,07/07/2023,4.0,0.0, ,22.1,8.0,64,21,3.70,16.14
PARABURDOO AERO,08/07/2023, ,0.0, , ,7.8,50,9,4.00,16.17
PARABURDOO AERO,09/07/2023,5.2,0.0, ,25.6,4.1,42,9,4.04,16.21
PARABURDOO AERO,10/07/2023,4.8,0.0, ,26.7,5.7,33,17,3.45,16.26
PARABURDOO AERO,11/07/2023,4.6,0.0, ,26.6,8.6,34,12,3.08,16.31
PARABURDOO AERO,12/07/2023,4.4,0.0, ,27.3,6.3,39,18,2.90,16.37
PARABURDOO AERO,13/07/2023,4.3,0.0, ,29.0,9.4,51,20,2.77,16.42
PARABURDOO AERO,14/07/2023,4.4,0.0, ,26.5,7.4,58,16,3.11,16.48
PARABURDOO AERO,15/07/2023,5.7,0.0, ,23.8,13.7,59,21,6.44,16.54
PARABURDOO AERO,16/07/2023,4.7,0.0, ,24.0,8.5,43,19,4.06,16.60
PARABURDOO AERO,17/07/2023,4.4,0.0, ,26.8,7.0,49,14,2.93,16.66
PARABURDOO AERO,18/07/2023,5.7,0.0, ,30.6,9.7,49,12,3.74,16.73
PARABURDOO AERO,19/07/2023,4.0,0.0, ,25.8,6.0,74,23,3.03,16.79
PARABURDOO AERO,20/07/2023,4.4,0.0, ,24.0,13.2,79,28,4.71,16.86
PARABURDOO AERO,21/07/2023,4.8,0.0, ,25.5,10.8,53,19,3.89,16.93
PARABURDOO AERO,22/07/2023,6.8,0.0, ,24.0,13.1,27,9,6.41,16.99
PARABURDOO AERO,23/07/2023,6.4,0.0, ,24.5,9.5,35,11,6.08,17.07
PARABURDOO AERO,24/07/2023,6.3,0.0, ,25.1,11.2,31,11,5.40,17.15
PARABURDOO AERO,25/07/2023,6.8,0.0, ,26.2,11.0,29,10,5.76,17.22
PARABURDOO AERO,26/07/2023,3.8,0.0, ,23.7,12.0,68,25,3.39,11.36
PARABURDOO AERO,27/07/2023,3.4,0.0, ,22.5,9.7,76,30,2.73,17.39
PARABURDOO AERO,28/07/2023,4.1,0.0, ,25.2,9.0,47,20,2.70,17.50
PARABURDOO AERO,29/07/2023,4.4,0.0, ,26.0,7.9,52,17,2.96,17.59
PARABURDOO AERO,30/07/2023,4.8,0.0, ,26.2,10.0,36,11,3.10,17.67
PARABURDOO AERO,31/07/2023,5.2,0.0, ,28.7,7.7,29,12,3.21,17.77
Totals:,,139.4,0, ,,,,,, 
