'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/08/2023,6.6,0.0, ,29.7,12.1,35,16,5.06,12.58
PARABURDOO AERO,02/08/2023,5.9,0.0, ,28.8,20.2,60,32,6.35,10.54
PARABURDOO AERO,03/08/2023,2.1,9.0, ,18.0,13.7,94,60,4.00,9.10
PARABURDOO AERO,04/08/2023,4.3,0.2, ,27.0,13.0,91,40,4.40,18.00
PARABURDOO AERO,05/08/2023,5.9,0.2, ,31.1,16.1,73,17,4.25,18.30
PARABURDOO AERO,06/08/2023,5.0,0.0, ,29.5,16.8,59,20,3.53,12.80
PARABURDOO AERO,07/08/2023,5.6,0.0, ,29.9,19.6,46,16,3.70,14.47
PARABURDOO AERO,08/08/2023, ,0.0, , ,12.7,59,17,2.94,16.85
PARABURDOO AERO,09/08/2023,5.5, , ,30.0,13.5,55,14,3.41,18.47
PARABURDOO AERO,10/08/2023,5.3,0.0, ,31.0,12.0,53,13,2.97,18.80
PARABURDOO AERO,11/08/2023,5.4,0.0, ,29.5,11.8,55,19,3.48,18.29
PARABURDOO AERO,12/08/2023,4.9,0.0, ,29.2,11.6,58,17,2.81,18.96
PARABURDOO AERO,13/08/2023,4.8,0.0, ,27.6,12.8,73,26,3.57,18.14
PARABURDOO AERO,14/08/2023,4.8,0.0, ,28.8,11.9,66,19,2.79,19.22
PARABURDOO AERO,15/08/2023,4.8,0.0, ,29.7,10.2,57,15,2.55,19.38
PARABURDOO AERO,16/08/2023,5.0,0.0, ,23.5,13.5,63,23,4.26,19.46
PARABURDOO AERO,17/08/2023,6.4,0.0, ,24.3,12.9,42,20,6.05,19.57
PARABURDOO AERO,18/08/2023,7.2,0.0, ,26.9,13.5,43,13,6.05,19.68
PARABURDOO AERO,19/08/2023,5.6,0.0, ,28.1,8.8,28,12,3.33,19.81
PARABURDOO AERO,20/08/2023,5.9,0.0, ,29.7,10.5,36,13,3.44,19.91
PARABURDOO AERO,21/08/2023,5.7,0.0, ,30.7,9.0,37,12,3.05,20.06
PARABURDOO AERO,22/08/2023,7.1,0.0, ,33.2,18.2,31,13,4.13,19.29
PARABURDOO AERO,23/08/2023,5.9,0.0, ,32.8,12.9,50,13,3.00,20.07
PARABURDOO AERO,24/08/2023,5.8,0.0, ,32.8,13.4,42,11,2.77,20.43
PARABURDOO AERO,25/08/2023,7.3,0.0, ,33.5,12.9,31,9,3.97,20.52
PARABURDOO AERO,26/08/2023,8.3,0.0, ,33.2,14.2,22,5,4.85,20.64
PARABURDOO AERO,27/08/2023,6.9,0.0, ,33.1,11.9,22,6,3.55,20.78
PARABURDOO AERO,28/08/2023,6.4,0.0, ,33.6,12.0,20,6,2.94,20.92
PARABURDOO AERO,29/08/2023,6.4,0.0, ,34.0,10.5,24,6,2.90,21.04
PARABURDOO AERO,30/08/2023,7.2,0.0, ,35.5,12.6,19,5,3.36,21.15
PARABURDOO AERO,31/08/2023,7.6,0.0, ,35.0,14.3,18,7,3.77,21.27
Totals:,,175.6,9.4, ,,,,,, 
