'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PEARCE RAAF Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PEARCE RAAF,01/06/2023,1.8,12.2, ,19.5,9.5,95,51,2.19,11.57
PEARCE RAAF,02/06/2023,1.6,0.0, ,18.6,2.8,94,43,1.58,11.82
PEARCE RAAF,03/06/2023,2.0,0.2, ,18.3,4.4,92,42,2.60,12.36
PEARCE RAAF,04/06/2023,3.5,0.0, ,22.1,8.1,93,33,5.45,11.80
PEARCE RAAF,05/06/2023,1.4,9.8, ,16.8,11.4,94,74,5.30,4.92
PEARCE RAAF,06/06/2023,1.9,44.4, ,15.6,8.2,93,52,4.39,8.60
PEARCE RAAF,07/06/2023,1.4,16.8, ,15.9,7.4,93,63,2.38,9.84
PEARCE RAAF,08/06/2023,1.4,0.2, ,18.6,10.4,94,73,3.09,8.94
PEARCE RAAF,09/06/2023,1.6,4.0, ,20.1,12.5,94,57,2.17,9.36
PEARCE RAAF,10/06/2023,1.8,0.0, ,20.9,12.1,94,61,3.24,8.61
PEARCE RAAF,11/06/2023,2.1,7.2, ,17.9,11.7,94,48,4.20,9.23
PEARCE RAAF,12/06/2023,1.5,0.0, ,18.1,8.3,89,56,2.11,9.12
PEARCE RAAF,13/06/2023,1.9,0.2, ,19.4,9.7,91,51,3.04,10.39
PEARCE RAAF,14/06/2023,2.0,5.6, ,18.9,11.3,93,52,3.64,10.38
PEARCE RAAF,15/06/2023,2.4,0.2, ,20.1,10.1,90,53,4.95,10.06
PEARCE RAAF,16/06/2023,2.4,1.0, ,19.1,11.2,90,53,5.32,10.24
PEARCE RAAF,17/06/2023,1.5,2.2, ,16.6,5.6,92,46,1.86,11.71
PEARCE RAAF,18/06/2023,1.8,0.2, ,16.7,3.6,90,39,2.38,11.63
PEARCE RAAF,19/06/2023, ,0.0, , ,3.2,88,40,1.89,10.51
PEARCE RAAF,20/06/2023,1.7, , ,16.8,4.8,93,56,3.37,9.62
PEARCE RAAF,21/06/2023,1.6,7.6, ,15.8,9.0,94,53,2.92,11.17
PEARCE RAAF,22/06/2023,2.1,0.0, ,18.3,6.1,91,56,4.62,10.00
PEARCE RAAF,23/06/2023,1.2,6.4, ,13.9,8.5,92,70,3.16,8.96
PEARCE RAAF,24/06/2023,1.3,3.4, ,16.0,8.4,95,73,3.45,9.06
PEARCE RAAF,25/06/2023,1.6,12.6, ,16.0,9.6,94,54,2.67,10.89
PEARCE RAAF,26/06/2023,1.6,0.2, ,14.8,3.7,91,49,2.80,11.22
PEARCE RAAF,27/06/2023,1.3,0.0, ,16.2,0.0,91,49,1.46,12.03
PEARCE RAAF,28/06/2023,1.4,0.0, ,17.3,3.4,93,47,1.52,11.78
PEARCE RAAF,29/06/2023,1.7,0.0, ,16.4,3.3,90,42,2.47,10.90
PEARCE RAAF,30/06/2023,2.0,0.0, ,16.5,2.7,84,43,3.07,12.11
Totals:,,51.5,134.4, ,,,,,, 
