'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/12/2022,4.2,0.0,8.2,24.0,19.7,72,56,4.98,12.22
PERTH AIRPORT,02/12/2022,6.0,0.0,4.8,24.7,14.9,81,41,5.00,27.66
PERTH AIRPORT,03/12/2022,6.8,0.0,6.2,29.1,11.5,92,37,4.86,29.86
PERTH AIRPORT,04/12/2022,8.6,0.0,8.2,30.6,17.1,65,31,6.32,30.82
PERTH AIRPORT,05/12/2022,7.5,0.0,7.8,29.4,16.2,71,39,5.47,29.81
PERTH AIRPORT,06/12/2022,7.3,0.0,7.4,28.4,16.3,75,30,5.60,26.02
PERTH AIRPORT,07/12/2022,10.5,0.0,8.6,31.6,14.4,64,23,9.51,30.99
PERTH AIRPORT,08/12/2022,7.1,0.0,9.6,26.1,17.7,75,39,6.20,30.44
PERTH AIRPORT,09/12/2022,6.1,0.0,6.4,23.8,16.5,79,37,5.48,26.19
PERTH AIRPORT,10/12/2022,6.9,0.0,8.0,25.9,11.0,91,29,5.71,31.30
PERTH AIRPORT,11/12/2022,8.7,0.0,9.2,28.1,13.5,65,17,6.14,31.81
PERTH AIRPORT,12/12/2022,10.5,0.0,8.8,29.6,13.8,59,18,9.59,31.88
PERTH AIRPORT,13/12/2022,4.9,0.2,10.8,22.5,13.6,76,40,8.34,8.80
PERTH AIRPORT,14/12/2022,9.1,0.6,4.0,31.2,13.5,65,23,6.11,31.90
PERTH AIRPORT,15/12/2022,9.6,0.0,8.4,31.6,16.9,63,26,7.29,31.16
PERTH AIRPORT,16/12/2022,9.8,0.0,8.8,30.9,15.9,64,20,7.31,32.03
PERTH AIRPORT,17/12/2022,10.1,0.0,10.8,31.9,15.9,70,23,8.29,31.10
PERTH AIRPORT,18/12/2022,10.7,0.0,10.2,33.6,17.6,61,16,7.34,29.67
PERTH AIRPORT,19/12/2022,12.2,0.0,10.2,36.8,17.9,54,10,7.30,29.30
PERTH AIRPORT,20/12/2022,13.0,0.0,11.6,37.4,22.8,34,10,7.11,31.60
PERTH AIRPORT,21/12/2022,11.0,0.0,14.4,35.0,20.1,45,18,6.49,30.47
PERTH AIRPORT,22/12/2022,11.8,0.0,12.2,37.0,19.2,56,15,6.98,31.25
PERTH AIRPORT,23/12/2022,10.7,0.0,10.8,37.5,19.7,62,11,4.99,31.88
PERTH AIRPORT,24/12/2022,8.5,0.0,11.8,32.6,19.1,80,26,4.70,31.90
PERTH AIRPORT,25/12/2022,7.4,0.0,9.8,30.8,15.6,92,33,4.24,31.95
PERTH AIRPORT,26/12/2022,6.0,0.0,7.2,26.7,14.0,92,50,5.57,28.66
PERTH AIRPORT,27/12/2022,6.9,0.0,6.4,27.6,11.2,91,36,5.42,30.91
PERTH AIRPORT,28/12/2022,9.7,0.0,11.0,32.4,14.5,73,9,5.54,31.83
PERTH AIRPORT,29/12/2022,10.4,0.0,9.0,35.6,14.1,82,12,5.75,31.80
PERTH AIRPORT,30/12/2022,8.0,0.0,11.0,32.2,12.5,80,21,3.88,31.81
PERTH AIRPORT,31/12/2022,6.1,0.0,11.6,26.8,16.6,83,45,6.56,23.31
Totals:,,266.1,0.8,283.2,,,,,, 
