'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/01/2023,8.1,0.0,10.2,29.2,14.4,69,29,5.69,31.77
PERTH AIRPORT,02/01/2023,10.7,0.0,9.4,33.9,15.6,62,11,6.41,31.71
PERTH AIRPORT,03/01/2023,11.4,0.0,10.2,34.7,17.1,63,14,7.50,31.65
PERTH AIRPORT,04/01/2023,11.7,0.0,11.4,35.8,17.1,64,13,7.46,31.61
PERTH AIRPORT,05/01/2023,13.5,0.0,12.0,37.9,19.5,57,10,8.48,31.52
PERTH AIRPORT,06/01/2023,10.3,0.0,12.8,33.4,25.2,59,17,7.05,25.61
PERTH AIRPORT,07/01/2023,8.0,0.0,9.4,28.4,12.7,70,30,6.17,31.37
PERTH AIRPORT,08/01/2023,8.1,0.0,8.2,30.1,15.6,74,27,5.22,31.40
PERTH AIRPORT,09/01/2023,10.7,0.0,8.8,38.4,17.8,72,17,5.38,31.32
PERTH AIRPORT,10/01/2023,10.8,0.0,11.0,36.1,25.1,73,20,7.42,28.41
PERTH AIRPORT,11/01/2023,7.3,0.0,10.2,27.6,19.2,75,38,5.52,30.05
PERTH AIRPORT,12/01/2023,8.0,0.0,9.2,33.0,15.1,90,31,4.61,31.06
PERTH AIRPORT,13/01/2023,7.8,0.0,7.8,29.6,17.1,80,42,7.29,31.17
PERTH AIRPORT,14/01/2023,10.2,0.0,9.6,31.4,14.3,64,15,7.55,30.96
PERTH AIRPORT,15/01/2023,9.7,0.0,11.2,33.0,15.7,62,22,6.48,30.26
PERTH AIRPORT,16/01/2023,8.0,0.0,11.8,26.5,15.9,76,31,8.71,30.48
PERTH AIRPORT,17/01/2023,8.8,0.0,9.2,29.3,13.5,56,17,5.68,30.76
PERTH AIRPORT,18/01/2023,11.0,0.0,10.0,32.3,15.4,52,17,8.56,29.88
PERTH AIRPORT,19/01/2023,10.5,0.0,10.8,35.2,17.2,54,21,6.67,29.32
PERTH AIRPORT,20/01/2023,10.3,0.0,10.2,37.9,20.5,54,20,5.47,27.93
PERTH AIRPORT,21/01/2023,11.9,0.0,12.0,40.7,24.3,45,11,5.75,27.54
PERTH AIRPORT,22/01/2023,8.8,0.0,12.0,35.4,22.0,86,22,4.48,30.26
PERTH AIRPORT,23/01/2023,8.6,0.0,8.2,36.8,17.7,92,20,3.82,30.17
PERTH AIRPORT,24/01/2023,7.8,0.0,9.0,33.6,18.3,96,28,4.18,30.08
PERTH AIRPORT,25/01/2023,8.8,0.0,10.0,33.9,18.0,69,22,4.76,30.05
PERTH AIRPORT,26/01/2023,9.7,0.0,11.6,34.1,17.9,66,22,6.18,29.90
PERTH AIRPORT,27/01/2023,7.7,0.0,8.4,29.5,16.0,71,40,6.45,29.75
PERTH AIRPORT,28/01/2023,8.6,0.0,8.8,32.5,16.4,65,28,5.48,29.47
PERTH AIRPORT,29/01/2023,10.4,0.0,11.0,38.0,17.8,56,18,5.93,24.76
PERTH AIRPORT,30/01/2023,11.7,0.0,9.4,39.5,23.2,56,18,6.45,29.41
PERTH AIRPORT,31/01/2023,10.2,0.0,9.8,36.7,22.7,58,24,5.83,29.05
Totals:,,299.1,0,313.6,,,,,, 
