'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/03/2023,11.0,0.0, ,37.9,18.6,61,19,7.74,21.70
PERTH AIRPORT,02/03/2023,8.6,0.0,5.2,37.3,24.2,55,17,5.41,14.29
PERTH AIRPORT,03/03/2023,6.7,1.8,6.2,32.3,18.3,90,34,4.71,24.41
PERTH AIRPORT,04/03/2023,6.2,0.0,7.6,28.3,16.3,90,39,5.89,24.76
PERTH AIRPORT,05/03/2023,6.5,0.0,8.4,27.5,14.0,76,32,5.65,24.38
PERTH AIRPORT,06/03/2023,6.7,0.0,7.2,28.8,15.1,71,32,5.25,24.38
PERTH AIRPORT,07/03/2023,9.1,0.0,8.8,32.2,15.8,68,23,7.98,24.10
PERTH AIRPORT,08/03/2023,9.2,0.0,10.2,33.8,16.0,59,19,7.50,15.96
PERTH AIRPORT,09/03/2023,5.1,0.0,5.4,27.3,17.5,92,49,4.64,22.52
PERTH AIRPORT,10/03/2023,5.6,0.0,6.2,29.0,13.7,94,35,3.91,23.63
PERTH AIRPORT,11/03/2023,6.9,0.0,7.8,33.0,15.5,90,25,4.38,23.42
PERTH AIRPORT,12/03/2023,7.5,0.0,7.2,34.0,15.7,77,19,4.45,22.85
PERTH AIRPORT,13/03/2023,5.7,0.0,8.2,29.8,14.2,93,38,4.61,22.13
PERTH AIRPORT,14/03/2023,5.9,0.0,6.0,31.3,14.7,92,33,3.90,22.86
PERTH AIRPORT,15/03/2023,5.6,0.0,8.0,32.2,11.3,95,28,2.98,22.67
PERTH AIRPORT,16/03/2023,3.9,0.0,7.4,27.7,12.6,95,53,3.45,16.87
PERTH AIRPORT,17/03/2023,5.9,0.0,4.0,27.2,11.7,93,34,6.22,22.25
PERTH AIRPORT,18/03/2023,6.5,0.0,6.8,27.8,14.2,75,32,6.35,21.84
PERTH AIRPORT,19/03/2023,8.9,0.0,8.2,32.8,14.3,77,19,7.68,21.89
PERTH AIRPORT,20/03/2023,10.8,0.0,8.8,37.2,20.9,56,17,7.73,21.68
PERTH AIRPORT,21/03/2023,8.6,0.0,11.0,35.1,23.9,74,20,6.40,20.15
PERTH AIRPORT,22/03/2023,6.3,0.0,8.0,33.0,17.6,82,35,4.44,21.30
PERTH AIRPORT,23/03/2023,5.2,0.0,6.4,31.5,16.1,92,39,3.46,21.03
PERTH AIRPORT,24/03/2023,2.5,0.0,6.4,24.5,15.8,95,57,3.10,8.19
PERTH AIRPORT,25/03/2023,5.3,0.8,0.2,30.8,17.3,85,43,4.88,17.02
PERTH AIRPORT,26/03/2023,5.5,0.2,6.0,27.5,18.6,79,43,6.17,18.04
PERTH AIRPORT,27/03/2023,5.4,0.0,5.4,27.1,16.0,73,32,4.57,18.39
PERTH AIRPORT,28/03/2023,7.4,0.0,6.0,27.9,15.4,63,24,7.43,20.27
PERTH AIRPORT,29/03/2023,7.8,0.0,6.6,30.3,16.0,64,30,7.99,19.87
PERTH AIRPORT,30/03/2023,6.7,0.0,9.2,31.2,19.2,84,30,7.44,13.76
PERTH AIRPORT,31/03/2023,3.3,36.6,8.4,21.4,16.2,91,63,7.13,14.30
Totals:,,206.3,39.4,211.2,,,,,, 
