'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/06/2023,2.1,8.6,1.4,19.3,9.1,97,50,3.38,11.72
PERTH AIRPORT,02/06/2023,1.7,0.0,2.4,18.9,3.7,96,44,2.06,11.44
PERTH AIRPORT,03/06/2023,2.2,0.0,1.4,18.7,3.4,96,42,3.25,11.88
PERTH AIRPORT,04/06/2023,2.9,0.0,1.8,21.4,5.5,96,36,4.24,10.85
PERTH AIRPORT,05/06/2023,1.4,70.6, ,14.6,12.3,97,66,5.26,3.33
PERTH AIRPORT,06/06/2023,1.6,24.2,3.0,10.8,7.5,95,45,4.03,5.77
PERTH AIRPORT,07/06/2023,1.2,19.4,0.8,15.8,7.0,96,65,2.02,8.26
PERTH AIRPORT,08/06/2023,1.0,0.6,0.0,16.8,9.3,97,84,2.76,7.91
PERTH AIRPORT,09/06/2023,1.7,5.4,0.8,19.9,11.9,98,58,3.13,7.77
PERTH AIRPORT,10/06/2023,1.5,8.2,1.0,19.8,11.7,96,68,2.84,9.71
PERTH AIRPORT,11/06/2023,2.3,12.0,1.2,18.0,12.3,98,48,5.33,10.15
PERTH AIRPORT,12/06/2023,1.4,0.0,3.4,17.3,6.8,94,60,2.43,9.86
PERTH AIRPORT,13/06/2023,2.1,1.0,1.8,20.0,10.0,95,49,3.36,11.53
PERTH AIRPORT,14/06/2023,2.0,4.2,2.2,18.7,11.4,96,48,3.28,11.21
PERTH AIRPORT,15/06/2023,2.1,1.0,2.0,19.4,10.5,95,55,4.64,7.85
PERTH AIRPORT,16/06/2023,2.3,3.4,1.8,19.1,12.9,92,57,5.85,9.80
PERTH AIRPORT,17/06/2023,1.5,1.6,2.2,16.5,5.1,95,44,2.07,11.39
PERTH AIRPORT,18/06/2023,1.8,0.0,1.8,17.6,5.8,84,41,2.39,11.83
PERTH AIRPORT,19/06/2023,2.3,0.0,2.2,18.1,4.7,88,34,3.29,10.85
PERTH AIRPORT,20/06/2023,1.5,14.4,1.8,16.3,5.7,96,59,3.12,10.19
PERTH AIRPORT,21/06/2023,1.7,8.4,1.4,15.9,8.0,97,53,3.29,11.71
PERTH AIRPORT,22/06/2023,2.1,0.0,2.0,17.7,3.7,95,52,4.65,8.88
PERTH AIRPORT,23/06/2023,1.4,6.2,1.0,15.0,7.4,93,66,4.00,8.69
PERTH AIRPORT,24/06/2023,1.3,0.8,1.6,16.7,7.2,97,69,3.39,7.61
PERTH AIRPORT,25/06/2023,1.8,2.8,0.0,16.2,8.6,96,52,3.58,10.81
PERTH AIRPORT,26/06/2023,1.9,0.0,2.0,15.1,2.2,92,45,3.63,11.34
PERTH AIRPORT,27/06/2023,1.3,0.0,1.4,16.7,-0.6,96,48,1.56,11.92
PERTH AIRPORT,28/06/2023,1.5,0.0,1.8,18.3,2.6,96,46,1.81,11.11
PERTH AIRPORT,29/06/2023,1.7,0.0,1.4,17.1,1.9,96,42,2.25,11.75
PERTH AIRPORT,30/06/2023,2.2,0.0,2.0,17.0,4.4,90,40,3.82,11.97
Totals:,,53.5,192.8,47.6,,,,,, 
