'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/07/2023,2.5,0.0,1.4,17.5,3.9,85,38,4.23,11.99
PERTH AIRPORT,02/07/2023,3.3,0.0,1.8,19.3,5.6,71,31,4.97,12.03
PERTH AIRPORT,03/07/2023,2.2,0.0,3.4,17.8,8.1,93,53,5.66,5.89
PERTH AIRPORT,04/07/2023,2.7,18.4,1.2,17.2,11.0,89,46,6.79,11.09
PERTH AIRPORT,05/07/2023,2.3,4.2,2.8,17.0,10.5,94,50,5.55,10.36
PERTH AIRPORT,06/07/2023,1.6,4.6,2.4,17.5,8.2,97,55,3.02,9.12
PERTH AIRPORT,07/07/2023,2.0,0.4,1.4,19.5,10.5,97,54,4.13,8.60
PERTH AIRPORT,08/07/2023,1.4,2.4,1.2,18.7,9.9,98,67,2.81,9.19
PERTH AIRPORT,09/07/2023,2.2,0.4,1.6,20.7,11.8,97,48,3.58,9.08
PERTH AIRPORT,10/07/2023,1.7,0.6,1.6,18.8,12.2,96,56,3.26,7.23
PERTH AIRPORT,11/07/2023,2.3,0.0,0.8,20.8,9.9,94,52,4.22,10.37
PERTH AIRPORT,12/07/2023,2.6,0.0,1.4,21.6,12.4,92,57,5.54,11.38
PERTH AIRPORT,13/07/2023,2.1,3.0,2.6,19.3,14.6,96,55,4.51,9.92
PERTH AIRPORT,14/07/2023,2.4,1.4,3.4,17.3,9.3,94,36,4.06,11.92
PERTH AIRPORT,15/07/2023,2.1,0.2,2.8,16.5,4.9,91,38,3.00,12.71
PERTH AIRPORT,16/07/2023,2.8,0.0,2.8,19.2,2.8,86,31,3.62,12.78
PERTH AIRPORT,17/07/2023,2.2,0.0,1.0,21.0,6.3,84,47,2.84,11.36
PERTH AIRPORT,18/07/2023,2.7,0.0,0.8,19.8,9.6,96,45,5.41,8.09
PERTH AIRPORT,19/07/2023,2.7,25.4,2.8,15.7,10.6,96,42,7.57,10.75
PERTH AIRPORT,20/07/2023,1.6,1.0,2.0,16.3,6.8,95,61,3.19,9.85
PERTH AIRPORT,21/07/2023,2.1,5.8,0.6,19.4,9.8,97,56,4.23,10.55
PERTH AIRPORT,22/07/2023,2.0,2.0,1.2,19.6,6.3,95,47,2.44,13.25
PERTH AIRPORT,23/07/2023,3.0,0.0,2.2,21.3,7.6,85,36,3.80,13.34
PERTH AIRPORT,24/07/2023,3.7,0.0,1.8,21.2,7.0,75,30,5.01,13.42
PERTH AIRPORT,25/07/2023,2.5,0.0,3.0,16.6,9.8,95,40,5.70,4.54
PERTH AIRPORT,26/07/2023,1.6,23.2,1.2,16.0,10.6,96,64,4.19,6.65
PERTH AIRPORT,27/07/2023,1.7,13.8,1.8,16.1,10.1,96,60,3.06,10.01
PERTH AIRPORT,28/07/2023,2.4,0.4,1.6,19.1,10.2,95,51,4.65,10.10
PERTH AIRPORT,29/07/2023,1.7,10.4,1.6,19.4,12.1,98,67,3.26,9.19
PERTH AIRPORT,30/07/2023,1.5,1.4,0.6,18.5,11.2,98,65,1.81,9.01
PERTH AIRPORT,31/07/2023,2.3,0.2,1.2,20.3,8.3,97,45,2.69,13.96
Totals:,,69.9,119.2,56,,,,,, 
