'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH AIRPORT Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH AIRPORT,01/10/2023,3.7,0.0,4.2,21.7,10.5,95,48,6.21,12.95
PERTH AIRPORT,02/10/2023,4.3,4.8,3.8,18.0,13.3,90,42,8.79,19.20
PERTH AIRPORT,03/10/2023,3.8,1.4,4.8,20.4,11.7,89,43,4.29,17.48
PERTH AIRPORT,04/10/2023,4.3,0.0,3.6,23.2,5.4,97,36,3.02,23.94
PERTH AIRPORT,05/10/2023,6.6,0.0,5.0,29.1,11.2,87,22,4.82,23.87
PERTH AIRPORT,06/10/2023,9.4,0.0,7.8,34.4,14.9,68,10,6.01,24.24
PERTH AIRPORT,07/10/2023,8.9,0.0,8.2,35.9,17.2,95,11,5.44,24.39
PERTH AIRPORT,08/10/2023,4.2,0.0,6.0,24.0,14.7,99,53,3.87,22.13
PERTH AIRPORT,09/10/2023,5.6,0.0,5.6,28.3,11.2,96,35,3.89,24.69
PERTH AIRPORT,10/10/2023,5.1,0.0,5.4,23.1,13.2,87,45,6.35,24.39
PERTH AIRPORT,11/10/2023,5.1,0.0,5.0,22.3,6.1,87,33,4.94,24.82
PERTH AIRPORT,12/10/2023,7.1,0.0,5.4,26.8,10.3,71,26,6.72,25.17
PERTH AIRPORT,13/10/2023,7.5,0.0,8.2,31.3,9.5,79,16,4.59,25.35
PERTH AIRPORT,14/10/2023,9.5,0.0,7.0,32.8,13.0,63,13,6.56,25.48
PERTH AIRPORT,15/10/2023,10.5,0.0,8.8,33.4,15.6,61,15,8.18,25.62
PERTH AIRPORT,16/10/2023,11.2,0.0,11.2,36.9,18.1,47,7,6.43,25.72
PERTH AIRPORT,17/10/2023,8.7,0.0,8.2,33.1,17.7,78,13,5.64,25.20
PERTH AIRPORT,18/10/2023,5.7,0.0,8.0,27.0,11.2,90,38,4.55,25.59
PERTH AIRPORT,19/10/2023,6.0,0.0,6.0,27.2,13.6,89,36,4.74,25.84
PERTH AIRPORT,20/10/2023,5.9,0.0,1.6,27.7,12.0,82,32,3.63,25.84
PERTH AIRPORT,21/10/2023,5.6,0.0,6.2,31.3,14.9,86,27,3.23,18.55
PERTH AIRPORT,22/10/2023,4.1,0.0,5.2,24.6,13.9,94,55,5.28,17.29
PERTH AIRPORT,23/10/2023,5.8,0.2,4.4,23.3,9.3,86,29,5.38,26.07
PERTH AIRPORT,24/10/2023,8.3,0.0,7.8,26.6,11.2,57,16,7.32,26.82
PERTH AIRPORT,25/10/2023,11.2,0.0,8.8,35.3,13.3,79,9,7.87,27.14
PERTH AIRPORT,26/10/2023,4.5,0.0,6.8,24.7,13.0,93,50,4.97,20.06
PERTH AIRPORT,27/10/2023,5.6,0.0,5.8,23.5,6.5,95,32,5.62,26.81
PERTH AIRPORT,28/10/2023,7.0,0.0,7.2,25.9,11.5,71,24,5.73,27.54
PERTH AIRPORT,29/10/2023,3.9,0.0,7.0,22.4,6.7,92,48,3.80,18.73
PERTH AIRPORT,30/10/2023,6.5,0.0,4.4,24.6,11.5,72,27,5.36,27.87
PERTH AIRPORT,31/10/2023,8.4,0.0,7.4,28.0,12.7,73,21,8.34,25.15
Totals:,,204,6.4,194.8,,,,,, 
