'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/07/2023,1.3,0.0, ,17.7,1.3,99,40,1.20,12.03
PERTH METRO,02/07/2023,2.2,0.0, ,19.4,3.1,97,30,2.60,12.06
PERTH METRO,03/07/2023,1.7,0.2, ,18.5,7.7,99,56,3.46,7.69
PERTH METRO,04/07/2023,2.1,16.0, ,17.3,11.0,92,51,4.49,10.79
PERTH METRO,05/07/2023,1.8,6.4, ,16.3,10.8,99,49,3.43,11.20
PERTH METRO,06/07/2023,1.4,3.6, ,17.9,9.8,99,54,1.61,10.63
PERTH METRO,07/07/2023,1.7,0.2, ,19.3,11.5,99,58,2.88,10.72
PERTH METRO,08/07/2023, ,2.8, , ,11.2,99,67,1.23,9.57
PERTH METRO,09/07/2023,1.7,0.8, ,20.3,12.3,99,48,2.09,10.44
PERTH METRO,10/07/2023,1.3,0.6, ,18.7,12.8,99,59,1.57,7.59
PERTH METRO,11/07/2023,1.7,0.0, ,19.9,10.1,96,56,2.21,11.29
PERTH METRO,12/07/2023,1.9,0.2, ,20.9,12.5,89,64,2.88,11.79
PERTH METRO,13/07/2023,1.8,3.8, ,19.5,15.2,99,56,3.01,10.09
PERTH METRO,14/07/2023,1.9,2.6, ,16.8,11.4,94,43,2.73,12.07
PERTH METRO,15/07/2023,1.3,1.0, ,16.4,2.8,98,41,1.12,12.74
PERTH METRO,16/07/2023,1.9,0.0, ,19.0,1.9,97,31,1.81,12.81
PERTH METRO,17/07/2023,1.4,0.0, ,20.7,6.8,90,48,0.97,11.29
PERTH METRO,18/07/2023,1.9,0.0, ,19.4,7.6,99,50,2.96,8.62
PERTH METRO,19/07/2023,2.3,21.8, ,15.7,10.9,99,42,4.82,12.03
PERTH METRO,20/07/2023,1.4,1.0, ,17.0,7.6,96,63,1.62,10.89
PERTH METRO,21/07/2023,1.6,6.8, ,18.9,9.9,99,57,2.16,10.35
PERTH METRO,22/07/2023,1.3,2.0, ,19.1,6.5,99,47,0.67,13.26
PERTH METRO,23/07/2023,1.7,0.0, ,20.8,4.4,98,34,1.12,13.36
PERTH METRO,24/07/2023,2.6,0.0, ,21.6,6.6,88,26,2.48,13.44
PERTH METRO,25/07/2023,1.9,0.0, ,16.9,9.2,99,39,3.18,4.54
PERTH METRO,26/07/2023,1.4,24.6, ,15.9,10.2,99,66,2.98,7.92
PERTH METRO,27/07/2023,1.5,14.2, ,16.6,10.7,99,62,1.93,11.17
PERTH METRO,28/07/2023,1.8,0.4, ,19.3,11.0,99,53,2.16,11.86
PERTH METRO,29/07/2023,1.8,10.4, ,19.6,13.2,99,61,2.39,11.39
PERTH METRO,30/07/2023,1.3,0.8, ,18.3,12.3,99,69,0.88,10.07
PERTH METRO,31/07/2023,1.7,0.4, ,20.4,7.9,99,49,1.08,13.66
Totals:,,51.3,120.6, ,,,,,, 
