'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT HEDLAND AIRPORT Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT HEDLAND AIRPORT,01/12/2022,8.4,0.0, ,35.8,26.3,86,42,5.37,29.52
PORT HEDLAND AIRPORT,02/12/2022,7.5,0.0, ,34.1,24.3,88,54,5.75,29.65
PORT HEDLAND AIRPORT,03/12/2022,9.6,0.0, ,38.4,24.6,92,34,6.50,29.78
PORT HEDLAND AIRPORT,04/12/2022,11.5,0.0, ,41.0,25.4,86,22,6.97,29.83
PORT HEDLAND AIRPORT,05/12/2022,14.5,0.0, ,43.6,23.9,60,11,7.88,29.55
PORT HEDLAND AIRPORT,06/12/2022,13.1,0.0, ,41.6,25.1,80,10,7.50,29.93
PORT HEDLAND AIRPORT,07/12/2022,10.7,0.0, ,37.5,26.0,72,34,8.03,29.79
PORT HEDLAND AIRPORT,08/12/2022,9.9,0.0, ,36.8,23.0,81,25,6.22,29.83
PORT HEDLAND AIRPORT,09/12/2022,10.0,0.0, ,39.8,24.6,90,33,6.30,29.99
PORT HEDLAND AIRPORT,10/12/2022,12.3,0.0, ,43.8,24.4,82,12,5.91,29.86
PORT HEDLAND AIRPORT,11/12/2022,13.9,0.0, ,44.4,26.8,55,10,6.75,29.67
PORT HEDLAND AIRPORT,12/12/2022,14.3,0.0, ,45.0,29.6,39,10,6.61,29.47
PORT HEDLAND AIRPORT,13/12/2022,10.4,0.0, ,37.8,28.8,82,26,6.70,29.50
PORT HEDLAND AIRPORT,14/12/2022,7.4,0.0, ,34.4,25.8,90,57,5.42,29.72
PORT HEDLAND AIRPORT,15/12/2022,9.8,0.0, ,38.5,25.0,96,17,5.15,30.13
PORT HEDLAND AIRPORT,16/12/2022,11.2,0.0, ,37.6,25.1,81,18,7.39,29.81
PORT HEDLAND AIRPORT,17/12/2022,8.5,0.0, ,34.8,24.6,85,45,6.53,30.03
PORT HEDLAND AIRPORT,18/12/2022,7.0,0.0, ,33.0,25.4,86,57,5.18,27.85
PORT HEDLAND AIRPORT,19/12/2022,7.8,0.0, ,34.0,23.4,83,48,5.29,29.79
PORT HEDLAND AIRPORT,20/12/2022,7.1,0.0, ,32.1,22.9,82,48,4.15,29.45
PORT HEDLAND AIRPORT,21/12/2022,7.7,0.0, ,32.2,22.0,79,44,5.42,29.60
PORT HEDLAND AIRPORT,22/12/2022,7.6,0.0, ,34.3,20.5,87,44,4.39,29.84
PORT HEDLAND AIRPORT,23/12/2022,9.0,0.0, ,37.6,21.9,89,24,4.45,29.93
PORT HEDLAND AIRPORT,24/12/2022, ,0.0, , ,26.4,76,26,5.90,30.08
PORT HEDLAND AIRPORT,25/12/2022, , , ,36.7, ,85,38,6.94,30.39
PORT HEDLAND AIRPORT,26/12/2022,7.3,0.0, ,33.7,26.9,89,62,6.18,29.88
PORT HEDLAND AIRPORT,27/12/2022,7.8,0.0, ,34.6,26.1,91,53,5.72,30.21
PORT HEDLAND AIRPORT,28/12/2022,7.6,2.6, ,37.8,26.2,92,36,4.93,22.24
PORT HEDLAND AIRPORT,29/12/2022,11.0,0.0, ,41.5,27.6,84,11,5.14,29.97
PORT HEDLAND AIRPORT,30/12/2022,9.7,0.0, ,41.8,26.9,73,26,5.34,22.54
PORT HEDLAND AIRPORT,31/12/2022,7.2,0.0, ,36.5,27.1,92,63,5.02,28.30
Totals:,,279.8,2.6, ,,,,,, 
