'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT HEDLAND AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT HEDLAND AIRPORT,01/09/2023,7.6,0.0, ,33.1,14.7,64,10,4.44,22.21
PORT HEDLAND AIRPORT,02/09/2023,7.0,0.0, ,34.2,13.5,79,11,3.63,22.38
PORT HEDLAND AIRPORT,03/09/2023,7.2,0.0, ,30.8,14.6,91,23,6.15,22.53
PORT HEDLAND AIRPORT,04/09/2023,6.9,0.0, ,31.8,14.4,95,17,4.65,22.67
PORT HEDLAND AIRPORT,05/09/2023,5.1,0.0, ,29.1,13.4,100,28,2.99,22.68
PORT HEDLAND AIRPORT,06/09/2023,4.8,0.0, ,28.6,15.0,96,47,3.68,22.68
PORT HEDLAND AIRPORT,07/09/2023,7.4,0.0, ,33.7,16.2,94,15,4.65,22.94
PORT HEDLAND AIRPORT,08/09/2023,6.8,0.0, ,31.0,16.5,80,11,4.06,23.21
PORT HEDLAND AIRPORT,09/09/2023,8.1,0.0, ,35.9,15.3,75,10,4.26,23.54
PORT HEDLAND AIRPORT,10/09/2023,6.7,0.0, ,35.8,15.8,90,18,3.13,23.68
PORT HEDLAND AIRPORT,11/09/2023,7.2,0.0, ,34.7,19.8,93,21,4.29,23.93
PORT HEDLAND AIRPORT,12/09/2023,8.0,0.0, ,34.3,19.3,65,14,4.48,23.90
PORT HEDLAND AIRPORT,13/09/2023,6.5,0.0, ,32.4,16.4,93,35,4.63,24.18
PORT HEDLAND AIRPORT,14/09/2023,6.4,0.0, ,34.2,18.9,100,28,3.42,24.27
PORT HEDLAND AIRPORT,15/09/2023,6.7,0.0, ,34.2,17.4,96,27,3.79,24.39
PORT HEDLAND AIRPORT,16/09/2023,7.7,0.0, ,37.6,17.4,84,8,3.38,24.52
PORT HEDLAND AIRPORT,17/09/2023,6.5,0.0, ,33.1,16.0,99,29,3.94,24.62
PORT HEDLAND AIRPORT,18/09/2023,5.0,0.0, ,30.5,18.2,100,61,3.52,24.65
PORT HEDLAND AIRPORT,19/09/2023,6.5,0.2, ,34.8,18.1,100,34,3.60,24.80
PORT HEDLAND AIRPORT,20/09/2023,7.4,0.0, ,35.8,18.4,98,22,4.10,24.94
PORT HEDLAND AIRPORT,21/09/2023,9.6,0.0, ,37.8,17.9,92,14,5.84,25.09
PORT HEDLAND AIRPORT,22/09/2023,9.0,0.0, ,37.2,18.1,75,16,5.05,25.23
PORT HEDLAND AIRPORT,23/09/2023,10.6,0.0, ,39.9,20.4,55,13,5.59,25.32
PORT HEDLAND AIRPORT,24/09/2023,11.3,0.0, ,41.6,22.9,50,10,5.64,25.43
PORT HEDLAND AIRPORT,25/09/2023,11.8,0.0, ,41.8,21.7,51,9,6.03,25.53
PORT HEDLAND AIRPORT,26/09/2023,11.1, , ,42.3,21.6,44,9,5.16,24.46
PORT HEDLAND AIRPORT,27/09/2023,10.3,0.0, ,41.4,22.9,80,9,5.30,23.56
PORT HEDLAND AIRPORT,28/09/2023,10.6,0.0, ,40.8,21.0,77,9,5.39,25.83
PORT HEDLAND AIRPORT,29/09/2023,8.6,0.0, ,39.9,21.1,95,12,3.90,25.90
PORT HEDLAND AIRPORT,30/09/2023,7.7,0.0, ,38.5,20.2,96,20,3.44,26.09
Totals:,,236.1,0.2, ,,,,,, 
