'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RED ROCKS POINT Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RED ROCKS POINT,01/11/2022,4.3,5.6, ,17.7,11.7,94,46,7.63,24.34
RED ROCKS POINT,02/11/2022,3.9,0.0, ,18.7,13.4,83,51,4.30,19.51
RED ROCKS POINT,03/11/2022,3.5,1.2, ,19.4,12.6,96,62,5.66,20.33
RED ROCKS POINT,04/11/2022,4.3,0.0, ,21.6,10.9,88,68,7.03,28.00
RED ROCKS POINT,05/11/2022,5.0,0.0, ,23.2,12.9,86,52,5.58,24.94
RED ROCKS POINT,06/11/2022,3.4,0.0, ,19.3,16.0,89,68,7.96,17.16
RED ROCKS POINT,07/11/2022,3.1,0.0, ,20.9,14.9,92,78,6.42,18.58
RED ROCKS POINT,08/11/2022,4.0,0.0, ,21.5,15.9,97,74,6.18,25.98
RED ROCKS POINT,09/11/2022, ,11.4, , ,15.3,96,75,5.17,13.27
RED ROCKS POINT,10/11/2022, , , ,20.7, ,97,66,6.64,29.29
RED ROCKS POINT,11/11/2022,3.8,0.0, ,20.4,16.2,87,77,9.90,24.25
RED ROCKS POINT,12/11/2022,4.4,0.0, ,20.9,15.2,89,61,5.82,24.30
RED ROCKS POINT,13/11/2022,4.0,0.8, ,20.0,11.2,93,57,7.55,21.08
RED ROCKS POINT,14/11/2022,4.9,0.8, ,20.2,13.2,84,48,6.05,25.19
RED ROCKS POINT,15/11/2022,4.7,0.2, ,19.3,13.6,82,53,6.97,24.51
RED ROCKS POINT,16/11/2022,6.0,0.0, ,25.6,10.2,82,56,9.30,29.91
RED ROCKS POINT,17/11/2022,6.1,0.0, ,33.1,16.1,97,38,6.93,11.05
RED ROCKS POINT,18/11/2022,4.2,19.6, ,21.7,13.0,99,67,4.48,26.63
RED ROCKS POINT,19/11/2022,4.0,18.2, ,19.3,10.1,97,58,6.93,24.50
RED ROCKS POINT,20/11/2022,4.1,1.4, ,19.9,8.4,91,60,6.04,24.91
RED ROCKS POINT,21/11/2022,4.8,0.6, ,19.0,13.5,76,49,6.03,24.13
RED ROCKS POINT,22/11/2022,5.1,0.0, ,19.6,10.8,75,49,5.57,29.00
RED ROCKS POINT,23/11/2022,5.3,0.0, ,27.6,10.2,89,66,7.26,28.63
RED ROCKS POINT,24/11/2022,8.9,0.0, ,34.8,14.2,92,34,6.63,29.90
RED ROCKS POINT,25/11/2022,6.7,0.0, ,25.9,20.2,95,18,5.50,25.19
RED ROCKS POINT,26/11/2022,4.6,3.8, ,21.6,15.6,91,59,5.19,25.78
RED ROCKS POINT,27/11/2022,3.9,0.0, ,20.6,11.4,91,55,5.70,18.17
RED ROCKS POINT,28/11/2022,4.1,0.0, ,20.4,14.8,72,56,5.27,15.95
RED ROCKS POINT,29/11/2022,5.4,0.0, ,21.0,15.8,81,54,7.49,28.77
RED ROCKS POINT,30/11/2022,4.6,0.0, ,22.6,14.9,87,72,8.43,28.37
Totals:,,131.1,63.6, ,,,,,, 
