'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RED ROCKS POINT Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RED ROCKS POINT,01/06/2023,2.3,0.0, ,19.4,15.1,96,55,5.88,9.74
RED ROCKS POINT,02/06/2023,1.7,0.0, ,19.4,9.7,97,62,3.90,7.27
RED ROCKS POINT,03/06/2023,1.4,9.4, ,19.2,10.6,98,78,5.04,9.67
RED ROCKS POINT,04/06/2023,1.6,3.0, ,19.3,10.4,98,70,3.67,11.09
RED ROCKS POINT,05/06/2023,2.8,0.4, ,21.4,7.3,97,40,4.59,11.98
RED ROCKS POINT,06/06/2023,3.1,0.0, ,20.4,11.4,93,30,4.92,11.94
RED ROCKS POINT,07/06/2023,2.2,1.0, ,15.8,7.4,91,49,5.25,10.96
RED ROCKS POINT,08/06/2023,2.8,0.0, ,20.5,5.5,96,40,4.80,11.57
RED ROCKS POINT,09/06/2023,1.4,2.4, ,18.2,11.7,98,62,2.42,8.51
RED ROCKS POINT,10/06/2023,1.9,0.0, ,18.9,10.7,91,46,2.95,5.97
RED ROCKS POINT,11/06/2023,3.5,0.0, ,24.0,7.7,91,25,4.06,11.79
RED ROCKS POINT,12/06/2023,1.9,10.4, ,16.0,7.3,93,60,5.41,10.68
RED ROCKS POINT,13/06/2023,1.9,2.6, ,18.4,7.4,93,58,3.89,11.05
RED ROCKS POINT,14/06/2023,2.7,0.0, ,21.0,5.6,81,41,3.83,10.96
RED ROCKS POINT,15/06/2023,2.9,0.0, ,21.0,6.2,78,41,4.31,11.71
RED ROCKS POINT,16/06/2023,3.4,0.0, ,21.6,8.4,74,36,5.06,11.70
RED ROCKS POINT,17/06/2023,1.5,3.2, ,14.4,9.6,96,65,4.34,10.59
RED ROCKS POINT,18/06/2023,2.1,1.8, ,16.6,3.8,93,47,4.41,11.69
RED ROCKS POINT,19/06/2023,1.6,0.0, ,16.7,4.8,91,56,3.08,8.48
RED ROCKS POINT,20/06/2023,2.8,0.0, ,20.8,3.4,91,36,4.25,10.68
RED ROCKS POINT,21/06/2023,2.2,0.2, ,16.1,6.8,94,41,4.25,11.43
RED ROCKS POINT,22/06/2023,2.0,0.8, ,16.6,6.2,93,58,5.28,10.90
RED ROCKS POINT,23/06/2023,2.8,0.8, ,16.3,6.6,88,36,5.86,11.57
RED ROCKS POINT,24/06/2023,2.8,0.2, ,15.6,7.7,69,45,5.85,11.39
RED ROCKS POINT,25/06/2023,1.6,0.0, ,16.2,5.4,93,62,3.99,11.05
RED ROCKS POINT,26/06/2023,1.6,0.0, ,15.8,3.0,98,61,4.62,10.71
RED ROCKS POINT,27/06/2023,1.4,2.0, ,15.7,5.9,99,68,4.09,9.84
RED ROCKS POINT,28/06/2023,1.5,0.2, ,16.5,5.4,96,69,4.65,10.79
RED ROCKS POINT,29/06/2023,1.5,2.2, ,14.5,7.8,97,58,3.99,9.65
RED ROCKS POINT,30/06/2023,1.4,1.8, ,14.9,7.2,97,66,3.61,10.85
Totals:,,64.3,42.4, ,,,,,, 
