'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RED ROCKS POINT Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RED ROCKS POINT,01/08/2023,2.9,0.4, ,23.0,7.9,98,50,4.30,14.01
RED ROCKS POINT,02/08/2023,5.6,0.0, ,30.3,11.0,83,25,5.58,11.77
RED ROCKS POINT,03/08/2023,3.3,0.8, ,21.6,15.7,91,45,6.56,8.10
RED ROCKS POINT,04/08/2023,2.5,0.8, ,14.6,11.3,81,50,5.32,9.49
RED ROCKS POINT,05/08/2023,1.9,0.0, ,15.0,7.2,94,64,5.08,11.21
RED ROCKS POINT,06/08/2023,2.3,0.0, ,16.8,6.6,94,60,5.47,14.35
RED ROCKS POINT,07/08/2023,3.2,0.0, ,23.6,7.9,85,49,4.19,14.66
RED ROCKS POINT,08/08/2023,5.8,0.0, ,30.7,10.7,54,21,4.53,14.74
RED ROCKS POINT,09/08/2023,3.1,0.0, ,18.8,15.2,94,33,4.64,14.06
RED ROCKS POINT,10/08/2023,2.2,0.0, ,16.9,4.2,99,59,5.15,14.88
RED ROCKS POINT,11/08/2023,1.9,0.0, ,16.3,11.0,94,54,4.17,5.93
RED ROCKS POINT,12/08/2023,1.8,0.2, ,17.1,13.3,94,76,6.10,11.59
RED ROCKS POINT,13/08/2023,1.6,0.6, ,16.8,10.2,95,80,5.18,11.18
RED ROCKS POINT,14/08/2023,1.7,1.4, ,17.4,12.5,97,79,2.99,13.54
RED ROCKS POINT,15/08/2023,2.3,0.2, ,21.1,10.1,97,60,3.22,13.78
RED ROCKS POINT,16/08/2023,3.5,0.0, ,23.8,7.9,93,31,3.52,13.77
RED ROCKS POINT,17/08/2023,3.0,0.6, ,17.8,11.5,93,53,7.22,14.83
RED ROCKS POINT,18/08/2023,2.1,0.8, ,18.5,11.0,97,68,4.33,13.15
RED ROCKS POINT,19/08/2023,2.1,0.8, ,18.2,8.2,99,65,4.12,12.97
RED ROCKS POINT,20/08/2023,3.2,0.2, ,22.2,6.9,98,50,4.67,15.94
RED ROCKS POINT,21/08/2023,2.6,0.0, ,18.7,9.1,85,62,5.69,12.70
RED ROCKS POINT,22/08/2023,2.8,0.0, ,18.2,4.3,94,47,4.18,15.95
RED ROCKS POINT,23/08/2023,4.9,0.2, ,24.8,5.4,84,24,5.15,16.66
RED ROCKS POINT,24/08/2023,6.1,0.0, ,31.4,7.5,90,16,4.52,16.07
RED ROCKS POINT,25/08/2023,2.5,0.0, ,18.5,14.4,91,72,5.41,16.88
RED ROCKS POINT,26/08/2023,4.8,0.0, ,25.8,10.0,95,36,6.17,17.03
RED ROCKS POINT,27/08/2023,7.2,0.0, ,34.4,12.9,88,11,4.85,16.98
RED ROCKS POINT,28/08/2023,7.9,0.0, ,35.3,14.1,97,7,5.42,17.38
RED ROCKS POINT,29/08/2023,2.9,0.0, ,19.8,13.0,98,60,6.08,16.53
RED ROCKS POINT,30/08/2023,3.4,0.2, ,18.9,12.6,75,47,5.06,13.73
RED ROCKS POINT,31/08/2023,2.5,0.0, ,17.3,12.7,91,60,4.55,13.65
Totals:,,103.6,7.2, ,,,,,, 
