'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/10/2022,2.2,0.0, ,17.3,6.1,97,59,2.58,12.39
ROCKY GULLY,02/10/2022,2.2,7.8, ,13.4,9.1,97,67,3.02,14.92
ROCKY GULLY,03/10/2022,2.1,1.4, ,13.8,5.6,96,47,1.94,11.64
ROCKY GULLY,04/10/2022,3.5,0.0, ,19.2,3.5,92,39,2.20,23.29
ROCKY GULLY,05/10/2022,2.1,4.4, ,13.3,9.1,96,58,2.91,12.06
ROCKY GULLY,06/10/2022,2.4,4.4, ,14.3,4.8,97,60,2.21,17.75
ROCKY GULLY,07/10/2022,2.7,4.2, ,15.9,3.9,98,51,1.20,19.82
ROCKY GULLY,08/10/2022,3.7,0.2, ,19.4,5.9,95,36,2.22,23.67
ROCKY GULLY,09/10/2022,2.4,0.0, ,17.2,6.8,97,63,2.48,15.12
ROCKY GULLY,10/10/2022,3.2,1.8, ,14.5,8.9,95,43,3.21,21.09
ROCKY GULLY,11/10/2022,3.1,6.0, ,15.0,7.3,96,49,2.27,21.81
ROCKY GULLY,12/10/2022,2.5,1.4, ,14.2,5.7,97,50,2.01,16.22
ROCKY GULLY,13/10/2022,2.3,0.0, ,14.9,8.4,80,53,1.57,12.97
ROCKY GULLY,14/10/2022,2.6,0.2, ,16.6,8.2,97,57,1.98,16.74
ROCKY GULLY,15/10/2022,2.7,5.4, ,16.5,6.8,98,56,1.52,18.11
ROCKY GULLY,16/10/2022,2.8,0.0, ,17.1,5.7,95,54,1.61,18.67
ROCKY GULLY,17/10/2022,3.5,0.4, ,18.0,8.0,97,49,1.85,24.29
ROCKY GULLY,18/10/2022,3.6,0.2, ,21.5,8.2,93,48,1.36,22.28
ROCKY GULLY,19/10/2022,5.2,0.0, ,27.8,8.2,96,25,2.46,25.12
ROCKY GULLY,20/10/2022,2.4,0.0, ,18.2,10.1,97,64,2.31,13.31
ROCKY GULLY,21/10/2022,2.1,2.8, ,15.1,9.1,97,79,1.39,14.12
ROCKY GULLY,22/10/2022,3.4,6.0, ,19.3,5.3,99,49,1.73,21.99
ROCKY GULLY,23/10/2022,2.9,0.0, ,20.4,10.7,97,59,2.45,15.34
ROCKY GULLY,24/10/2022,2.2,16.0, ,15.9,12.3,98,72,2.67,12.51
ROCKY GULLY,25/10/2022,2.1,7.8, ,16.2,7.3,99,77,1.32,14.13
ROCKY GULLY,26/10/2022,2.2,3.2, ,14.5,6.6,97,63,1.91,13.54
ROCKY GULLY,27/10/2022,2.9,0.6, ,16.3,2.8,98,43,1.62,19.63
ROCKY GULLY,28/10/2022,2.8,0.0, ,16.4,5.9,96,57,2.25,17.89
ROCKY GULLY,29/10/2022,1.6,0.0, ,14.0,7.4,97,67,2.53,7.09
ROCKY GULLY,30/10/2022,2.9,18.6, ,13.6,5.0,96,60,3.11,22.40
ROCKY GULLY,31/10/2022,2.2,6.8, ,13.6,5.3,97,63,2.53,13.69
Totals:,,84.5,99.6, ,,,,,, 
