'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/10/2022,5.9,0.0, ,30.6,17.1,83,49,4.33,24.88
ROEBOURNE AERO,02/10/2022,8.5,0.0, ,34.6,18.9,94,21,6.00,25.83
ROEBOURNE AERO,03/10/2022,9.3,0.0, ,34.5,18.4,70,16,6.08,25.24
ROEBOURNE AERO,04/10/2022,7.0,0.0, ,32.0,16.0,86,39,5.44,26.07
ROEBOURNE AERO,05/10/2022,7.3,0.0, ,33.1,15.8,84,21,3.95,26.21
ROEBOURNE AERO,06/10/2022,8.9,0.0, ,34.8,16.2,68,18,5.29,26.28
ROEBOURNE AERO,07/10/2022,8.8,0.0, ,35.7,15.6,63,20,4.84,26.17
ROEBOURNE AERO,08/10/2022,8.3,0.0, ,33.6,16.5,72,20,5.09,26.34
ROEBOURNE AERO,09/10/2022,7.3,0.0, ,34.6,15.0,82,15,3.28,26.47
ROEBOURNE AERO,10/10/2022,10.6,0.0, ,38.2,17.7,93,10,6.39,26.66
ROEBOURNE AERO,11/10/2022,10.4,0.0, ,36.3,19.8,78,11,6.66,26.61
ROEBOURNE AERO,12/10/2022,11.0,0.0, ,35.2,21.8,38,8,6.39,26.50
ROEBOURNE AERO,13/10/2022,9.5,0.0, ,32.4,15.7,57,12,6.23,26.80
ROEBOURNE AERO,14/10/2022,8.7,0.0, ,32.5,13.6,67,9,4.95,27.05
ROEBOURNE AERO,15/10/2022,8.8,0.0, ,34.4,16.2,69,11,4.67,27.15
ROEBOURNE AERO,16/10/2022,9.8,0.0, ,36.0,13.5,79,14,5.83,27.25
ROEBOURNE AERO,17/10/2022,9.0,0.0, ,36.3,19.7,70,14,4.55,27.33
ROEBOURNE AERO,18/10/2022,8.9,0.0, ,33.4,14.6,76,14,5.37,27.32
ROEBOURNE AERO,19/10/2022,7.4,0.0, ,34.6,15.9,82,13,3.09,27.47
ROEBOURNE AERO,20/10/2022,9.0,0.0, ,38.8,20.9,82,25,4.61,27.58
ROEBOURNE AERO,21/10/2022,9.5,0.0, ,37.6,23.7,70,31,5.98,27.68
ROEBOURNE AERO,22/10/2022,10.0,0.0, ,36.5,22.4,72,25,6.71,27.75
ROEBOURNE AERO,23/10/2022,10.2,0.0, ,35.8,20.6,80,17,7.03,27.79
ROEBOURNE AERO,24/10/2022,10.6,0.0, ,35.6,21.1,77,18,7.77,27.39
ROEBOURNE AERO,25/10/2022,9.8,0.0, ,35.6,16.8,76,10,5.49,27.95
ROEBOURNE AERO,26/10/2022,9.9,0.0, ,37.1,13.7,85,9,5.11,28.01
ROEBOURNE AERO,27/10/2022,8.1,0.0, ,33.9,15.7,78,23,4.52,28.15
ROEBOURNE AERO,28/10/2022,8.6,0.0, ,30.8,19.2,85,24,7.55,28.22
ROEBOURNE AERO,29/10/2022,10.2,0.0, ,32.3,18.2,70,19,8.47,28.30
ROEBOURNE AERO,30/10/2022,9.9,0.0, ,34.4,18.4,54,14,5.69,28.39
ROEBOURNE AERO,31/10/2022,11.2,0.0, ,34.3,20.0,46,5,6.66,28.38
Totals:,,282.4,0, ,,,,,, 
