'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/02/2023,9.8,0.0, ,41.8,26.9,65,28,4.12,29.46
ROEBOURNE AERO,02/02/2023,9.6,0.0, ,38.8,27.9,76,33,5.32,29.41
ROEBOURNE AERO,03/02/2023,8.7,0.0, ,37.8,26.9,71,43,4.58,29.25
ROEBOURNE AERO,04/02/2023,9.6,0.0, ,39.1,26.7,78,31,5.42,28.38
ROEBOURNE AERO,05/02/2023,10.3,0.0, ,40.9,25.6,75,23,5.66,26.16
ROEBOURNE AERO,06/02/2023, ,0.0, , ,26.9,81,23,4.57,29.08
ROEBOURNE AERO,07/02/2023,8.7, , ,40.0,27.7,82,27,3.51,29.00
ROEBOURNE AERO,08/02/2023,8.8,0.0, ,38.9,26.9,76,31,4.05,28.97
ROEBOURNE AERO,09/02/2023,8.9,0.0, ,39.9,28.2,79,35,4.22,28.86
ROEBOURNE AERO,10/02/2023,12.2,0.0, ,42.7,28.7,77,23,7.42,28.74
ROEBOURNE AERO,11/02/2023,9.4,0.0, ,38.2,28.8,78,41,6.83,27.02
ROEBOURNE AERO,12/02/2023,12.4,0.0, ,44.8,29.6,63,16,5.92,28.14
ROEBOURNE AERO,13/02/2023,8.9,0.8, ,40.8,28.8,80,36,4.65,26.11
ROEBOURNE AERO,14/02/2023,10.7,0.0, ,43.1,26.4,56,19,4.72,27.80
ROEBOURNE AERO,15/02/2023,11.6,0.0, ,42.8,27.7,58,19,5.72,27.89
ROEBOURNE AERO,16/02/2023,12.2,0.0, ,45.6,29.8,48,11,5.15,27.70
ROEBOURNE AERO,17/02/2023,12.0,0.0, ,45.4,29.5,78,10,5.38,28.25
ROEBOURNE AERO,18/02/2023,8.7,0.0, ,39.6,25.7,74,28,3.85,28.10
ROEBOURNE AERO,19/02/2023,10.2,0.0, ,40.9,28.9,75,27,5.54,27.70
ROEBOURNE AERO,20/02/2023,11.1,0.0, ,42.8,30.7,66,23,5.51,27.96
ROEBOURNE AERO,21/02/2023,8.3,0.0, ,38.4,28.5,100,42,5.73,27.77
ROEBOURNE AERO,22/02/2023,6.0,24.4, ,35.5,22.8,100,55,3.33,24.26
ROEBOURNE AERO,23/02/2023,5.3,19.8, ,33.2,23.9,100,59,3.97,21.61
ROEBOURNE AERO,24/02/2023,7.6,0.2, ,37.3,26.3,100,42,5.91,24.17
ROEBOURNE AERO,25/02/2023,6.7,30.6, ,35.9,23.0,100,50,4.35,25.47
ROEBOURNE AERO,26/02/2023,7.1,0.2, ,37.3,26.8,86,44,3.62,24.84
ROEBOURNE AERO,27/02/2023,7.6,0.0, ,37.6,25.7,85,37,3.89,25.55
ROEBOURNE AERO,28/02/2023,7.8,0.0, ,37.8,27.3,83,38,4.53,24.85
Totals:,,250.2,76, ,,,,,, 
