'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/09/2022,4.0,0.0, ,20.6,12.2,79,44,5.68,18.37
ROTTNEST ISLAND,02/09/2022,4.2,0.0, ,18.9,14.0,66,46,8.01,11.20
ROTTNEST ISLAND,03/09/2022,2.6,5.6, ,16.1,11.9,100,54,8.95,9.40
ROTTNEST ISLAND,04/09/2022,1.9,0.0, ,19.5,12.5,100,82,6.12,13.95
ROTTNEST ISLAND,05/09/2022,2.9,7.2, ,18.1,14.2,100,56,7.45,14.06
ROTTNEST ISLAND,06/09/2022,2.4,9.6, ,16.4,10.0,99,68,7.55,16.67
ROTTNEST ISLAND,07/09/2022,2.5,1.6, ,17.1,11.4,100,63,4.77,15.79
ROTTNEST ISLAND,08/09/2022,2.2,1.0, ,17.7,12.5,99,63,4.51,11.20
ROTTNEST ISLAND,09/09/2022,3.1,0.0, ,19.3,13.0,99,58,5.08,19.60
ROTTNEST ISLAND,10/09/2022,3.1,0.0, ,18.8,13.7,100,60,6.52,18.84
ROTTNEST ISLAND,11/09/2022,3.0,0.0, ,19.0,13.3,95,65,3.79,20.01
ROTTNEST ISLAND,12/09/2022,2.4,0.0, ,21.4,15.6,100,83,8.44,17.41
ROTTNEST ISLAND,13/09/2022,3.7,15.0, ,17.8,10.3,100,49,14.86,15.99
ROTTNEST ISLAND,14/09/2022,3.4,4.0, ,17.8,10.2,97,53,10.85,16.71
ROTTNEST ISLAND,15/09/2022,3.1,0.0, ,18.3,13.1,100,56,8.92,15.55
ROTTNEST ISLAND,16/09/2022,2.4,3.6, ,17.8,13.1,100,80,4.79,19.35
ROTTNEST ISLAND,17/09/2022,2.3,0.4, ,19.7,13.7,100,76,4.40,15.03
ROTTNEST ISLAND,18/09/2022,3.4,0.2, ,19.9,14.0,100,57,4.88,21.13
ROTTNEST ISLAND,19/09/2022,3.1,4.6, ,17.2,11.5,100,58,10.91,18.15
ROTTNEST ISLAND,20/09/2022,3.0,0.0, ,19.0,12.4,99,59,6.86,15.40
ROTTNEST ISLAND,21/09/2022,3.6,0.0, ,19.8,15.5,100,58,8.69,19.88
ROTTNEST ISLAND,22/09/2022,3.4,0.0, ,15.8,11.9,98,47,6.60,20.33
ROTTNEST ISLAND,23/09/2022,3.9,0.0, ,19.2,11.7,78,54,5.64,21.23
ROTTNEST ISLAND,24/09/2022,3.1,1.8, ,16.5,12.0,100,57,9.50,18.79
ROTTNEST ISLAND,25/09/2022,3.4,0.0, ,17.7,11.5,87,61,5.18,21.62
ROTTNEST ISLAND,26/09/2022,3.3,0.0, ,18.2,12.2,92,68,6.78,22.44
ROTTNEST ISLAND,27/09/2022,3.1,0.0, ,19.4,13.7,100,74,7.08,22.67
ROTTNEST ISLAND,28/09/2022,2.9,0.0, ,19.8,14.1,100,77,7.26,21.65
ROTTNEST ISLAND,29/09/2022,5.9,0.0, ,27.0,15.7,100,30,6.26,22.55
ROTTNEST ISLAND,30/09/2022,4.9,0.0, ,23.7,15.6,98,45,7.07,23.12
Totals:,,96.2,54.6, ,,,,,, 
