'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/11/2022,4.0,0.0, ,19.0,12.9,96,65,8.42,27.45
ROTTNEST ISLAND,02/11/2022,4.8,0.0, ,22.1,13.8,100,56,6.99,28.31
ROTTNEST ISLAND,03/11/2022,7.2,0.0, ,30.9,16.8,100,26,5.64,24.66
ROTTNEST ISLAND,04/11/2022,4.7,0.0, ,21.6,16.5,100,57,8.13,27.72
ROTTNEST ISLAND,05/11/2022,4.3,0.0, ,20.0,13.5,100,60,9.51,28.75
ROTTNEST ISLAND,06/11/2022,4.0,0.0, ,19.8,14.8,99,58,8.40,22.36
ROTTNEST ISLAND,07/11/2022,3.7,0.0, ,20.3,15.4,100,73,6.72,25.94
ROTTNEST ISLAND,08/11/2022,3.6,0.0, ,21.1,15.8,100,68,7.52,20.75
ROTTNEST ISLAND,09/11/2022,4.5,0.0, ,21.2,16.7,100,58,5.23,26.39
ROTTNEST ISLAND,10/11/2022,4.0,0.8, ,21.3,15.2,97,61,7.95,20.48
ROTTNEST ISLAND,11/11/2022,4.7,0.2, ,18.2,13.1,87,53,13.28,26.15
ROTTNEST ISLAND,12/11/2022,5.2,0.0, ,18.8,12.1,75,53,10.17,28.08
ROTTNEST ISLAND,13/11/2022,4.6,0.0, ,19.0,13.1,82,56,8.72,24.07
ROTTNEST ISLAND,14/11/2022,5.4,0.0, ,20.8,12.5,94,44,7.65,29.70
ROTTNEST ISLAND,15/11/2022,6.8,0.0, ,25.6,14.0,98,34,8.30,29.90
ROTTNEST ISLAND,16/11/2022,7.0,0.0, ,25.7,16.0,100,26,7.49,29.08
ROTTNEST ISLAND,17/11/2022,4.0,1.0, ,20.7,14.6,100,59,8.28,21.71
ROTTNEST ISLAND,18/11/2022,3.9,17.0, ,17.3,10.4,100,48,11.77,19.83
ROTTNEST ISLAND,19/11/2022,3.8,2.4, ,19.1,11.1,100,63,7.59,25.67
ROTTNEST ISLAND,20/11/2022,4.6,0.2, ,19.9,13.8,98,59,7.96,29.76
ROTTNEST ISLAND,21/11/2022,6.0,0.0, ,23.9,14.0,100,43,8.05,30.51
ROTTNEST ISLAND,22/11/2022,7.2,0.0, ,32.9,18.1,100,23,6.80,14.42
ROTTNEST ISLAND,23/11/2022,5.9,2.4, ,23.1,18.2,100,37,7.18,28.26
ROTTNEST ISLAND,24/11/2022,4.8,0.2, ,22.5,17.3,100,50,4.97,25.52
ROTTNEST ISLAND,25/11/2022,4.4,2.4, ,21.5,15.8,100,60,4.59,26.10
ROTTNEST ISLAND,26/11/2022,5.1,0.2, ,21.8,16.0,97,55,10.01,28.14
ROTTNEST ISLAND,27/11/2022,5.0,0.0, ,20.9,13.6,99,54,9.20,30.99
ROTTNEST ISLAND,28/11/2022,6.0,0.0, ,25.5,14.7,100,51,7.98,30.95
ROTTNEST ISLAND,29/11/2022,8.9,0.0, ,32.9,18.2,100,25,6.83,30.82
ROTTNEST ISLAND,30/11/2022,7.1,0.0, ,24.9,21.8,100,23,7.78,29.26
Totals:,,155.2,26.8, ,,,,,, 
