'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/10/2023,3.9,0.0, ,19.6,14.8,91,53,10.81,13.60
ROTTNEST ISLAND,02/10/2023,4.2,1.2, ,17.4,12.0,93,46,12.54,19.47
ROTTNEST ISLAND,03/10/2023,3.9,0.6, ,17.9,12.6,77,55,7.18,18.36
ROTTNEST ISLAND,04/10/2023,4.2,0.0, ,19.5,13.7,85,55,6.65,23.75
ROTTNEST ISLAND,05/10/2023,4.8,0.0, ,21.9,14.2,85,51,7.45,23.89
ROTTNEST ISLAND,06/10/2023,5.4,0.0, ,25.0,16.5,82,48,6.24,24.09
ROTTNEST ISLAND,07/10/2023,6.5,0.0, ,29.5,18.8,96,27,5.13,24.28
ROTTNEST ISLAND,08/10/2023,3.3,0.0, ,20.7,17.4,94,69,4.95,18.12
ROTTNEST ISLAND,09/10/2023,4.1,0.0, ,20.8,15.9,87,66,6.79,24.17
ROTTNEST ISLAND,10/10/2023,4.4,0.0, ,19.0,15.5,90,55,10.56,24.61
ROTTNEST ISLAND,11/10/2023,5.1,0.2, ,18.6,13.6,73,48,9.57,24.17
ROTTNEST ISLAND,12/10/2023,5.1,0.0, ,21.4,12.7,84,48,8.08,25.14
ROTTNEST ISLAND,13/10/2023,6.4,0.0, ,26.7,14.8,90,35,6.84,25.29
ROTTNEST ISLAND,14/10/2023,6.7,0.0, ,26.9,17.0,90,31,6.88,25.45
ROTTNEST ISLAND,15/10/2023,6.5,0.0, ,26.8,16.9,82,34,6.14,25.59
ROTTNEST ISLAND,16/10/2023,10.1,0.0, ,36.4,20.4,80,12,6.55,25.68
ROTTNEST ISLAND,17/10/2023,6.6,0.0, ,25.8,20.5,84,34,7.95,23.14
ROTTNEST ISLAND,18/10/2023,4.5,0.0, ,21.6,16.0,84,65,8.16,25.19
ROTTNEST ISLAND,19/10/2023,5.0,0.0, ,21.5,15.4,85,54,7.71,25.94
ROTTNEST ISLAND,20/10/2023,5.0,0.0, ,22.0,15.1,88,45,5.65,25.30
ROTTNEST ISLAND,21/10/2023,3.9,0.0, ,24.6,17.3,94,61,4.38,18.52
ROTTNEST ISLAND,22/10/2023,3.5,0.0, ,21.2,16.3,94,61,7.52,15.26
ROTTNEST ISLAND,23/10/2023,4.9,0.6, ,18.8,12.9,87,47,9.96,25.67
ROTTNEST ISLAND,24/10/2023,6.5,0.0, ,23.0,12.5,72,32,7.92,26.16
ROTTNEST ISLAND,25/10/2023,9.9,0.0, ,34.0,16.6,85,14,7.31,27.14
ROTTNEST ISLAND,26/10/2023,4.7,0.0, ,22.4,16.7,87,58,7.53,22.49
ROTTNEST ISLAND,27/10/2023,5.9,0.0, ,19.1,14.3,74,42,11.89,27.04
ROTTNEST ISLAND,28/10/2023,5.6,0.0, ,19.8,12.5,69,47,8.51,27.58
ROTTNEST ISLAND,29/10/2023,4.0,0.0, ,19.5,15.0,94,61,6.94,23.08
ROTTNEST ISLAND,30/10/2023,5.5,0.8, ,19.3,12.1,74,47,10.19,27.80
ROTTNEST ISLAND,31/10/2023,6.4,0.0, ,23.8,13.9,84,37,8.70,27.23
Totals:,,166.5,3.4, ,,,,,, 
