'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,01/03/2023,6.7,0.0, ,29.8,14.5,86,22,4.49,24.55
SALMON GUMS RESSTN,02/03/2023,6.9,0.0, ,31.3,14.0,80,19,4.08,23.87
SALMON GUMS RESSTN,03/03/2023,8.1,0.0, ,36.8,15.3,77,16,4.15,23.63
SALMON GUMS RESSTN,04/03/2023,6.6,0.0, ,30.2,16.7,90,30,5.11,23.60
SALMON GUMS RESSTN,05/03/2023,4.8,0.0, ,25.6,10.3,93,33,3.28,22.46
SALMON GUMS RESSTN,06/03/2023,4.1,0.0, ,24.6,8.8,91,39,3.41,17.42
SALMON GUMS RESSTN,07/03/2023,4.6,0.0, ,25.3,6.0,89,25,2.41,23.54
SALMON GUMS RESSTN,08/03/2023,4.8,0.0, ,28.2,3.3,86,23,2.11,23.48
SALMON GUMS RESSTN,09/03/2023,6.5,0.0, ,32.2,14.7,74,18,3.88,19.29
SALMON GUMS RESSTN,10/03/2023,5.2,0.0, ,28.9,12.4,93,34,3.80,19.85
SALMON GUMS RESSTN,11/03/2023,4.4,0.0, ,27.3,10.8,91,34,2.58,19.17
SALMON GUMS RESSTN,12/03/2023,5.0,0.0, ,31.4,8.5,92,24,2.12,21.42
SALMON GUMS RESSTN,13/03/2023,7.4,0.0, ,37.2,17.1,88,13,3.84,20.44
SALMON GUMS RESSTN,14/03/2023,5.7,0.0, ,31.5,14.5,94,31,3.54,22.27
SALMON GUMS RESSTN,15/03/2023,6.5,0.0, ,37.7,9.6,88,11,2.44,22.48
SALMON GUMS RESSTN,16/03/2023,6.9,0.0, ,38.1,10.9,80,11,2.74,22.27
SALMON GUMS RESSTN,17/03/2023,4.4,0.0, ,24.9,14.6,91,40,5.11,15.68
SALMON GUMS RESSTN,18/03/2023,3.4,0.0, ,23.9,9.3,91,34,1.89,16.71
SALMON GUMS RESSTN,19/03/2023,4.8,0.0, ,26.4,7.4,93,26,3.28,20.51
SALMON GUMS RESSTN,20/03/2023,6.3,0.0, ,30.0,12.9,88,23,4.79,21.44
SALMON GUMS RESSTN,21/03/2023,6.3,1.2, ,30.1,15.0,88,32,6.06,18.98
SALMON GUMS RESSTN,22/03/2023,6.7,0.0, ,33.4,15.4,82,26,4.56,21.10
SALMON GUMS RESSTN,23/03/2023,4.5,0.0, ,30.9,14.4,92,34,2.72,17.24
SALMON GUMS RESSTN,24/03/2023,3.0,0.0, ,28.5,17.1,91,53,2.25,11.39
SALMON GUMS RESSTN,25/03/2023,1.4,1.8, ,21.4,18.9,94,80,1.79,4.97
SALMON GUMS RESSTN,26/03/2023,2.0,6.0, ,20.3,16.8,94,71,3.38,7.77
SALMON GUMS RESSTN,27/03/2023,2.6,2.6, ,21.3,9.8,95,45,1.85,13.24
SALMON GUMS RESSTN,28/03/2023,3.1,0.0, ,22.4,5.4,95,40,2.29,15.68
SALMON GUMS RESSTN,29/03/2023,3.5,0.0, ,23.8,6.8,95,30,2.10,17.66
SALMON GUMS RESSTN,30/03/2023,3.5,0.0, ,25.1,7.8,95,32,2.61,14.59
SALMON GUMS RESSTN,31/03/2023,4.6,0.0, ,25.3,8.3,92,29,4.17,17.70
Totals:,,154.3,11.6, ,,,,,, 
