'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,01/09/2023,6.1,0.0, ,31.5,9.6,79,12,4.04,17.66
SALMON GUMS RESSTN,02/09/2023,3.4,0.0, ,22.4,9.2,88,33,3.05,15.35
SALMON GUMS RESSTN,03/09/2023, ,1.4, , ,6.6,88,30,5.51,15.38
SALMON GUMS RESSTN,04/09/2023,2.6, , ,17.7,4.3,93,51,3.84,13.60
SALMON GUMS RESSTN,05/09/2023,3.9,0.0, ,22.4,3.9,93,33,4.38,15.66
SALMON GUMS RESSTN,06/09/2023,3.1,1.0, ,16.6,9.6,89,43,5.19,14.15
SALMON GUMS RESSTN,07/09/2023,2.4,1.6, ,15.7,2.3,93,38,1.91,16.18
SALMON GUMS RESSTN,08/09/2023,3.9,0.0, ,21.1,0.1,91,19,3.17,18.73
SALMON GUMS RESSTN,09/09/2023,6.1,0.0, ,26.2,8.4,37,13,4.55,18.43
SALMON GUMS RESSTN,10/09/2023,5.2,0.0, ,31.1,8.2,89,18,2.94,18.53
SALMON GUMS RESSTN,11/09/2023,4.0,0.0, ,33.4,5.8,91,15,1.27,19.15
SALMON GUMS RESSTN,12/09/2023,5.9,0.0, ,33.3,11.9,73,12,3.43,14.64
SALMON GUMS RESSTN,13/09/2023,7.2,0.6, ,30.2,14.8,89,20,7.72,14.10
SALMON GUMS RESSTN,14/09/2023,4.4,3.4, ,21.1,9.0,80,35,5.19,19.73
SALMON GUMS RESSTN,15/09/2023,4.9,0.0, ,27.1,9.6,87,30,3.71,19.93
SALMON GUMS RESSTN,16/09/2023,4.2,0.0, ,25.9,7.1,93,29,2.71,19.81
SALMON GUMS RESSTN,17/09/2023,3.0,0.0, ,20.7,8.3,95,50,2.74,17.03
SALMON GUMS RESSTN,18/09/2023,4.1,0.0, ,23.1,1.2,92,21,2.73,20.25
SALMON GUMS RESSTN,19/09/2023,4.1,0.0, ,24.0,6.5,88,33,3.54,17.15
SALMON GUMS RESSTN,20/09/2023,3.7,0.0, ,23.0,5.3,94,30,2.40,19.80
SALMON GUMS RESSTN,21/09/2023,5.4,0.0, ,28.6,7.8,95,19,3.50,20.55
SALMON GUMS RESSTN,22/09/2023,6.3,0.0, ,34.1,17.3,51,16,3.03,20.13
SALMON GUMS RESSTN,23/09/2023,4.9,0.0, ,29.8,14.3,87,20,3.89,9.94
SALMON GUMS RESSTN,24/09/2023,3.7,0.2, ,21.9,11.2,90,43,3.99,15.99
SALMON GUMS RESSTN,25/09/2023,5.0,0.0, ,27.5,4.5,92,27,3.31,21.08
SALMON GUMS RESSTN,26/09/2023,4.6,0.4, ,25.2,11.9,93,32,3.51,20.32
SALMON GUMS RESSTN,27/09/2023,6.3,0.0, ,30.6,7.7,94,13,3.83,21.54
SALMON GUMS RESSTN,28/09/2023,6.3,0.0, ,32.8,16.8,73,15,3.93,15.45
SALMON GUMS RESSTN,29/09/2023,6.5,0.0, ,37.5,10.5,94,10,2.74,19.50
SALMON GUMS RESSTN,30/09/2023,4.9,0.0, ,24.6,10.0,92,25,3.77,21.54
Totals:,,136.1,8.6, ,,,,,, 
