'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,01/10/2023,6.2,0.0, ,27.8,4.4,93,19,4.70,22.20
SALMON GUMS RESSTN,02/10/2023,4.6,0.8, ,20.0,9.4,89,24,5.76,16.29
SALMON GUMS RESSTN,03/10/2023,3.7, , ,18.1,6.2,84,37,4.26,17.27
SALMON GUMS RESSTN,04/10/2023,3.7,0.2, ,22.7,2.0,93,30,1.91,20.75
SALMON GUMS RESSTN,05/10/2023,4.9,0.0, ,26.6,1.9,92,21,2.63,22.46
SALMON GUMS RESSTN,06/10/2023,6.2,0.0, ,29.1,7.8,91,19,4.01,22.72
SALMON GUMS RESSTN,07/10/2023,6.6,0.0, ,31.4,9.2,88,13,3.66,23.07
SALMON GUMS RESSTN,08/10/2023,7.0,0.0, ,34.0,11.1,84,12,3.39,23.18
SALMON GUMS RESSTN,09/10/2023,6.3,0.0, ,33.7,10.9,87,14,2.98,21.02
SALMON GUMS RESSTN,10/10/2023,4.8,0.0, ,25.5,12.9,91,40,4.19,21.02
SALMON GUMS RESSTN,11/10/2023,4.6,0.0, ,21.8,6.4,93,30,3.83,22.72
SALMON GUMS RESSTN,12/10/2023,4.9,0.0, ,24.1,7.4,86,27,3.21,23.07
SALMON GUMS RESSTN,13/10/2023,5.1,0.0, ,26.8,1.8,92,16,2.44,23.84
SALMON GUMS RESSTN,14/10/2023,5.0,0.0, ,27.6,3.1,91,22,2.31,24.05
SALMON GUMS RESSTN,15/10/2023,5.2,0.0, ,26.8,6.0,93,28,3.12,23.23
SALMON GUMS RESSTN,16/10/2023,6.2,0.0, ,30.6,11.9,84,15,3.07,24.24
SALMON GUMS RESSTN,17/10/2023,7.9,0.0, ,35.6,15.8,47,9,3.52,23.98
SALMON GUMS RESSTN,18/10/2023,5.4,0.0, ,23.0,14.2,86,13,5.13,15.30
SALMON GUMS RESSTN,19/10/2023,4.1,0.0, ,22.4,3.2,91,34,2.73,20.88
SALMON GUMS RESSTN,20/10/2023,5.2,0.0, ,25.1,3.5,83,28,3.52,22.89
SALMON GUMS RESSTN,21/10/2023,6.5,0.0, ,30.4,9.3,75,20,3.57,24.03
SALMON GUMS RESSTN,22/10/2023,6.8,0.0, ,34.1,18.3,91,15,4.59,14.20
SALMON GUMS RESSTN,23/10/2023,4.5,5.4, ,19.2,11.3,87,36,5.29,21.54
SALMON GUMS RESSTN,24/10/2023,4.4,0.0, ,20.6,3.5,92,29,3.23,23.65
SALMON GUMS RESSTN,25/10/2023,6.5,0.0, ,25.7,2.6,89,17,4.90,25.39
SALMON GUMS RESSTN,26/10/2023,9.5,0.0, ,32.6,11.2,80,12,7.03,24.94
SALMON GUMS RESSTN,27/10/2023,5.3,0.0, ,22.2,12.2,81,34,5.57,22.70
SALMON GUMS RESSTN,28/10/2023,4.8,0.0, ,24.7,0.4,85,16,1.97,25.55
SALMON GUMS RESSTN,29/10/2023,5.2,0.0, ,25.0,7.7,83,29,3.92,20.70
SALMON GUMS RESSTN,30/10/2023,4.2,0.0, ,22.0,7.3,84,32,3.01,19.50
SALMON GUMS RESSTN,31/10/2023,5.2,0.0, ,24.8,1.3,88,25,3.19,24.23
Totals:,,170.5,6.4, ,,,,,, 
