'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,28/10/2023,4.8,0.0, ,24.7,0.4,85,16,1.97,25.55
SALMON GUMS RESSTN,29/10/2023,5.2,0.0, ,25.0,7.7,83,29,3.92,20.70
SALMON GUMS RESSTN,30/10/2023,4.2,0.0, ,22.0,7.3,84,32,3.01,19.50
SALMON GUMS RESSTN,31/10/2023,5.2,0.0, ,24.8,1.3,88,25,3.19,24.23
SALMON GUMS RESSTN,01/11/2023,6.8,0.0, ,28.8,10.0,84,19,3.91,27.26
SALMON GUMS RESSTN,02/11/2023,6.0,0.0, ,26.5,7.5,93,26,3.94,26.31
SALMON GUMS RESSTN,03/11/2023,6.2,0.0, ,26.9,4.2,90,22,3.96,26.26
Totals:,,38.4,0, ,,,,,, 
