'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/09/2022,2.6,0.2, ,17.4,4.4,100,47,3.15,16.67
SHANNON,02/09/2022,2.6,0.0, ,17.5,8.8,98,49,4.76,13.04
SHANNON,03/09/2022,1.9,0.0, ,16.0,10.2,90,73,5.31,9.81
SHANNON,04/09/2022,1.3,0.0, ,15.3,9.7,100,81,4.01,8.09
SHANNON,05/09/2022,1.9,4.0, ,14.7,10.1,100,72,2.75,14.42
SHANNON,06/09/2022,1.8,1.8, ,14.7,2.4,100,62,1.98,14.10
SHANNON,07/09/2022,1.9,6.0, ,14.8,7.4,100,60,3.11,12.36
SHANNON,08/09/2022,1.7,0.4, ,14.1,6.5,100,60,1.54,11.34
SHANNON,09/09/2022,2.5,0.0, ,18.7,7.1,99,50,2.36,15.20
SHANNON,10/09/2022,2.2,0.0, ,18.6,8.1,100,64,1.57,14.93
SHANNON,11/09/2022,2.9,0.2, ,20.3,6.9,100,44,2.48,17.54
SHANNON,12/09/2022,3.3,0.0, ,21.9,8.5,99,48,4.07,16.55
SHANNON,13/09/2022,1.7,18.8, ,14.1,9.6,98,69,5.63,8.97
SHANNON,14/09/2022,2.2,10.0, ,14.1,7.7,95,63,6.38,11.80
SHANNON,15/09/2022,2.2,4.6, ,15.8,9.6,100,71,4.67,15.56
SHANNON,16/09/2022,2.6,4.8, ,15.8,9.0,100,59,3.27,19.32
SHANNON,17/09/2022, ,2.8, , ,9.6,100,70,2.85,14.37
SHANNON,18/09/2022,2.2, , ,16.7,8.9,100,60,2.55,14.20
SHANNON,19/09/2022,2.1,0.8, ,14.4,7.8,100,65,3.39,14.85
SHANNON,20/09/2022, ,7.0, , ,7.8,100,66,3.96,13.99
SHANNON,21/09/2022, , , ,18.5, ,99,50,5.11,15.23
SHANNON,22/09/2022,1.9,5.4, ,12.6,3.0,100,65,1.87,14.62
SHANNON,23/09/2022,2.7,2.0, ,16.9,3.3,98,55,3.95,16.57
SHANNON,24/09/2022,2.6,4.6, ,14.4,7.5,100,53,3.82,17.09
SHANNON,25/09/2022,2.4,1.2, ,15.7,6.3,100,61,3.31,16.01
SHANNON,26/09/2022,2.1,0.8, ,16.6,8.4,100,66,1.56,13.81
SHANNON,27/09/2022,2.8,0.0, ,19.6,8.9,100,57,1.76,17.78
SHANNON,28/09/2022,3.4,0.0, ,21.7,10.1,97,59,3.08,21.07
SHANNON,29/09/2022,4.6,0.0, ,25.0,11.5,98,32,3.30,21.95
SHANNON,30/09/2022,4.6,0.0, ,24.0,10.3,100,26,3.30,22.50
Totals:,,66.7,75.4, ,,,,,, 
