'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/11/2022,2.5,1.2, ,15.7,9.6,100,75,3.19,17.64
SHANNON,02/11/2022,2.3,0.4, ,16.5,9.4,100,68,2.76,13.68
SHANNON,03/11/2022,4.4,0.0, ,24.1,11.0,99,44,3.45,21.64
SHANNON,04/11/2022, ,0.0, , ,12.7,97,55,3.94,22.49
SHANNON,05/11/2022,4.0, , ,19.3,8.2,100,56,3.05,26.80
SHANNON,06/11/2022,3.2,0.0, ,18.6,6.0,97,55,3.40,18.32
SHANNON,07/11/2022,3.7,0.0, ,20.4,11.3,99,59,3.85,21.14
SHANNON,08/11/2022,3.8,0.0, ,20.4,11.5,99,53,2.71,21.93
SHANNON,09/11/2022,3.8,0.0, ,20.3,10.3,100,53,2.69,22.36
SHANNON,10/11/2022,2.5,0.2, ,17.8,9.4,99,68,4.18,14.02
SHANNON,11/11/2022,3.5,15.0, ,14.7,8.5,98,56,4.63,24.81
SHANNON,12/11/2022,2.1,3.2, ,13.1,7.3,100,67,3.89,12.75
SHANNON,13/11/2022,2.1,0.8, ,14.0,9.1,100,67,2.30,12.82
SHANNON,14/11/2022,3.9,0.0, ,19.5,9.3,95,49,2.84,22.93
SHANNON,15/11/2022,5.3,0.0, ,23.4,8.3,100,37,3.35,29.61
SHANNON,16/11/2022,6.3,0.0, ,28.2,10.3,100,21,4.32,23.13
SHANNON,17/11/2022,2.8,2.6, ,16.3,10.5,99,76,4.50,20.14
SHANNON,18/11/2022,2.9,21.8, ,13.2,8.0,100,54,5.26,19.44
SHANNON,19/11/2022,3.3,4.6, ,17.1,4.8,100,59,3.76,22.76
SHANNON,20/11/2022,3.3,0.8, ,18.0,10.0,100,61,2.79,20.82
SHANNON,21/11/2022,5.1,0.0, ,22.4,5.6,100,39,3.41,30.61
SHANNON,22/11/2022,6.6,0.0, ,27.3,8.4,95,30,4.43,29.98
SHANNON,23/11/2022, ,0.4, , ,13.2,98,34,4.31,30.22
SHANNON,24/11/2022, , , ,19.8, ,99,58,2.99,21.07
SHANNON,25/11/2022,3.4,0.2, ,21.1,10.2,100,59,2.79,18.95
SHANNON,26/11/2022,3.0,0.8, ,17.6,12.2,97,60,2.95,16.92
SHANNON,27/11/2022,3.5,0.2, ,19.3,9.4,100,55,2.79,20.83
SHANNON,28/11/2022,4.4,0.0, ,21.9,9.2,95,53,3.17,25.73
SHANNON,29/11/2022,7.6,0.0, ,30.5,9.8,96,23,4.36,31.25
SHANNON,30/11/2022,8.2,0.0, ,33.2,14.8,93,17,4.65,27.91
Totals:,,107.5,52.2, ,,,,,, 
