'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/03/2023,7.0, , ,31.4,13.8,86,28,5.08,24.72
SHANNON,02/03/2023,3.1,0.0, ,26.1,15.4,99,49,3.54,9.06
SHANNON,03/03/2023,3.9,10.2, ,25.8,15.0,100,64,3.22,20.94
SHANNON,04/03/2023,3.7,0.6, ,22.3,15.1,99,53,3.92,18.42
SHANNON,05/03/2023,2.9,0.2, ,20.8,12.1,96,56,2.77,14.98
SHANNON,06/03/2023,2.6,0.4, ,19.9,12.5,100,67,2.63,14.58
SHANNON,07/03/2023,4.7,2.8, ,23.5,9.7,94,34,3.93,22.94
SHANNON,08/03/2023,5.1,0.0, ,27.8,10.3,96,31,4.45,17.10
SHANNON,09/03/2023,4.3,6.0, ,25.4,13.8,100,45,3.10,22.12
SHANNON,10/03/2023,3.5,0.0, ,24.5,13.2,100,54,2.00,19.04
SHANNON,11/03/2023,4.5,0.0, ,27.8,10.6,100,29,2.03,22.71
SHANNON,12/03/2023,5.0,0.0, ,28.8,14.7,96,32,3.75,18.36
SHANNON,13/03/2023,3.7,0.0, ,26.1,15.0,100,49,2.37,17.92
SHANNON,14/03/2023,4.4,0.0, ,27.1,11.8,100,40,2.54,22.06
SHANNON,15/03/2023,5.5,0.0, ,30.1,14.8,100,31,3.84,21.50
SHANNON,16/03/2023,1.9,0.0, ,20.8,15.3,100,68,3.40,7.22
SHANNON,17/03/2023,2.4,16.4, ,19.4,13.0,98,60,3.23,10.85
SHANNON,18/03/2023,2.4,0.0, ,20.1,9.4,100,54,2.56,11.03
SHANNON,19/03/2023,4.4,0.0, ,25.7,10.0,100,35,3.30,21.14
SHANNON,20/03/2023,5.4,0.0, ,29.8,12.9,96,30,3.88,20.80
SHANNON,21/03/2023,4.3,0.0, ,27.4,14.7,98,51,4.28,18.90
SHANNON,22/03/2023,2.0,0.0, ,22.3,16.5,98,71,3.66,7.82
SHANNON,23/03/2023,2.2,0.0, ,22.3,15.7,95,68,3.52,8.46
SHANNON,24/03/2023,1.9,0.0, ,21.1,16.9,96,75,3.70,7.81
SHANNON,25/03/2023,1.5,0.4, ,19.5,16.3,98,80,4.33,6.08
SHANNON,26/03/2023,2.1,0.2, ,18.7,13.8,97,63,3.36,8.75
SHANNON,27/03/2023,1.9,0.2, ,18.1,9.5,100,72,1.93,11.94
SHANNON,28/03/2023,2.9,1.2, ,22.0,7.3,100,49,2.20,17.07
SHANNON,29/03/2023,3.8,0.2, ,23.9,8.4,100,40,3.42,19.07
SHANNON,30/03/2023,3.9,0.0, ,24.2,10.5,99,43,4.25,18.60
SHANNON,31/03/2023,2.8,0.0, ,22.5,14.5,92,51,3.92,8.67
Totals:,,109.7,38.8, ,,,,,, 
