'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/08/2023,2.4,0.0, ,19.7,7.7,100,49,4.47,13.00
SHANNON,02/08/2023,1.0,10.8, ,12.9,10.9,100,78,5.22,3.13
SHANNON,03/08/2023,1.2,46.8, ,11.1,5.1,100,70,2.83,10.87
SHANNON,04/08/2023,1.4,0.6, ,13.6,2.4,100,62,2.51,10.83
SHANNON,05/08/2023,1.5,0.0, ,15.0,4.0,100,57,2.16,11.54
SHANNON,06/08/2023,1.7,0.2, ,17.6,2.3,100,51,1.97,13.58
SHANNON,07/08/2023,2.2,0.0, ,18.7,7.1,96,60,4.66,12.51
SHANNON,08/08/2023,1.7,1.6, ,16.9,13.1,98,68,4.94,8.10
SHANNON,09/08/2023,1.3,7.0, ,14.2,5.6,100,64,2.26,9.72
SHANNON,10/08/2023,1.0,0.0, ,12.9,6.1,100,78,1.79,6.98
SHANNON,11/08/2023,1.2,0.4, ,14.7,4.9,100,73,2.10,9.58
SHANNON,12/08/2023,1.5,1.2, ,14.7,6.7,100,66,2.60,12.31
SHANNON,13/08/2023,1.9,0.0, ,16.3,7.1,100,55,3.07,12.84
SHANNON,14/08/2023,1.4,0.4, ,16.6,6.8,100,76,4.03,10.18
SHANNON,15/08/2023,1.5,4.6, ,16.1,7.3,100,77,4.13,11.68
SHANNON,16/08/2023,1.6,13.0, ,12.7,7.4,100,61,3.99,11.47
SHANNON,17/08/2023,1.6,5.4, ,15.9,8.2,100,69,3.15,12.08
SHANNON,18/08/2023,1.4,0.2, ,15.8,9.3,100,74,2.63,9.89
SHANNON,19/08/2023,1.8,0.0, ,17.2,10.3,97,69,2.81,12.15
SHANNON,20/08/2023,1.4,0.0, ,16.3,7.9,100,79,3.27,10.59
SHANNON,21/08/2023,1.8,1.4, ,14.7,7.1,95,56,2.56,11.82
SHANNON,22/08/2023,1.6,0.0, ,15.1,8.7,100,71,3.00,11.19
SHANNON,23/08/2023,1.5,1.4, ,15.9,8.0,100,78,3.34,11.53
SHANNON,24/08/2023,2.1,2.0, ,18.7,10.5,100,58,2.11,13.94
SHANNON,25/08/2023,3.0,0.0, ,22.7,6.9,100,39,2.74,16.19
SHANNON,26/08/2023,1.8,0.2, ,18.8,6.7,100,67,2.06,11.43
SHANNON,27/08/2023,1.9,0.0, ,20.1,8.7,100,62,1.91,10.95
SHANNON,28/08/2023,1.1,0.6, ,15.5,10.9,100,95,2.91,9.67
SHANNON,29/08/2023,1.9,3.2, ,15.5,9.2,100,60,2.25,13.43
SHANNON,30/08/2023, ,0.2, , ,2.4,100,47,2.15,16.84
SHANNON,31/08/2023, , , ,23.6, ,100,43,3.62,17.14
Totals:,,47.4,101.2, ,,,,,, 
