'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/10/2023,2.3,0.4, ,17.1,7.0,98,70,5.87,13.68
SHANNON,02/10/2023, ,16.4, , ,6.6,96,59,5.57,16.77
SHANNON,03/10/2023, , , , , ,100,69,3.03,14.35
SHANNON,04/10/2023,2.1, , ,17.4,5.4,100,72,2.23,14.20
SHANNON,05/10/2023,2.6,0.2, ,19.8,9.6,100,65,2.35,15.12
SHANNON,06/10/2023,4.6,0.0, ,26.6,11.8,95,37,2.89,22.26
SHANNON,07/10/2023,6.4,0.0, ,31.5,12.5,92,18,3.52,23.66
SHANNON,08/10/2023,5.0,0.0, ,26.3,12.8,98,39,3.92,23.58
SHANNON,09/10/2023,3.1,0.0, ,21.5,10.8,100,63,2.57,18.41
SHANNON,10/10/2023,2.7,0.6, ,16.2,11.3,100,55,3.98,15.57
SHANNON,11/10/2023,2.5,0.0, ,14.7,10.1,82,61,3.62,12.34
SHANNON,12/10/2023,3.9,0.0, ,21.0,10.5,92,49,3.04,22.95
SHANNON,13/10/2023,4.5,0.0, ,23.8,8.4,100,42,3.59,23.86
SHANNON,14/10/2023,4.0,0.0, ,23.0,9.4,100,51,3.11,22.86
SHANNON,15/10/2023,5.0,0.0, ,24.7,9.6,99,39,4.03,25.02
SHANNON,16/10/2023,6.9,0.0, ,31.3,11.5,95,21,4.34,24.68
SHANNON,17/10/2023, ,0.0, , ,11.7,100,42,3.24,24.88
SHANNON,18/10/2023,2.3, , ,18.5,13.5,100,67,2.68,11.83
SHANNON,19/10/2023,2.5,0.0, ,17.6,8.8,100,64,2.24,14.80
SHANNON,20/10/2023,4.1,0.0, ,21.9,7.5,100,39,2.26,23.81
SHANNON,21/10/2023,4.2,0.0, ,26.2,11.1,98,41,3.32,16.79
SHANNON,22/10/2023,1.4,0.8, ,15.2,12.9,100,94,3.16,9.32
SHANNON,23/10/2023,2.6,8.4, ,15.7,7.6,97,58,2.82,16.01
SHANNON,24/10/2023,4.8,0.0, ,20.8,4.7,99,29,3.82,26.58
SHANNON,25/10/2023,7.0,0.0, ,27.3,8.8,82,18,5.27,26.16
SHANNON,26/10/2023,2.5,0.0, ,18.0,11.1,97,68,3.40,13.79
SHANNON,27/10/2023,3.1,0.4, ,16.7,7.4,99,46,3.05,17.49
SHANNON,28/10/2023,3.6,0.0, ,18.2,2.8,100,49,2.89,24.47
SHANNON,29/10/2023,3.5,2.2, ,17.6,11.0,100,57,3.74,22.26
SHANNON,30/10/2023,2.4,0.6, ,15.4,10.0,96,61,2.76,13.68
SHANNON,31/10/2023,4.4,0.0, ,22.3,7.1,100,38,2.89,24.37
Totals:,,104,30, ,,,,,, 
