'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/09/2022,7.2,0.0, ,30.0,12.8,69,13,5.83,16.59
SHARK BAY AIRPORT,02/09/2022,3.1,0.0, ,19.4,16.9,99,25,4.94,4.91
SHARK BAY AIRPORT,03/09/2022,3.5,0.6, ,23.7,12.6,99,57,4.30,18.88
SHARK BAY AIRPORT,04/09/2022,2.9,1.6, ,22.5,14.4,99,66,4.01,15.53
SHARK BAY AIRPORT,05/09/2022,3.5,0.8, ,21.9,11.7,97,54,4.64,18.44
SHARK BAY AIRPORT,06/09/2022,4.4,0.0, ,21.6,13.3,79,41,5.58,18.76
SHARK BAY AIRPORT,07/09/2022,3.5,0.0, ,22.6,10.4,98,44,3.14,17.99
SHARK BAY AIRPORT,08/09/2022,2.8,0.0, ,21.2,12.1,91,39,3.21,8.10
SHARK BAY AIRPORT,09/09/2022,3.0,0.0, ,21.0,11.7,92,48,3.58,12.18
SHARK BAY AIRPORT,10/09/2022,5.5,0.0, ,25.3,13.9,86,29,5.43,21.85
SHARK BAY AIRPORT,11/09/2022,5.2,0.0, ,27.0,10.3,96,28,3.97,21.96
SHARK BAY AIRPORT,12/09/2022,4.4,0.0, ,26.2,10.8,100,45,4.40,19.66
SHARK BAY AIRPORT,13/09/2022,4.7,2.0, ,22.9,16.4,97,43,6.69,22.07
SHARK BAY AIRPORT,14/09/2022,4.6,0.2, ,23.0,12.2,95,37,5.61,19.71
SHARK BAY AIRPORT,15/09/2022, ,0.0, , ,13.3,84,48,5.64,13.37
SHARK BAY AIRPORT,16/09/2022, , , ,24.2, ,83,40,5.80,22.69
SHARK BAY AIRPORT,17/09/2022,5.5,0.0, ,26.4,10.8,96,30,4.84,22.87
SHARK BAY AIRPORT,18/09/2022,5.1,0.0, ,24.8,14.6,93,43,6.62,22.36
SHARK BAY AIRPORT,19/09/2022,5.5,0.2, ,21.9,15.0,84,33,8.04,21.40
SHARK BAY AIRPORT,20/09/2022,4.9,0.2, ,23.2,12.5,80,40,4.80,23.13
SHARK BAY AIRPORT,21/09/2022,4.7,0.0, ,24.9,13.3,91,39,5.11,18.51
SHARK BAY AIRPORT,22/09/2022,5.5,0.0, ,25.5,11.7,97,32,5.32,23.58
SHARK BAY AIRPORT,23/09/2022,5.7,0.0, ,26.2,11.8,85,35,5.33,23.72
SHARK BAY AIRPORT,24/09/2022,4.9,0.0, ,24.9,12.0,96,44,5.64,22.79
SHARK BAY AIRPORT,25/09/2022,6.3,0.0, ,23.3,12.6,75,30,7.94,23.96
SHARK BAY AIRPORT,26/09/2022,7.5,0.0, ,27.9,10.8,84,16,6.80,24.13
SHARK BAY AIRPORT,27/09/2022,7.8,0.0, ,29.9,11.2,92,11,5.85,24.26
SHARK BAY AIRPORT,28/09/2022,7.2,0.0, ,31.0,13.0,85,15,5.12,19.98
SHARK BAY AIRPORT,29/09/2022, ,0.0, , ,16.8,66,27,6.30,12.46
SHARK BAY AIRPORT,30/09/2022, , , ,29.2, ,81,34,6.13,24.09
Totals:,,128.9,5.6, ,,,,,, 
