'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/12/2022,7.1,0.0, ,28.2,18.9,81,43,5.70,30.73
SHARK BAY AIRPORT,02/12/2022,7.1,0.0, ,28.7,17.0,88,42,6.29,30.74
SHARK BAY AIRPORT,03/12/2022,7.3,0.0, ,28.3,18.9,82,43,6.72,30.86
SHARK BAY AIRPORT,04/12/2022,7.1,0.0, ,28.7,19.7,83,44,6.67,27.98
SHARK BAY AIRPORT,05/12/2022,7.0,0.0, ,28.2,19.5,77,50,6.95,28.40
SHARK BAY AIRPORT,06/12/2022,7.3,0.0, ,28.3,19.9,79,47,7.12,29.83
SHARK BAY AIRPORT,07/12/2022,6.4,0.0, ,28.5,20.5,79,50,6.38,24.20
SHARK BAY AIRPORT,08/12/2022,6.8,0.0, ,28.1,19.9,82,41,6.23,25.83
SHARK BAY AIRPORT,09/12/2022,7.3,0.0, ,27.6,17.7,78,37,6.20,30.06
SHARK BAY AIRPORT,10/12/2022,8.9,0.0, ,29.5,16.7,75,25,7.47,31.10
SHARK BAY AIRPORT,11/12/2022,9.1,0.0, ,31.0,17.6,78,30,8.26,30.29
SHARK BAY AIRPORT,12/12/2022,8.6,0.0, ,31.1,19.9,85,30,6.77,31.16
SHARK BAY AIRPORT,13/12/2022,7.1,0.0, ,29.3,19.9,85,50,6.47,31.10
SHARK BAY AIRPORT,14/12/2022,8.9,0.0, ,32.1,20.3,87,30,7.17,31.29
SHARK BAY AIRPORT,15/12/2022,7.7,0.0, ,30.1,19.7,88,46,8.07,31.26
SHARK BAY AIRPORT,16/12/2022,10.8,0.0, ,36.4,20.2,88,23,7.91,31.32
SHARK BAY AIRPORT,17/12/2022,12.3,0.0, ,38.1,21.5,73,12,7.49,31.34
SHARK BAY AIRPORT,18/12/2022,11.8,0.0, ,40.0,19.0,84,10,6.04,31.35
SHARK BAY AIRPORT,19/12/2022,12.0,0.0, ,39.2,22.8,55,19,6.72,31.15
SHARK BAY AIRPORT,20/12/2022,8.5,0.0, ,33.6,20.9,73,37,5.78,29.11
SHARK BAY AIRPORT,21/12/2022,9.3,0.2, ,34.4,19.1,81,29,6.30,31.29
SHARK BAY AIRPORT,22/12/2022,11.8,0.0, ,38.7,22.0,70,18,6.96,31.17
SHARK BAY AIRPORT,23/12/2022,11.5,0.0, ,40.2,23.3,53,18,5.53,31.07
SHARK BAY AIRPORT,24/12/2022,10.0,0.0, ,39.6,21.6,83,22,4.62,31.29
SHARK BAY AIRPORT,25/12/2022,9.6,0.0, ,35.2,22.9,83,32,6.78,31.29
SHARK BAY AIRPORT,26/12/2022,9.1,0.0, ,33.2,20.8,87,37,8.45,31.20
SHARK BAY AIRPORT,27/12/2022,10.0,0.0, ,32.3,20.2,80,24,9.04,29.48
SHARK BAY AIRPORT,28/12/2022,9.6,0.0, ,38.5,21.9,79,12,6.58,13.51
SHARK BAY AIRPORT,29/12/2022,12.9,0.0, ,42.7,24.2,64,12,6.47,29.66
SHARK BAY AIRPORT,30/12/2022,10.5,0.0, ,36.3,21.6,84,22,7.10,31.21
SHARK BAY AIRPORT,31/12/2022,8.5,0.0, ,30.6,19.3,85,36,8.23,31.05
Totals:,,281.9,0.2, ,,,,,, 
