'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/07/2023,4.1,0.0, ,20.8,7.3,68,22,4.89,14.74
SHARK BAY AIRPORT,02/07/2023,3.7,0.0, ,22.8,5.3,86,24,4.00,14.77
SHARK BAY AIRPORT,03/07/2023,3.2,0.0, ,23.0,7.2,97,38,4.10,12.52
SHARK BAY AIRPORT,04/07/2023,2.4,0.2, ,20.6,13.4,98,56,3.77,13.39
SHARK BAY AIRPORT,05/07/2023,2.4,0.6, ,21.0,11.5,97,59,3.74,14.46
SHARK BAY AIRPORT,06/07/2023,2.5,0.0, ,20.2,10.6,98,48,3.60,13.91
SHARK BAY AIRPORT,07/07/2023,3.1,0.2, ,21.7,6.6,98,41,4.49,14.89
SHARK BAY AIRPORT,08/07/2023, ,0.0, , ,9.7,97,37,4.49,15.02
SHARK BAY AIRPORT,09/07/2023,4.1,0.0, ,25.1,7.0,96,21,3.95,15.07
SHARK BAY AIRPORT,10/07/2023,4.6,0.0, ,25.6,9.7,85,13,4.18,15.12
SHARK BAY AIRPORT,11/07/2023,4.3,0.0, ,25.5,9.3,94,17,4.07,15.18
SHARK BAY AIRPORT,12/07/2023,3.9,0.2, ,24.2,9.9,97,20,3.96,15.23
SHARK BAY AIRPORT,13/07/2023,2.6,0.0, ,22.7,8.3,99,48,2.92,15.25
SHARK BAY AIRPORT,14/07/2023,2.9,0.4, ,22.1,13.2,98,44,4.16,13.09
SHARK BAY AIRPORT,15/07/2023,4.4,1.2, ,21.1,12.1,81,25,5.97,15.42
SHARK BAY AIRPORT,16/07/2023,4.2,0.0, ,23.7,6.0,76,20,4.02,15.48
SHARK BAY AIRPORT,17/07/2023,3.7,0.0, ,24.3,6.8,87,19,3.11,15.55
SHARK BAY AIRPORT,18/07/2023,2.7,0.0, ,23.7,4.8,99,48,2.87,15.55
SHARK BAY AIRPORT,19/07/2023,3.3,0.6, ,20.7,15.7,97,44,6.26,13.31
SHARK BAY AIRPORT,20/07/2023,3.5,0.0, ,19.1,6.2,92,30,5.17,15.75
SHARK BAY AIRPORT,21/07/2023,4.5,0.0, ,22.0,5.1,89,17,5.28,15.78
SHARK BAY AIRPORT,22/07/2023,5.4,0.0, ,23.9,11.7,82,16,6.41,15.91
SHARK BAY AIRPORT,23/07/2023,5.1,0.0, ,24.7,9.9,79,15,5.16,15.98
SHARK BAY AIRPORT,24/07/2023,5.4,0.0, ,25.7,7.1,74,13,5.06,16.01
SHARK BAY AIRPORT,25/07/2023,4.1,0.0, ,23.7,8.3,97,32,6.08,9.25
SHARK BAY AIRPORT,26/07/2023,2.9,1.6, ,20.3,11.2,91,50,4.35,15.69
SHARK BAY AIRPORT,27/07/2023,3.2,0.4, ,21.0,9.5,92,40,4.00,15.28
SHARK BAY AIRPORT,28/07/2023,3.2,0.0, ,21.4,7.9,95,38,3.58,16.35
SHARK BAY AIRPORT,29/07/2023,3.1,0.0, ,21.3,8.7,98,39,3.75,16.35
SHARK BAY AIRPORT,30/07/2023,3.7,0.0, ,23.5,10.0,99,31,4.09,16.64
SHARK BAY AIRPORT,31/07/2023,4.9,0.2, ,27.1,11.1,95,12,4.04,16.73
Totals:,,111.1,5.6, ,,,,,, 
