'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/04/2023,2.4,18.4, ,21.6,14.7,96,69,5.92,8.84
SOUTHERN CROSS AIRFIELD,02/04/2023,3.0,28.0, ,24.5,14.8,100,59,2.87,15.03
SOUTHERN CROSS AIRFIELD,03/04/2023,4.4,0.2, ,27.7,14.2,100,35,3.23,19.54
SOUTHERN CROSS AIRFIELD,04/04/2023,4.4,0.0, ,25.3,15.0,90,37,4.34,17.79
SOUTHERN CROSS AIRFIELD,05/04/2023,3.9,0.0, ,22.7,9.1,95,33,3.36,19.52
SOUTHERN CROSS AIRFIELD,06/04/2023,4.2,0.0, ,24.0,12.7,85,34,3.69,18.05
SOUTHERN CROSS AIRFIELD,07/04/2023,4.3,0.0, ,24.9,12.6,83,40,5.19,14.31
SOUTHERN CROSS AIRFIELD,08/04/2023,3.7,4.4, ,22.1,13.1,90,53,6.13,16.27
SOUTHERN CROSS AIRFIELD,09/04/2023,2.9,0.0, ,22.7,12.6,91,51,3.15,12.92
SOUTHERN CROSS AIRFIELD,10/04/2023,4.7,0.0, ,26.3,9.9,96,29,4.42,18.68
SOUTHERN CROSS AIRFIELD,11/04/2023,4.4,0.0, ,23.1,13.2,82,37,5.04,18.32
SOUTHERN CROSS AIRFIELD,12/04/2023,3.7,0.0, ,27.6,8.3,92,29,2.08,18.37
SOUTHERN CROSS AIRFIELD,13/04/2023,5.0,0.0, ,27.3,8.9,91,31,4.69,18.23
SOUTHERN CROSS AIRFIELD,14/04/2023,4.1,1.0, ,17.8,10.5,91,33,7.83,17.70
SOUTHERN CROSS AIRFIELD,15/04/2023,3.2,0.0, ,20.5,4.2,89,40,3.55,16.25
SOUTHERN CROSS AIRFIELD,16/04/2023,2.5,0.0, ,22.4,6.5,88,43,1.49,14.97
SOUTHERN CROSS AIRFIELD,17/04/2023,3.5,0.0, ,25.5,8.3,89,30,2.34,16.63
SOUTHERN CROSS AIRFIELD,18/04/2023,4.1,0.0, ,23.0,12.5,95,33,5.31,15.19
SOUTHERN CROSS AIRFIELD,19/04/2023, ,0.0, , ,9.7,79,31,4.74,17.25
SOUTHERN CROSS AIRFIELD,20/04/2023, , , ,23.2, ,70,26,4.60,17.13
SOUTHERN CROSS AIRFIELD,21/04/2023,4.0,0.0, ,25.3,7.0,73,24,2.91,16.95
SOUTHERN CROSS AIRFIELD,22/04/2023,3.9,0.0, ,27.2,5.8,76,18,2.30,16.69
SOUTHERN CROSS AIRFIELD,23/04/2023,4.8,0.0, ,29.7,7.5,64,16,2.97,16.65
SOUTHERN CROSS AIRFIELD,24/04/2023,4.1,0.0, ,24.3,12.3,89,36,5.14,13.93
SOUTHERN CROSS AIRFIELD,25/04/2023,3.7,0.2, ,19.2,10.3,82,34,5.31,15.18
SOUTHERN CROSS AIRFIELD,26/04/2023,3.6,0.0, ,20.9,11.2,87,43,6.11,12.81
SOUTHERN CROSS AIRFIELD,27/04/2023,3.0,0.0, ,21.6,5.8,93,45,4.03,13.47
SOUTHERN CROSS AIRFIELD,28/04/2023,3.1,0.0, ,18.3,5.9,87,32,3.61,15.86
SOUTHERN CROSS AIRFIELD,29/04/2023,2.2,0.0, ,20.7,1.8,86,31,1.20,15.82
SOUTHERN CROSS AIRFIELD,30/04/2023,2.3,0.0, ,22.7,3.2,79,25,1.09,14.91
Totals:,,103.1,52.2, ,,,,,, 
