'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/08/2023,3.8,0.0, ,24.8,0.5,90,11,2.90,14.51
SOUTHERN CROSS AIRFIELD,02/08/2023,2.6,0.8, ,21.3,6.4,98,46,4.26,7.91
SOUTHERN CROSS AIRFIELD,03/08/2023,1.6,7.2, ,11.7,6.6,97,69,7.34,12.53
SOUTHERN CROSS AIRFIELD,04/08/2023,1.8,0.8, ,13.7,-0.3,100,42,2.31,14.86
SOUTHERN CROSS AIRFIELD,05/08/2023,2.7,0.0, ,18.0,0.1,96,37,3.71,14.86
SOUTHERN CROSS AIRFIELD,06/08/2023,2.8,0.0, ,25.0,5.9,89,39,2.22,14.83
SOUTHERN CROSS AIRFIELD,07/08/2023,4.1,0.0, ,28.8,12.9,83,24,3.38,12.55
SOUTHERN CROSS AIRFIELD,08/08/2023,4.7,0.0, ,25.7,15.7,86,31,6.69,8.46
SOUTHERN CROSS AIRFIELD,09/08/2023,2.4,0.0, ,17.4,4.0,95,31,2.44,15.44
SOUTHERN CROSS AIRFIELD,10/08/2023,3.4,0.0, ,23.9,1.6,98,32,3.52,12.27
SOUTHERN CROSS AIRFIELD,11/08/2023,0.8,6.6, ,12.8,11.2,100,92,3.32,5.83
SOUTHERN CROSS AIRFIELD,12/08/2023,1.5,4.8, ,14.5,9.1,100,71,3.71,10.47
SOUTHERN CROSS AIRFIELD,13/08/2023,1.3,1.0, ,15.7,9.3,100,76,2.01,7.98
SOUTHERN CROSS AIRFIELD,14/08/2023,1.8,1.0, ,17.9,2.7,100,40,0.81,16.03
SOUTHERN CROSS AIRFIELD,15/08/2023,2.8,0.0, ,20.0,1.9,99,35,2.73,15.96
SOUTHERN CROSS AIRFIELD,16/08/2023,2.2,1.8, ,16.6,6.0,100,54,4.05,12.73
SOUTHERN CROSS AIRFIELD,17/08/2023,2.0,1.6, ,16.0,-0.1,100,52,2.74,14.40
SOUTHERN CROSS AIRFIELD,18/08/2023,2.0,0.0, ,18.9,1.3,100,47,0.90,16.63
SOUTHERN CROSS AIRFIELD,19/08/2023,2.4,0.0, ,21.6,2.9,100,38,1.32,16.77
SOUTHERN CROSS AIRFIELD,20/08/2023,4.1,0.0, ,24.2,2.2,97,21,3.62,16.77
SOUTHERN CROSS AIRFIELD,21/08/2023,2.6,0.0, ,17.9,4.6,100,37,2.61,16.78
SOUTHERN CROSS AIRFIELD,22/08/2023,2.8,0.0, ,20.3,-0.6,94,29,2.07,17.17
SOUTHERN CROSS AIRFIELD,23/08/2023,3.3,0.0, ,22.7,1.1,95,29,2.64,17.36
SOUTHERN CROSS AIRFIELD,24/08/2023,3.0,0.0, ,22.8,1.4,93,22,1.76,17.50
SOUTHERN CROSS AIRFIELD,25/08/2023,4.3,0.0, ,29.4,3.2,83,18,2.41,17.57
SOUTHERN CROSS AIRFIELD,26/08/2023,4.4,0.0, ,29.8,8.5,75,16,2.36,17.68
SOUTHERN CROSS AIRFIELD,27/08/2023,6.3,0.0, ,31.3,7.7,90,6,4.13,17.60
SOUTHERN CROSS AIRFIELD,28/08/2023,4.1,0.0, ,26.9,5.9,84,24,2.60,18.07
SOUTHERN CROSS AIRFIELD,29/08/2023,3.5,0.0, ,23.2,7.0,95,35,3.40,15.82
SOUTHERN CROSS AIRFIELD,30/08/2023,3.7,0.0, ,22.7,6.5,88,34,3.33,18.38
SOUTHERN CROSS AIRFIELD,31/08/2023,5.5,0.0, ,28.5,8.5,72,22,4.22,18.53
Totals:,,94.3,25.6, ,,,,,, 
