'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/10/2023,5.3,0.0, ,26.4,7.0,75,27,3.48,23.11
SOUTHERN CROSS AIRFIELD,02/10/2023,5.0,1.2, ,20.1,11.2,94,28,8.51,17.73
SOUTHERN CROSS AIRFIELD,03/10/2023,4.9,0.0, ,21.4,3.6,84,27,4.43,23.47
SOUTHERN CROSS AIRFIELD,04/10/2023,4.5,0.0, ,25.1,6.0,77,19,1.95,23.65
SOUTHERN CROSS AIRFIELD,05/10/2023,5.6,0.0, ,29.0,10.3,78,14,2.71,23.64
SOUTHERN CROSS AIRFIELD,06/10/2023,6.4,0.0, ,31.3,12.7,45,11,2.88,23.88
SOUTHERN CROSS AIRFIELD,07/10/2023,6.9,0.0, ,33.7,16.5,38,9,2.84,24.02
SOUTHERN CROSS AIRFIELD,08/10/2023,8.0,0.0, ,36.4,18.1,35,7,3.50,23.70
SOUTHERN CROSS AIRFIELD,09/10/2023,5.3,0.0, ,34.0,11.0,56,11,1.99,17.51
SOUTHERN CROSS AIRFIELD,10/10/2023,7.1,0.0, ,31.5,18.8,69,22,4.49,23.02
SOUTHERN CROSS AIRFIELD,11/10/2023,6.3,0.0, ,24.5,10.5,78,15,4.92,24.59
SOUTHERN CROSS AIRFIELD,12/10/2023,6.5,0.0, ,26.2,9.2,75,18,4.79,24.75
SOUTHERN CROSS AIRFIELD,13/10/2023,7.5,0.0, ,29.7,10.4,64,8,4.51,24.85
SOUTHERN CROSS AIRFIELD,14/10/2023,7.4,0.0, ,30.9,12.4,57,8,3.85,24.95
SOUTHERN CROSS AIRFIELD,15/10/2023,7.7,0.0, ,31.6,13.0,72,12,4.46,25.11
SOUTHERN CROSS AIRFIELD,16/10/2023,7.8,0.0, ,32.7,15.4,52,7,3.79,25.08
SOUTHERN CROSS AIRFIELD,17/10/2023,9.1,0.0, ,37.0,14.0,46,6,4.13,25.46
SOUTHERN CROSS AIRFIELD,18/10/2023,6.9,0.0, ,28.4,12.8,81,25,5.35,24.89
SOUTHERN CROSS AIRFIELD,19/10/2023,6.3,0.0, ,28.6,11.2,74,21,3.58,25.12
SOUTHERN CROSS AIRFIELD,20/10/2023,7.1,0.0, ,31.5,12.4,56,15,3.49,25.69
SOUTHERN CROSS AIRFIELD,21/10/2023,6.9,0.0, ,33.2,15.0,51,13,3.56,18.25
SOUTHERN CROSS AIRFIELD,22/10/2023,10.7,0.2, ,35.7,21.4,60,13,8.18,18.79
SOUTHERN CROSS AIRFIELD,23/10/2023,6.1,0.0, ,22.3,9.9,78,22,6.65,22.13
SOUTHERN CROSS AIRFIELD,24/10/2023,6.2,0.0, ,24.4,7.4,70,15,4.20,25.86
SOUTHERN CROSS AIRFIELD,25/10/2023,9.2,0.0, ,28.9,11.6,49,12,7.21,26.54
SOUTHERN CROSS AIRFIELD,26/10/2023,11.2,0.0, ,35.3,14.5,58,8,7.26,26.68
SOUTHERN CROSS AIRFIELD,27/10/2023,7.4,0.0, ,25.8,14.1,71,18,6.35,26.77
SOUTHERN CROSS AIRFIELD,28/10/2023,6.8,0.0, ,27.9,8.3,66,16,3.87,26.85
SOUTHERN CROSS AIRFIELD,29/10/2023,7.0,0.0, ,26.3,9.9,67,17,4.84,26.87
SOUTHERN CROSS AIRFIELD,30/10/2023,6.0,0.0, ,22.7,11.4,71,19,5.58,20.62
SOUTHERN CROSS AIRFIELD,31/10/2023, ,0.0, , ,9.2,73,16,5.12,27.08
Totals:,,209.1,1.4, ,,,,,, 
