'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/12/2022,3.3,0.0, ,22.6,18.9,85,68,3.99,13.72
SWANBOURNE,02/12/2022,5.2,0.0, ,22.3,16.0,79,53,4.44,27.06
SWANBOURNE,03/12/2022,5.7,0.0, ,24.5,15.0,87,52,4.95,30.28
SWANBOURNE,04/12/2022,7.6,0.0, ,29.7,17.0,70,36,5.11,29.79
SWANBOURNE,05/12/2022,6.0,0.0, ,24.9,15.7,82,51,4.89,30.41
SWANBOURNE,06/12/2022,6.0,0.0, ,25.6,16.3,81,41,5.33,24.99
SWANBOURNE,07/12/2022,9.1,0.0, ,30.4,14.9,74,27,7.54,31.61
SWANBOURNE,08/12/2022,6.3,0.0, ,24.0,19.0,79,45,5.16,29.70
SWANBOURNE,09/12/2022,5.4,0.0, ,22.7,16.9,82,50,4.73,26.51
SWANBOURNE,10/12/2022,6.3,0.0, ,23.9,13.2,81,37,4.94,31.53
SWANBOURNE,11/12/2022,7.3,0.0, ,25.9,14.3,71,30,5.31,31.86
SWANBOURNE,12/12/2022,8.6,0.0, ,28.8,14.3,58,21,5.59,31.89
SWANBOURNE,13/12/2022,4.5,0.0, ,22.9,15.8,82,41,6.51,10.79
SWANBOURNE,14/12/2022,7.3,0.4, ,28.1,14.7,80,32,4.88,31.85
SWANBOURNE,15/12/2022,7.7,0.0, ,28.9,17.5,69,34,5.44,29.97
SWANBOURNE,16/12/2022,8.4,0.0, ,29.3,16.3,66,24,5.39,32.00
SWANBOURNE,17/12/2022,8.1,0.0, ,29.5,16.4,70,32,5.64,31.33
SWANBOURNE,18/12/2022,9.2,0.0, ,33.3,19.4,64,22,5.28,30.22
SWANBOURNE,19/12/2022,10.3,0.0, ,36.3,21.1,50,12,4.97,29.86
SWANBOURNE,20/12/2022,10.6,0.0, ,36.1,22.9,48,14,5.09,31.71
SWANBOURNE,21/12/2022,8.1,0.0, ,32.5,20.9,77,24,4.16,29.53
SWANBOURNE,22/12/2022,9.1,0.0, ,34.4,20.3,62,22,4.41,31.90
SWANBOURNE,23/12/2022,7.6,0.0, ,30.3,20.2,81,25,3.66,31.90
SWANBOURNE,24/12/2022,6.6,0.0, ,27.9,18.3,89,44,3.80,31.95
SWANBOURNE,25/12/2022,6.1,0.0, ,26.1,17.0,91,53,4.11,31.96
SWANBOURNE,26/12/2022,5.6,0.0, ,24.4,17.0,86,61,5.07,30.90
SWANBOURNE,27/12/2022,5.9,0.0, ,24.0,16.4,80,50,5.39,29.18
SWANBOURNE,28/12/2022,7.4,0.0, ,27.8,15.1,76,31,4.88,31.91
SWANBOURNE,29/12/2022,8.9,0.0, ,33.8,17.9,88,19,4.74,31.90
SWANBOURNE,30/12/2022,6.6,0.0, ,27.2,17.8,88,39,3.70,31.87
SWANBOURNE,31/12/2022,5.4,0.0, ,24.5,17.9,87,55,5.88,25.53
Totals:,,220.2,0.4, ,,,,,, 
