'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/02/2023,8.8,0.0, ,32.5,18.4,67,29,6.11,29.26
SWANBOURNE,02/02/2023,9.7,0.0, ,34.5,16.4,60,14,5.46,29.15
SWANBOURNE,03/02/2023,10.0,0.0, ,35.9,18.7,66,17,5.72,29.05
SWANBOURNE,04/02/2023,9.8,0.0, ,38.6,23.3,37,15,4.83,21.55
SWANBOURNE,05/02/2023,6.2,0.0, ,27.3,22.0,94,23,2.99,27.90
SWANBOURNE,06/02/2023,4.6,0.0, ,26.0,20.5,94,61,4.74,21.68
SWANBOURNE,07/02/2023,5.4,0.0, ,26.1,17.4,90,58,4.35,28.23
SWANBOURNE,08/02/2023,6.0,0.0, ,27.4,18.5,86,47,4.09,28.46
SWANBOURNE,09/02/2023,5.7,0.0, ,26.8,19.0,87,51,3.76,27.89
SWANBOURNE,10/02/2023,6.1,0.0, ,26.8,18.7,88,47,5.27,28.18
SWANBOURNE,11/02/2023,5.9,0.0, ,25.4,15.4,78,44,4.76,27.94
SWANBOURNE,12/02/2023,7.5,0.0, ,30.8,17.4,73,31,4.98,27.81
SWANBOURNE,13/02/2023,7.9,0.0, ,33.0,19.1,76,32,5.04,27.69
SWANBOURNE,14/02/2023,5.6,0.0, ,25.1,20.0,85,53,5.32,26.49
SWANBOURNE,15/02/2023,4.1,0.0, ,25.3,17.3,92,55,3.60,18.45
SWANBOURNE,16/02/2023,5.5,0.0, ,25.3,15.1,81,47,3.90,27.26
SWANBOURNE,17/02/2023,5.7,0.0, ,26.3,16.5,87,48,4.75,27.14
SWANBOURNE,18/02/2023,7.2,0.0, ,31.8,18.2,79,36,4.86,26.94
SWANBOURNE,19/02/2023,6.7,0.0, ,29.7,20.2,76,41,4.55,26.71
SWANBOURNE,20/02/2023,7.7,0.0, ,35.2,20.1,81,33,4.47,26.47
SWANBOURNE,21/02/2023,5.7,0.0, ,27.8,20.6,89,46,3.95,25.66
SWANBOURNE,22/02/2023,5.1,0.0, ,26.1,18.4,89,62,5.14,26.20
SWANBOURNE,23/02/2023, ,0.0, , ,17.6,72,34,7.18,25.55
SWANBOURNE,24/02/2023, , , ,27.4, ,71,23,4.66,26.00
SWANBOURNE,25/02/2023,7.5,0.0, ,32.2,17.6,81,21,4.47,25.83
SWANBOURNE,26/02/2023,8.6,0.0, ,34.5,20.0,60,21,5.02,25.64
SWANBOURNE,27/02/2023,7.7,0.0, ,36.6,22.9,60,17,4.23,17.83
SWANBOURNE,28/02/2023,9.5,0.0, ,37.1,21.4,62,20,5.58,25.28
Totals:,,180.2,0, ,,,,,, 
