'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/07/2023,2.2,0.0, ,17.8,4.8,88,42,3.61,11.98
SWANBOURNE,02/07/2023,3.0,0.0, ,18.8,7.8,76,34,4.66,12.01
SWANBOURNE,03/07/2023,2.2,3.2, ,16.9,11.7,98,53,7.34,6.43
SWANBOURNE,04/07/2023,2.6,20.2, ,16.8,11.1,93,55,9.11,11.31
SWANBOURNE,05/07/2023,2.2,4.4, ,16.9,11.6,97,57,7.42,10.42
SWANBOURNE,06/07/2023,1.7,3.6, ,17.9,10.5,98,61,3.75,10.14
SWANBOURNE,07/07/2023,1.8,0.4, ,19.0,14.3,98,66,5.11,10.24
SWANBOURNE,08/07/2023, ,4.0, , ,11.6,100,82,2.21,9.88
SWANBOURNE,09/07/2023,1.7,2.4, ,19.2,12.7,99,62,3.27,9.56
SWANBOURNE,10/07/2023,1.7,0.0, ,18.8,13.5,96,62,3.54,7.48
SWANBOURNE,11/07/2023,2.4,0.0, ,19.8,13.5,87,61,5.27,11.61
SWANBOURNE,12/07/2023,1.9,0.8, ,19.6,14.5,94,75,6.45,11.90
SWANBOURNE,13/07/2023,2.2,1.6, ,18.7,14.9,98,59,6.16,10.59
SWANBOURNE,14/07/2023,1.9,4.8, ,16.2,11.2,98,56,4.44,12.07
SWANBOURNE,15/07/2023,2.0,1.2, ,16.8,5.3,92,44,2.90,12.69
SWANBOURNE,16/07/2023,2.6,0.0, ,18.6,5.2,87,39,4.06,12.76
SWANBOURNE,17/07/2023,1.9,0.0, ,19.5,10.5,84,54,2.44,11.44
SWANBOURNE,18/07/2023,2.7,0.0, ,18.8,10.8,99,46,6.85,8.31
SWANBOURNE,19/07/2023,2.3,18.8, ,15.2,11.9,96,56,8.83,12.00
SWANBOURNE,20/07/2023,1.4,1.8, ,16.7,7.9,95,70,2.82,10.86
SWANBOURNE,21/07/2023,2.0,5.6, ,19.1,10.0,96,63,4.56,11.35
SWANBOURNE,22/07/2023,1.8,0.4, ,18.7,9.2,98,55,2.55,13.20
SWANBOURNE,23/07/2023,2.1,0.0, ,18.3,7.7,92,50,3.30,13.31
SWANBOURNE,24/07/2023,3.5,0.0, ,21.5,9.6,72,30,4.27,13.40
SWANBOURNE,25/07/2023,2.7,0.0, ,17.6,12.4,99,33,5.37,4.68
SWANBOURNE,26/07/2023,1.8,22.0, ,15.8,11.9,99,68,7.33,10.18
SWANBOURNE,27/07/2023,1.9,8.4, ,16.5,11.6,97,63,4.45,11.42
SWANBOURNE,28/07/2023,2.5,1.2, ,18.6,12.4,97,56,6.41,11.30
SWANBOURNE,29/07/2023,2.0,8.2, ,18.7,14.1,98,68,5.27,11.63
SWANBOURNE,30/07/2023,1.3,0.2, ,18.6,13.4,99,77,1.77,9.03
SWANBOURNE,31/07/2023,1.9,0.2, ,19.8,9.8,100,61,2.58,13.34
Totals:,,63.9,113.4, ,,,,,, 
