'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TELFER AERO Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TELFER AERO,01/05/2023,4.9,0.0, ,28.0,18.3,49,32,3.76,13.31
TELFER AERO,02/05/2023,6.7,0.0, ,31.2,18.4,52,20,4.84,18.28
TELFER AERO,03/05/2023,7.0,0.0, ,31.3,17.1,52,18,5.13,18.70
TELFER AERO,04/05/2023,6.5,0.0, ,30.8,16.5,50,19,4.45,19.14
TELFER AERO,05/05/2023,6.3,0.0, ,29.5,18.1,45,24,4.99,15.15
TELFER AERO,06/05/2023,7.2,0.0, ,28.9,19.4,40,22,6.05,15.83
TELFER AERO,07/05/2023,6.8,0.0, ,29.3,17.1,45,25,6.07,14.63
TELFER AERO,08/05/2023,6.8,0.0, ,29.1,16.3,52,21,5.71,18.49
TELFER AERO,09/05/2023,6.3,0.0, ,27.1,13.4,56,13,5.21,18.68
TELFER AERO,10/05/2023,6.1,0.0, ,28.4,11.3,47,10,4.24,18.39
TELFER AERO,11/05/2023,6.6,0.0, ,29.2,14.9,41,10,4.61,18.27
TELFER AERO,12/05/2023,7.2,0.0, ,29.9,13.8,35,11,5.17,18.40
TELFER AERO,13/05/2023,5.8,0.0, ,28.8,14.0,55,13,3.98,18.30
TELFER AERO,14/05/2023,5.8,0.0, ,27.7,13.6,48,22,4.56,18.20
TELFER AERO,15/05/2023,5.5,0.0, ,25.4,12.5,59,21,5.02,18.11
TELFER AERO,16/05/2023,6.3,0.0, ,30.0,10.8,59,17,4.76,18.02
TELFER AERO,17/05/2023,6.6,0.0, ,29.4,14.4,53,18,5.42,17.82
TELFER AERO,18/05/2023,6.2,0.0, ,27.9,12.7,50,18,5.14,17.85
TELFER AERO,19/05/2023,6.6,0.0, ,26.7,12.3,42,18,5.94,17.76
TELFER AERO,20/05/2023,6.3,0.0, ,24.3,13.0,46,21,6.79,17.68
TELFER AERO,21/05/2023,5.9,0.0, ,24.0,10.0,56,20,6.37,17.60
TELFER AERO,22/05/2023,5.7,0.0, ,25.6,9.0,60,17,5.20,17.52
TELFER AERO,23/05/2023,5.7,0.0, ,26.8,9.2,58,13,4.58,17.45
TELFER AERO,24/05/2023,5.2,0.0, ,28.4,9.3,53,17,3.63,17.39
TELFER AERO,25/05/2023,6.0,0.0, ,28.2,10.2,55,15,4.83,17.32
TELFER AERO,26/05/2023,6.2,0.0, ,25.3,14.2,58,26,7.14,17.25
TELFER AERO,27/05/2023,6.2,0.0, ,25.5,11.3,43,21,6.14,17.18
TELFER AERO,28/05/2023,6.0,0.0, ,24.6,8.8,50,17,6.04,17.09
TELFER AERO,29/05/2023,6.4,0.0, ,27.1,9.4,48,12,5.49,17.05
TELFER AERO,30/05/2023,5.5,0.0, ,27.2,9.2,51,14,4.22,16.95
TELFER AERO,31/05/2023,4.5,0.0, ,28.8,8.0,60,14,2.72,16.97
Totals:,,190.8,0, ,,,,,, 
