'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TELFER AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TELFER AERO,01/09/2023,6.8,0.0, ,33.0,12.8,41,8,3.36,21.79
TELFER AERO,02/09/2023,7.0,0.0, ,34.8,15.2,32,8,3.21,21.87
TELFER AERO,03/09/2023,9.7,0.0, ,33.3,22.1,30,10,6.31,21.99
TELFER AERO,04/09/2023,6.7,0.0, ,29.3,13.9,50,18,4.34,22.11
TELFER AERO,05/09/2023,6.6,0.0, ,31.7,13.3,44,13,3.47,22.23
TELFER AERO,06/09/2023,7.6,0.0, ,33.3,17.1,31,13,4.11,22.36
TELFER AERO,07/09/2023,9.1,0.0, ,29.5,16.8,35,17,7.55,22.38
TELFER AERO,08/09/2023,8.8,0.0, ,29.4,13.3,26,11,6.50,22.63
TELFER AERO,09/09/2023,8.7,0.0, ,33.5,15.9,33,18,5.56,23.01
TELFER AERO,10/09/2023,7.8,0.0, ,35.8,18.8,38,15,3.86,23.00
TELFER AERO,11/09/2023,9.0,0.0, ,36.2,19.6,37,12,4.94,23.27
TELFER AERO,12/09/2023,8.7,0.0, ,34.8,14.7,36,11,4.87,23.01
TELFER AERO,13/09/2023,7.9,0.0, ,34.4,18.0,25,9,3.82,23.57
TELFER AERO,14/09/2023,5.9,0.0, ,34.9,18.1,42,14,2.09,23.68
TELFER AERO,15/09/2023,7.0,0.0, ,36.7,17.3,44,10,2.81,23.87
TELFER AERO,16/09/2023,8.3,0.0, ,36.0,17.5,30,8,3.89,23.90
TELFER AERO,17/09/2023,7.3,0.0, ,36.2,16.0,31,8,3.00,23.98
TELFER AERO,18/09/2023,6.5,0.0, ,36.1,17.6,32,11,2.36,23.99
TELFER AERO,19/09/2023,8.1,0.0, ,36.5,19.7,39,12,3.82,23.75
TELFER AERO,20/09/2023,9.1,0.0, ,37.2,22.7,37,12,4.54,24.37
TELFER AERO,21/09/2023,8.5,0.0, ,38.7,23.2,27,10,3.60,24.22
TELFER AERO,22/09/2023,8.1,0.0, ,39.4,22.1,33,12,3.20,24.39
TELFER AERO,23/09/2023,8.6,0.0, ,39.7,22.0,38,10,3.61,24.84
TELFER AERO,24/09/2023,8.2,0.0, ,39.8,22.2,36,9,3.20,24.86
TELFER AERO,25/09/2023,8.2,0.0, ,40.6,21.4,29,9,3.10,24.72
TELFER AERO,26/09/2023,10.6,0.0, ,38.2,26.5,35,11,6.69,13.30
TELFER AERO,27/09/2023,11.8,0.0, ,39.3,25.5,26,10,6.48,23.76
TELFER AERO,28/09/2023,11.1,0.0, ,39.4,22.5,27,7,5.56,25.14
TELFER AERO,29/09/2023,8.3,0.0, ,39.6,20.5,25,11,3.19,25.18
TELFER AERO,30/09/2023,8.6,0.0, ,39.7,23.1,42,11,3.58,24.26
Totals:,,248.6,0, ,,,,,, 
