'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TELFER AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TELFER AERO,01/10/2023,11.2,0.0, ,40.5,26.5,43,9,5.69,25.73
TELFER AERO,02/10/2023,9.3,0.0, ,39.3,22.9,66,9,4.37,25.87
TELFER AERO,03/10/2023,11.6,0.0, ,35.1,23.6,25,11,7.15,25.93
TELFER AERO,04/10/2023,11.4,0.0, ,33.3,19.1,19,8,7.35,25.94
TELFER AERO,05/10/2023,10.2,0.0, ,35.2,16.0,22,8,5.45,26.12
TELFER AERO,06/10/2023,10.9,0.0, ,37.4,18.8,19,8,5.59,26.27
TELFER AERO,07/10/2023,10.3,0.0, ,37.2,20.1,20,7,4.97,26.38
TELFER AERO,08/10/2023,9.5,0.0, ,37.0,16.9,24,7,4.37,26.40
TELFER AERO,09/10/2023,10.3,0.0, ,38.6,18.0,22,7,4.76,26.52
TELFER AERO,10/10/2023,8.8,0.0, ,39.0,18.8,24,6,3.42,26.63
TELFER AERO,11/10/2023,9.6,0.0, ,40.3,20.2,20,6,3.84,26.71
TELFER AERO,12/10/2023,11.4,0.0, ,40.4,19.9,19,5,5.24,26.88
TELFER AERO,13/10/2023,12.6,0.0, ,40.6,22.9,23,6,6.36,26.96
TELFER AERO,14/10/2023,11.9,0.0, ,40.7,23.4,19,6,5.57,26.95
TELFER AERO,15/10/2023,11.9,0.0, ,39.7,23.4,17,7,5.75,27.02
TELFER AERO,16/10/2023,12.8,0.0, ,37.8,22.1,15,6,7.12,27.21
TELFER AERO,17/10/2023,11.0,0.0, ,38.2,21.7,16,6,5.17,27.53
TELFER AERO,18/10/2023,8.6,0.0, ,39.2,20.3,17,6,3.11,27.45
TELFER AERO,19/10/2023,8.6,0.0, ,40.9,19.8,19,5,2.88,27.57
TELFER AERO,20/10/2023,11.8,0.0, ,40.9,23.4,20,6,5.37,27.73
TELFER AERO,21/10/2023,10.8,0.0, ,41.7,22.7,24,6,4.45,27.63
TELFER AERO,22/10/2023,10.4,0.0, ,40.8,24.0,23,9,4.26,27.52
TELFER AERO,23/10/2023,9.9,0.0, ,41.8,21.8,56,8,3.97,27.34
TELFER AERO,24/10/2023,11.0,0.0, ,40.3,25.9,69,10,5.52,28.26
TELFER AERO,25/10/2023,12.4,0.0, ,40.1,22.9,26,9,6.22,28.34
TELFER AERO,26/10/2023,12.3,0.0, ,40.1,22.1,22,8,6.00,28.45
TELFER AERO,27/10/2023,10.7,0.0, ,40.9,21.6,27,5,4.33,28.50
TELFER AERO,28/10/2023,9.2,0.0, ,40.8,23.3,23,5,3.22,28.63
TELFER AERO,29/10/2023,11.4,0.0, ,40.8,21.9,27,4,4.96,28.70
TELFER AERO,30/10/2023,10.4,0.0, ,41.1,23.4,58,11,4.54,28.29
TELFER AERO,31/10/2023,9.4,0.0, ,38.0,22.9,90,21,5.19,28.83
Totals:,,331.6,0, ,,,,,, 
