'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THEVENARD ISLAND Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THEVENARD ISLAND,01/09/2022,7.7,0.0, ,26.8,20.4,25,18,5.57,20.87
THEVENARD ISLAND,02/09/2022,5.7,0.0, ,25.0,22.4,25,20,4.11,7.15
THEVENARD ISLAND,03/09/2022,8.4,8.2, ,26.3,20.4,24,18,6.66,21.81
THEVENARD ISLAND,04/09/2022,6.8,0.0, ,25.7,19.2,27,20,4.92,18.01
THEVENARD ISLAND,05/09/2022,8.8,0.0, ,26.0,19.5,27,19,7.80,20.76
THEVENARD ISLAND,06/09/2022,9.0,0.0, ,24.8,17.4,30,20,9.52,22.08
THEVENARD ISLAND,07/09/2022,8.0,0.0, ,24.9,16.7,32,20,7.29,21.98
THEVENARD ISLAND,08/09/2022,6.7,0.0, ,26.2,17.9,29,18,4.38,21.65
THEVENARD ISLAND,09/09/2022,7.3,0.0, ,25.5,18.7,25,19,5.49,18.40
THEVENARD ISLAND,10/09/2022,8.2,0.0, ,26.2,17.5,29,18,6.85,22.46
THEVENARD ISLAND,11/09/2022,7.0,0.0, ,28.8,19.1,27,16,3.98,22.57
THEVENARD ISLAND,12/09/2022,6.5,0.0, ,27.1,19.4,27,18,3.61,22.87
THEVENARD ISLAND,13/09/2022,8.0,0.0, ,26.8,20.5,25,18,5.91,19.03
THEVENARD ISLAND,14/09/2022,9.4,0.0, ,27.8,17.8,29,17,8.10,22.94
THEVENARD ISLAND,15/09/2022,9.9,0.0, ,29.6,19.1,27,15,7.85,22.90
THEVENARD ISLAND,16/09/2022,9.6,0.0, ,30.8,19.6,27,14,6.72,22.89
THEVENARD ISLAND,17/09/2022,7.2,0.0, ,28.2,19.4,27,17,4.16,22.96
THEVENARD ISLAND,18/09/2022,8.1,0.0, ,27.2,20.2,25,17,5.55,22.89
THEVENARD ISLAND,19/09/2022, ,0.0, , ,18.3,28,19,11.39,22.94
THEVENARD ISLAND,20/09/2022, , , ,28.2, ,31,16,7.96,23.08
THEVENARD ISLAND,21/09/2022,7.2,0.0, ,27.5,19.2,27,17,4.24,23.12
THEVENARD ISLAND,22/09/2022,8.7,0.0, ,27.6,19.2,26,17,6.47,23.18
THEVENARD ISLAND,23/09/2022,9.0,0.0, ,28.3,20.0,26,17,6.58,23.18
THEVENARD ISLAND,24/09/2022,9.9,0.0, ,26.2,20.1,26,18,9.03,23.14
THEVENARD ISLAND,25/09/2022,10.4,0.0, ,29.4,19.5,27,15,8.49,23.18
THEVENARD ISLAND,26/09/2022,10.7,0.0, ,32.6,20.2,25,13,7.44,23.32
THEVENARD ISLAND,27/09/2022,8.6,0.0, ,28.5,22.1,23,16,5.40,23.50
THEVENARD ISLAND,28/09/2022,7.3,0.0, ,27.4,19.4,26,17,4.26,23.70
THEVENARD ISLAND,29/09/2022,9.0,0.0, ,27.9,18.5,28,17,6.82,23.54
THEVENARD ISLAND,30/09/2022,8.8,0.0, ,27.0,19.6,27,18,6.46,24.18
Totals:,,231.9,8.2, ,,,,,, 
