'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THEVENARD ISLAND Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THEVENARD ISLAND,01/04/2023,6.5,0.0, ,32.3,27.9,18,13,3.20,11.72
THEVENARD ISLAND,02/04/2023,5.7,0.0, ,32.4,25.3,19,13,2.23,18.64
THEVENARD ISLAND,03/04/2023,7.6,0.0, ,32.5,27.8,17,13,3.86,16.18
THEVENARD ISLAND,04/04/2023,8.5,0.0, ,32.3,27.5,17,13,4.72,16.48
THEVENARD ISLAND,05/04/2023,10.0,0.0, ,32.7,27.3,17,13,6.03,21.14
THEVENARD ISLAND,06/04/2023,10.0,0.0, ,31.9,26.0,18,13,6.24,22.67
THEVENARD ISLAND,07/04/2023,11.3,0.0, ,32.3,25.3,19,13,7.95,21.98
THEVENARD ISLAND,08/04/2023,11.2,0.0, ,31.3,23.5,21,14,8.63,21.72
THEVENARD ISLAND,09/04/2023,10.4,0.0, ,30.9,22.3,23,14,7.72,21.81
THEVENARD ISLAND,10/04/2023,11.7,0.0, ,30.1,22.8,22,15,10.24,21.90
THEVENARD ISLAND,11/04/2023,11.7,0.0, ,32.2,22.4,22,13,9.29,21.80
THEVENARD ISLAND,12/04/2023,9.7,0.0, ,32.2,24.2,20,13,6.34,20.82
THEVENARD ISLAND,13/04/2023,10.9,0.0, ,31.7,24.5,20,14,8.05,20.12
THEVENARD ISLAND,14/04/2023,12.3,0.0, ,30.0,22.6,22,15,11.59,20.99
THEVENARD ISLAND,15/04/2023,9.7,0.0, ,29.1,21.3,24,15,7.76,20.57
THEVENARD ISLAND,16/04/2023,8.6,0.0, ,29.3,22.3,26,16,6.14,20.52
THEVENARD ISLAND,17/04/2023,6.8,0.0, ,30.2,19.9,25,15,3.80,20.45
THEVENARD ISLAND,18/04/2023,7.1,0.0, ,31.0,20.5,25,14,4.04,20.33
THEVENARD ISLAND,19/04/2023,7.0,0.0, ,32.5,19.0,27,13,3.78,20.45
THEVENARD ISLAND,20/04/2023,7.8,0.0, ,31.3,21.7,22,14,4.66,20.71
THEVENARD ISLAND,21/04/2023,8.3,0.0, ,31.2,21.8,21,14,5.31,19.95
THEVENARD ISLAND,22/04/2023,6.9,0.0, ,31.6,22.5,21,14,3.73,18.69
THEVENARD ISLAND,23/04/2023,7.7,0.0, ,33.7,24.0,20,12,4.13,20.14
THEVENARD ISLAND,24/04/2023,7.8,0.0, ,32.5,23.9,20,13,4.41,20.23
THEVENARD ISLAND,25/04/2023,10.7,0.0, ,30.4,22.5,22,14,8.95,19.04
THEVENARD ISLAND,26/04/2023,9.7,0.0, ,29.8,20.5,25,15,7.99,19.39
THEVENARD ISLAND,27/04/2023,7.4,0.0, ,29.3,22.2,23,15,4.92,16.57
THEVENARD ISLAND,28/04/2023,6.1,0.0, ,32.9,23.3,20,12,3.09,15.24
THEVENARD ISLAND,29/04/2023,7.2,0.0, ,31.1,23.2,21,14,4.19,19.39
THEVENARD ISLAND,30/04/2023,6.9,0.0, ,29.4,22.8,22,16,4.29,16.61
Totals:,,263.2,0, ,,,,,, 
