'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/01/2023,3.4,23.6, ,30.0,25.3,99,72,16.89,4.95
TROUGHTON ISLAND,02/01/2023,5.0,7.0, ,31.2,25.9,98,73,16.75,20.48
TROUGHTON ISLAND,03/01/2023,5.9,3.4, ,31.3,26.0,88,75,12.60,25.08
TROUGHTON ISLAND,04/01/2023,5.1,0.0, ,30.8,28.0,90,71,11.64,16.88
TROUGHTON ISLAND,05/01/2023,5.3,0.6, ,30.9,26.1,97,72,11.70,23.00
TROUGHTON ISLAND,06/01/2023,6.4,1.4, ,30.7,26.7,85,70,12.68,24.90
TROUGHTON ISLAND,07/01/2023,6.6,0.2, ,30.8,27.0,82,69,12.21,24.51
TROUGHTON ISLAND,08/01/2023,6.8,0.0, ,31.0,27.5,82,69,10.13,27.17
TROUGHTON ISLAND,09/01/2023,6.9,0.0, ,31.3,27.5,81,68,9.54,26.88
TROUGHTON ISLAND,10/01/2023,7.2,0.0, ,31.2,27.6,80,67,9.63,28.37
TROUGHTON ISLAND,11/01/2023,7.0,0.0, ,31.4,27.6,81,66,8.37,27.85
TROUGHTON ISLAND,12/01/2023,6.8,0.0, ,31.9,27.7,83,68,6.94,27.74
TROUGHTON ISLAND,13/01/2023,6.6,0.0, ,32.0,27.8,82,67,7.07,25.66
TROUGHTON ISLAND,14/01/2023,7.0,0.0, ,32.3,28.0,82,66,7.92,27.05
TROUGHTON ISLAND,15/01/2023,6.7,0.0, ,31.7,28.2,82,67,6.81,26.76
TROUGHTON ISLAND,16/01/2023,6.4,0.0, ,32.8,28.0,86,65,6.13,24.96
TROUGHTON ISLAND,17/01/2023,6.9,0.0, ,32.9,27.1,86,63,5.92,27.94
TROUGHTON ISLAND,18/01/2023,6.8,0.0, ,32.5,28.1,81,66,8.22,24.38
TROUGHTON ISLAND,19/01/2023,4.9,0.0, ,30.8,28.1,82,72,8.59,14.56
TROUGHTON ISLAND,20/01/2023,6.9,0.0, ,32.7,28.2,82,67,8.03,25.87
TROUGHTON ISLAND,21/01/2023,7.0,0.0, ,32.7,28.0,83,65,6.95,27.59
TROUGHTON ISLAND,22/01/2023,4.7,0.0, ,31.8,28.2,90,73,6.03,17.61
TROUGHTON ISLAND,23/01/2023,6.1,0.4, ,32.7,26.9,91,69,5.02,26.63
TROUGHTON ISLAND,24/01/2023,4.9,0.0, ,32.0,26.9,97,61,4.88,18.04
TROUGHTON ISLAND,25/01/2023,2.6,12.0, ,30.3,23.4,98,79,6.50,8.27
TROUGHTON ISLAND,26/01/2023,4.9,13.2, ,31.6,26.1,95,73,6.42,20.45
TROUGHTON ISLAND,27/01/2023,6.2,6.0, ,32.1,26.6,88,69,4.82,27.18
TROUGHTON ISLAND,28/01/2023,5.9,0.0, ,31.7,27.6,91,68,3.65,26.33
TROUGHTON ISLAND,29/01/2023,5.0,0.0, ,32.5,28.1,86,67,4.21,18.28
TROUGHTON ISLAND,30/01/2023,4.8,0.0, ,32.5,28.2,94,66,3.83,18.34
TROUGHTON ISLAND,31/01/2023,5.2,2.2, ,31.8,26.5,90,71,4.91,21.79
Totals:,,181.9,70, ,,,,,, 
