'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/02/2023,5.0,7.6, ,31.6,26.5,99,74,5.75,22.61
TROUGHTON ISLAND,02/02/2023,3.0,22.6, ,29.7,25.1,100,77,6.81,10.93
TROUGHTON ISLAND,03/02/2023,6.1,18.6, ,31.4,25.3,87,65,7.03,24.65
TROUGHTON ISLAND,04/02/2023,6.2,5.4, ,31.1,25.2,91,69,6.50,28.27
TROUGHTON ISLAND,05/02/2023,5.4,0.0, ,30.9,27.3,86,70,2.96,23.68
TROUGHTON ISLAND,06/02/2023,6.1,0.0, ,31.1,26.9,86,70,2.55,28.60
TROUGHTON ISLAND,07/02/2023,6.4,0.0, ,31.9,27.1,88,68,4.18,28.59
TROUGHTON ISLAND,08/02/2023,6.8,0.0, ,31.8,28.4,83,71,8.71,28.22
TROUGHTON ISLAND,09/02/2023,5.6,0.0, ,31.8,28.8,95,70,10.41,22.09
TROUGHTON ISLAND,10/02/2023,5.8,1.0, ,31.3,24.5,91,66,9.35,22.35
TROUGHTON ISLAND,11/02/2023,6.2,0.0, ,32.3,25.7,97,56,6.41,23.87
TROUGHTON ISLAND,12/02/2023,4.4,3.4, ,31.2,24.1,96,68,6.70,15.92
TROUGHTON ISLAND,13/02/2023,2.2,6.4, ,29.3,24.6,100,77,4.56,6.66
TROUGHTON ISLAND,14/02/2023,4.2,15.0, ,31.9,25.0,95,65,3.37,16.42
TROUGHTON ISLAND,15/02/2023,5.7,0.0, ,32.1,27.5,86,69,3.32,24.39
TROUGHTON ISLAND,16/02/2023,6.2,0.0, ,32.2,27.9,89,72,5.80,27.23
TROUGHTON ISLAND,17/02/2023,6.6,0.0, ,32.4,28.1,87,69,6.94,27.89
TROUGHTON ISLAND,18/02/2023,6.5,0.0, ,32.5,28.0,87,70,7.33,26.63
TROUGHTON ISLAND,19/02/2023,6.4,0.0, ,32.8,28.6,87,70,6.60,25.94
TROUGHTON ISLAND,20/02/2023,3.3,0.0, ,30.3,26.3,98,77,4.08,13.54
TROUGHTON ISLAND,21/02/2023,3.9,0.2, ,30.7,26.5,92,66,3.11,15.11
TROUGHTON ISLAND,22/02/2023,5.3,0.2, ,31.3,27.0,94,66,4.65,22.17
TROUGHTON ISLAND,23/02/2023,2.5,15.4, ,28.7,24.5,100,78,7.69,7.98
TROUGHTON ISLAND,24/02/2023,3.7,8.4, ,30.0,25.2,100,77,7.49,16.31
TROUGHTON ISLAND,25/02/2023,2.9,15.2, ,29.7,25.3,100,80,11.12,10.47
TROUGHTON ISLAND,26/02/2023,2.9,27.4, ,29.3,25.6,100,78,12.34,9.62
TROUGHTON ISLAND,27/02/2023,2.3,25.4, ,28.1,24.4,100,79,13.29,4.50
TROUGHTON ISLAND,28/02/2023,3.8,180.6, ,29.9,24.0,100,74,12.77,14.32
Totals:,,135.4,352.8, ,,,,,, 
